LANGUAGE,English
STR_CAMPAIGN_1985_05BSTRANGEMEETING_EDEN_BRIEFING_INTRO,"<B>May 14, 1985</B> – We’re outta here. And, what a lucky break, I'll be driving a truck in the first convoy going from our area. I can't wait to leave this island.
Okay, so we’ve taken an ass-kicking – but at least I’m going to be getting out alive…"
STR_CAMPAIGN_1985_05BSTRANGEMEETING_EDEN_BRIEFING_NAME,Strange Meeting
STR_CAMPAIGN_1985_05BSTRANGEMEETING_EDEN_BRIEFING_OBJ_1,"Get in the <A HREF=""marker:nalozeni"">truck</A> as the driver."
STR_CAMPAIGN_1985_05BSTRANGEMEETING_EDEN_BRIEFING_OBJ_2,"Drive to <A HREF=""marker:puvodnicil"">Morton</A>.</a>"
STR_CAMPAIGN_1985_05BSTRANGEMEETING_EDEN_BRIEFING_OBJ_3,"Get ready <A HREF=""marker:puvodnicil"">in Morton </A>to evacuate from Everon island."
STR_CAMPAIGN_1985_05BSTRANGEMEETING_EDEN_BRIEFING_OBJ_4,"Go to the <A HREF=""marker:farma"">farm</A> on the right side of the road. Check the situation and eliminate any enemy units."
STR_CAMPAIGN_1985_05BSTRANGEMEETING_EDEN_BRIEFING_OBJ_5,"Get to the <A HREF=""marker:tabor"">new US secret extraction point</A>. It's North of Morton."
STR_CAMPAIGN_1985_05BSTRANGEMEETING_EDEN_BRIEFING_PLAN,"After the disaster at Montignac, the enemy has gained the upper hand. NATO has decided to withdraw from Everon altogether and regroup on Malden.
You're going to Morton to evacuate from the island.
<br><br>
You start <A HREF=""marker:start"">here in the jeep</A> with your commander, near Le Moule."
STR_CAMPAIGN_1985_05BSTRANGEMEETING_EDEN_OVERVIEW_001,Overview
STRCAMP_05bn01,在去Le Moule的路上
STRCAMP_05bn02,卡车受损，你必须重新开始这个任务！
STRCAMP_05br1,等所有人都上车了再走。
STRCAMP_05br10,好吧，战士们——看起来我们只能靠自己了。向Morton出发！
STRCAMP_05br11,Papa Bear呼叫所有部队，报告你们的位置。完毕。
STRCAMP_05br12,我们在Ee65，很快就会进入你们的目视范围。完毕。
STRCAMP_05br13,我们在Dd69——我们就要到了。完毕。
STRCAMP_05br14,我们在Df65，一切正常，完毕。
STRCAMP_05br14_1,这里是A组——我们已经出发。不过可能会有麻烦。完毕。
STRCAMP_05br15,"这里是Papa Bear, 紧急情况。敌人从东南向Morton推进。撤离区附近发生交火。请加快速度。完毕。"
STRCAMP_05br16,这里是Papa Bear - 紧急情况。重复一遍，紧急情况。Morton遭到猛烈攻击。我们正在后撤。撤离区域已被敌人攻占。完毕。
STRCAMP_05br17,Papa Bear，等一下我们！我们眼看就要到Morton了。
STRCAMP_05br18,没有时间了。最后一架撤离用飞机已经起飞。伙计们，对不起……完毕。
STRCAMP_05br19,所有滞留在Everon的部队，这里是Papa Bear。我们有了一个新的撤离点——在Ea64。完毕。
STRCAMP_05br2,都上车了吗？走喽！
STRCAMP_05br20,Papa Bear呼叫所有滞留在EVERON的部队——前往Ea64的撤离点。我们已派出救援队。完毕。
STRCAMP_05br21,滞留在Everon的所有人。重复一遍，滞留在EVERON的所有部队。立刻前往Ea64的撤离点。祝你们好运。上帝与你们同在。
STRCAMP_05br22,你到底在做什么？你把卡车弄坏了！现在我们徒步前进了。
STRCAMP_05br23,该死的俄国佬来了——消灭他们！
STRCAMP_05br24,Papa Bear。请回答。这里是A组。简直是一场大屠杀！所有人都被消灭了！只剩下我一个人。完毕。
STRCAMP_05br25,阿姆斯特朗，待在这儿，给我提供火力掩护。我去看看能不能闯过那条路。
STRCAMP_05br3,Papa Bear呼叫所有部队，最后撤离时间是5:45。完毕。
STRCAMP_05br4,减速，在路右面有什么东西。完毕。
STRCAMP_05br5,A组，离开车队。沿着右面的小路侦察一下。然后前往Morton。
STRCAMP_05br6,停下！他们就在前面——下车，徒步前进。保持警惕。
STRCAMP_05br7,该死的！他们把所有的卡车都击毁了！
STRCAMP_05br8,Papa Bear，这是A组。这个区域已在我们的控制之下——但是我们伤亡惨重。卡车也被摧毁了——需要前往MORTON的交通工具。完毕。
STRCAMP_05br9,A组，不行。你们已经很近了，徒步前进。完毕。
STRCAMP_05bv01,军士，我们正在把所有的军事人员撤出Everon。首先，我们必须到达Morton。你来驾驶A组的卡车。
STRCAMP_05bv02,上帝啊，只剩下我一个人了。那个新的撤离点在哪儿来着？ Ea64——好吧。反正我已经别无选择了……
STRCAMP_05bv05,不要开枪！不要开枪！。
STRCAMP_05bv07,17582。戴维·阿姆斯特朗下士。
STRCAMP_05bv09,该死的
STRCAMP_05bv10,上帝啊……他们全死了。
