LANGUAGE,English
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_BRIEFING_COMMANDER_BODY,"<br>- 始终知道你的士兵在哪里。如果你不知道他们在哪里，呼叫他们。<br><br>- 在敌占区小心移动。你的士兵会向任何他们看到的敌人开火，所以如果你不想被注意，就下达停止开火的命令。<br><br>- 不要低估队形的作用。<br><br>- 你通常有各种不同的武器专家在你的指挥下——利用他们的优势。不同的技能和装备适用于不同的任务。<br><br><a href=""#Main"">返回笔记</a>"
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_BRIEFING_COMMANDER_HEADING,指挥官野战手册
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_BRIEFING_INTRO,"<b>1985年6月14日</b> - 好吧，没有一个自己的部队来指挥，那还算什么军官？Blake上校要我召集两个其他小队的残部，协助防守Goisse。<br><br>天知道他们会怎么看我——没有指挥经验……甚至没有正规训练，只有<a href=""#Commander"">指挥官野战手册</a>中的一些笔记。"
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_BRIEFING_NAME,光荣晋升
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_BRIEFING_OBJ_1,等待Alpha小队到达。
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_BRIEFING_OBJ_2,"让所有人前往<a href=""marker:End"">Goisse</a>。"
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_BRIEFING_OBJ_3,击退敌人的进攻。
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_BRIEFING_OBJ_AR1,"与Bravo小队失去联系。他们最后一次报告是从<a href=""marker:Arudy"">Arudy</a>发出的。派一辆吉普车去寻找他们。"
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_BRIEFING_OBJ_AR2,"把Bravo小队从<a href=""marker:Arudy"">Arudy</a>带回十字路口。"
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_BRIEFING_OBJ_AR3,"向Goisse的<a href=""marker:Hospital"">野战医院</a>附近的Johnson少校报到。"
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_BRIEFING_PLAN,"一支北约小分队正在防守Goisse镇，而一支庞大的苏军正在向其逼近。组建一支增援部队，带领它前往该镇迎击敌人。<br><br>任务开始时，你在坐标为Di42的<a href=""marker:Start"">十字路口</a>。时间：07:30。"
STR_CAMPAIGN_1985_17TAKINGCOMMAND_ABEL_OVERVIEW_001,任务概述
STR_HINT_1,要派你的士兵到Arudy，按F2键选择他，然后在吉普车上单击鼠标。如果吉普车是空的，他就会上车。
STR_HINT_10,现在你想试验一下你自己的想法了，对吧？如果你决定返回作战计划，你可以按Esc键，然后点击‘Retry’，重新开始这次任务。
STR_HINT_2,要告诉他开到哪里，最简单的办法就是使用地图。按F2键选择他，按M键打开地图，然后在Arudy上单击鼠标，他就会开到那里。
STR_HINT_3,Alpha班已经准备好，可以随时接受你的命令。既然吉普车还在开往Arudy的路上，我们来试试一些基本的指挥命令。你可以使用F3-F6键来选择士兵，用鼠标左键单击目的地可以命令他们移动。
STR_HINT_4,在Arudy的士兵已经加入到你班。要给远处的士兵发布命令，你可以使用指挥菜单。选择他们（F7和F8），按4键（乘坐，‘Mount’），选择吉普车，然后选择‘任何地方’（‘Anywhere’），他们将乘上吉普车。
STR_HINT_5,命令士兵回到你的位置，最简单的办法就是选择驾驶员（F2）并命令他‘返回队形’（‘Return to formation’）(按两次1键)。‘返回队形’是一个常用的命令，可以命令你的队员停下他手头的行动并回到队伍中来。
STR_HINT_6,既然Bravo班还在路上，你可以试试一些基本的策略。没有接到特殊命令的单位（他们在屏幕下方的图标旁边没有文字）是你的主队，他们会跟随你并保持队形。你可以按 ` 键（键盘左上角）选择他们。再按一次 ` 键可以选择你的所有单位；再按一次则取消全部选择。
