LANGUAGE,English
STR_CAMPAIGN_1985_05AAFTERMONTIGNAC_EDEN_BRIEFING_INTRO,"<B>May 14, 1985</B> – I’m alone. Lost in enemy territory. The rest of my squad have been… massacred. Radio seems to be screwed up. I’ve got enemies coming in from all directions. There's no transport available, and NATO is evacuating from Everon right now.
Christ, I’ve got to get out of here. I've gotta head to Morton and rejoin our forces. But it ain’t gonna be easy.
So, here goes nothing…"
STR_CAMPAIGN_1985_05AAFTERMONTIGNAC_EDEN_BRIEFING_NAME,After Montignac
STR_CAMPAIGN_1985_05AAFTERMONTIGNAC_EDEN_BRIEFING_OBJ_KONEC,"Get to the <A HREF=""marker:Konec1"">rendezvous point in Morton.</A>"
STR_CAMPAIGN_1985_05AAFTERMONTIGNAC_EDEN_BRIEFING_OBJ_KONEC2,"Morton is enemy territory now. Get to the <A HREF=""marker:Konec2"">alternative meeting point.</a>"
STR_CAMPAIGN_1985_05AAFTERMONTIGNAC_EDEN_BRIEFING_PLAN,"You are <A HREF=""marker:Start"">somewhere in the forest.</A> You must get out of here quickly if you want to save your life."
STR_CAMPAIGN_1985_05AAFTERMONTIGNAC_EDEN_OVERVIEW_001,Overview
STRCAMP_05ar01,Papa Bear呼叫所有部队，从Everon撤离的最后时间是5:45。OUT。
STRCAMP_05ar02,Papa Bear呼叫所有分队。还剩下15分钟。报告你们的位置。完毕。
STRCAMP_05ar03,我们在Ee65区，很快就会进入你们的目视范围。完毕。
STRCAMP_05ar04,我们在Dd69——我们就要到了。完毕。
STRCAMP_05ar05,我们在Df65，一切正常，完毕。
STRCAMP_05ar06,Papa Bear呼叫所有部队，最后一架运输机将在10分钟后起飞。完毕。
STRCAMP_05ar07,"这里是Papa Bear, 紧急情况。敌人从东南向Morton推进。撤离区附近发生交火。请加快速度。完毕。"
STRCAMP_05ar08,这里是Papa Bear- 紧急情况。重复一遍，紧急情况。Morton遭到猛烈攻击。我们正在后撤。撤离区域已被敌人攻占。完毕。
STRCAMP_05ar09,没有时间了。最后一架撤离用飞机已经起飞。伙计们，对不起……完毕。
STRCAMP_05ar10,所有滞留在Everon的部队，这里是Papa Bear。我们有了一个新的撤离点——在Ea64。完毕。
STRCAMP_05ar11,Papa Bear呼叫所有滞留在Everon的部队——前往Ea64的撤离点。我们已派出救援队。完毕。
STRCAMP_05ar12,滞留在Everon的所有人。重复一遍，滞留在Everon的所有部队。立刻前往Ea64的撤离点。祝你们好运。上帝与你们同在。
STRCAMP_05av01,"Papa Bear，请回答……Papa Bear, 这是A组。只剩下我一个人了。请回答。完毕。"
STRCAMP_05av02,Papa Bear，这是Alpha……该死的无线电——为什么他们听不见我说话？
STRCAMP_05av05,不要开枪！不要开枪！。
STRCAMP_05av07,17582。 戴维·阿姆斯特朗。
STRM_05an01,躲藏在Provins西面的树林里。
