LANGUAGE,English,French,Italian,Spanish,German,Czech,Polish,Russian,Comment
STRC_01,,,,,,,,,

STRCN_00,Training,Training,Training,Training,Training,Vэcvik,Жwiczenie,Тренировка, Name of the mission

STRCN_01,Flashpoint,Flashpoint,Flashpoint,Flashpoint,Flashpoint,Flashpoint,Punkt zwrotny,Кровавый рассвет, Name of the mission

STRCN_02,Combined Arms,Combined Arms,Combined Arms,Combined Arms,Combined Arms,Spojenй sнly,Siіy sojusznicze,Совместные действия, Name of the mission

STRCN_03a,Camping,Camping,Camping,Camping,Camping,Stavba tбbora,Obуz,Расквартировка, Name of the mission

STRCN_03b,Alert,Alert,Alert,Alert,Alert,Poplach,Alarm,Тревога, Name of the mission

STRCN_04,Montignac Must Fall,Montignac Must Fall,Montignac Must Fall,Montignac Must Fall,Montignac Must Fall,Montignac musн padnout,Montignac musi upaњж,Монтиньяк должен пасть, Name of the mission

STRCN_05a,After Montignac,After Montignac,After Montignac,After Montignac,After Montignac,Po Montignacu,Po Montignac,Вскоре после Монтиньяка, Name of the mission

STRCN_05b,Strange Meeting,Strange Meeting,Strange Meeting,Strange Meeting,Strange Meeting,Podivnй setkбnн,Dziwne spotkanie,Странная встреча, Name of the mission

STRCN_06a,Rescue,Rescue,Rescue,Rescue,Rescue,Zбchrannб akce,Ratunek,Спасение, Name of the mission

STRCN_06b,Undercover,Undercover,Undercover,Undercover,Undercover,V utajenн,Przeszpiegi,Под прикрытием, Name of the mission

STRCN_07a,Night Patrol,Night Patrol,Night Patrol,Night Patrol,Night Patrol,Noиnн hlнdka,Nocny patrol,Ночной дозор, Name of the mission

STRCN_07,Hold Malden,Hold Malden,Hold Malden,Hold Malden,Hold Malden,Udrћte Malden!,Utrzymaж Malden,Оборона Малдена, Name of the mission

STRCN_08,Defender,Defender,Defender,Defender,Defender,Obrбnce,Obroсca,Защитник, Name of the mission

STRCN_09,Tank Training,Tank Training,Tank Training,Tank Training,Tank Training,Tankovэ vэcvik,Жwiczenie czoіgowe,Танковые учения, Name of the mission

STRCN_10,Battle Of Houdan,Battle Of Houdan,Battle Of Houdan,Battle Of Houdan,Battle Of Houdan,Bitva o Houdan,Bitwa o Houdan,Битва за Хаудан, Name of the mission

STRCN_11,Interdiction,Interdiction,Interdiction,Interdiction,Interdiction,Ъklidovб иeta,Atak bombowy,Вмешательство, Name of the mission

STRCN_12,Spearhead,Spearhead,Spearhead,Spearhead,Spearhead,Hraniиnн zуna,Awangarda,Рассредоточение, Name of the mission

STRCN_13,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Pathfinder,Mravenci,Przewodnik,Следопыт, Name of the mission

STRCN_14,Race,Race,Race,Race,Race,Zбvod,Wyњcig,Гонка, Name of the mission

STRCN_15,Tank Rally,Tank Rally,Tank Rally,Tank Rally,Tank Rally,Tankovб rallye,Zgrupowanie czoіgуw,Ралли на танках, Name of the mission

STRCN_16,Unfinished Business,Unfinished Business,Unfinished Business,Unfinished Business,Unfinished Business,Staшн znбmн,Sprawa do skoсczenia,Неоконченное дело, Name of the mission

STRCN_17,Taking Command,Taking Command,Taking Command,Taking Command,Taking Command,Poruинk,Przejкcie dowуdztwa,Принимая командование, Name of the mission

STRCN_18,Scouting,Scouting,Scouting,Scouting,Scouting,Prщzkum,Rekonesans,Разведка, Name of the mission

STRCN_19,Turning the Tide,Turning the Tide,Turning the Tide,Turning the Tide,Turning the Tide,Karta se obracн,Karta siк odwrуciіa,Перевес сил, Name of the mission

STRCN_20,Saboteur,Saboteur,Saboteur,Saboteur,Saboteur,Sabotйr,Sabotaїysta,Диверсант, Name of the mission

