LANGUAGE,English,German,French,Italian
STRNG_417,滩头,Die Landung,Le d閎arquement,L'atterraggio
STRNG_418,敌人增强了海滩防御.,Ihr Feind ist am Strand von Malden in Verteidigungsstellung gegangen.,L'ennemi est all?s'installer en d閒ense ?la plage de Malden.,Il suo nemico ?andato in posizione di difesa di Malden.
STRNG_419,清理海岸线的敌人并进入敌人的基地.,"S鋟bern Sie den Strandabschnitt, um freien Weg zum gegnerischen Hauptquartier zu haben.",D閎arrassez cette plage pour que le chemin soit libre pour se rendre au QG de l'ennemi.,Sgombri il tratto di spiaggia in modo che la via sia libera verso il QG del nemico.
STRNG_420,"Oops,我刚才成功摧毁了第一个目标吗?","Upps, da hab ich doch Ziel 1 weggepustet?",H?! Voil?que j'ai souffl?la cible 1 ?,Opl?ho spazzato via obiettivo 1 ?
STRNG_421,第二个目标已被摧毁.,Ziel2 ist zerst鰎t.,Cible2 d閠ruite.,Obietivo2 ?distrutto.
STRNG_422,第三个目标已对我们没有威胁了.,Ziel3 ist vernichtet,Cible3 n'est plus parmi nous.,Obietivo3 non ?pi?tra noi.
STRNG_423,让我们为目标四的摧毁而“哀悼”吧. HAHA!,Wir werden 黚er den Tod von Ziel4 trauern. HA! HA! HA!,La mort de Cible4 va beaucoup nous affliger. HA ! HA! HA !,Porteremo il lutto per la morte dell'obietivo4. HAHAHA!
STRNG_424,"消灭敌人!!!\n我们正在接近我们的最终目标.\n祝好运,同志.","Vernichten Sie die Gegner!\nWir sind nun fast am Ziel.\nViel Gl點k, Soldat.",Allez faites en sorte que l'ennemi est chaud aux fesses !!!\nNous sommes presque au but.\nBonne chance soldat.,Forza provochi il nemico!!!\nSiamo quasi all'obiettivo.\nAuguri soldato.
STRNG_425,你们赢了,Sie haben gesiegt!,Vous avez gagn?,Ha vinto.
STRNG_426,你没能占领海滩.我希望你能从中学到什么.,Der Strand konnte nicht ger鋟mt werden.,La plage n'a pas pu 阾re d閎arrass閑. J'esp鑢e que vous en avez tir?les le鏾ns.,La spiaggia non poteva essere sgomberata. Spero che abbia imparato la lezione.
STRNG_427,三架空中支援来了,Es haben sich noch 3 Luftunterst黷zungstruppen angeschlossen.,3 troupes d'appui a閞ien se sont ralli閑s.,Si sono uniti ancora 3 truppe aeree di ausilio.
STRNG_428,"同志们,我们将向北进攻.也就是是从南面进攻.","Jungs, wir werden von Norden angreifen. Sie rechnen mit einem Angriff aus dem S黡en.",H?les gars ! Nous allons attaquer l'ennemi par le nord. Il pense que nous serons au sud.,Soldati attaccheremo dal nord. Loro pensano che veniamo dal sud.
STRNG_429,这是我们的最后任务.,Dies ist unsere wichtigste Mission.,C'est notre mission la plus importante.,Questa ?la nostra missione pi?importante.
STRNG_430,该死的怎么回事??? 他们一定是猜到了我们要从南面进攻.,"Es sieht so aus, als h鋞ten sie uns erwartet...",Mais qu'est-ce que c'est ??? On dirait qu'ils nous ont attendus.,Ehi che cosa significa??? Ci aspettavano.
STRNG_431,"请求增援... 我们遭到严重打击.对不起,别指望我们了.","Hilfe... wir st黵zen ab. Jungs, ihr m黶st den Rest ohne uns erledigen.",A l'aide... Nous nous 閏rasons. Il va falloir que vous fassiez le reste sans nous les gars.,Aiuto... Precipitiamo. Soldati dovete sbrigare il resto senza di noi.
STRNG_432,我们承诺过\n.我们会为你报仇的.,Wir werden euch r鋍hen.\nDas versprechen wir.,Nous vous vengerons.\nOn vous le promet.,Vi vendicheremo.\nLo promettiamo.
STRNG_433,任务成功了.\n我们几乎占领了整个海滩.,Die Mission war erfolgreich.\nWir stehen kurz vor dem Sieg.,La mission a r閡ssi.\nNous ne sommes plus loin de la victoire.,La missione ha avuto successo.\nSiamo a un passo dalla vittoria.
STRNG_502,任务 19 滩头,Mission 19 Die Landung,Mission 19 Le d閎arquement,Missione 19 L'atterraggio
STRNG_503,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati.
STRNG_504,也许你应该再试一次....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che provi ancora una volta....
