LANGUAGE,English
STR_CAMPAIGN_1985_X09BPILOTDOWN_CAIN_BRIEFING_NAME,<过场动画>
STR_CAMPAIGN_1985_X09BPILOTDOWN_CAIN_OVERVIEW_001,任务概述
STR_x09bv01,绳子是不是有点紧？那太糟了。但别担心，尼古拉斯上尉。你不会再受罪了，除非，当然，你自找的。
STR_x09bv02,阿莱克西，我的甜心，你为什么看起来那么忧郁？
STR_x09bv03,都是莫斯科的那些蠢货，安吉丽娜。为什么就在我让苏联真正的敌人屈膝投降的时候，他们却派兵对付我？
STR_x09bv04,为什么我们在克格勃的盟友没能把政治家们多拖上几个小时呢？
STR_x09bv05,别烦躁，我的将军。只要有你那辉煌的新计划，这些岛屿上的争执就再也不是问题了。最后荣光的时刻在我们手中。
STR_x09bv06,是的，是的。哦，我亲爱的安吉丽娜，没有了你，我该怎么办？
STR_x09bv07,美国人！我礼貌地要求你们离开这些岛屿。但你们拒绝照办。
STR_x09bv08,你们的挑衅已经牺牲了许许多多勇敢的苏联人的性命——当然，还有你们自己人的。你们下一位烈士此时此地正和我在一起。
STR_x09bv09,他并不是你们损失的最后一个人。你瞧，布莱克上校，呈现在你面前的，只是即将到来的大喋血的一个样本而已。
STR_x09bv10us,目前你们对抗的仅仅是我的常规部队。正在某个秘密地点为发射所做的最终准备阶段，可以说，是给我的一个小小的惊喜。
STR_x09bv11,他一定是在开玩笑。
STR_x09bv12us,是的，布莱克上校。我比你想象得要强大。
STR_x09bv13us,我俘虏了你们的一个精英。他将被处决以儆效尤，接下来你们都会死去。
STR_x09bv14us,除非……除非你们离开这些岛屿——Kolgujev、Everon和Malden。这是我们的土地，这是苏联母亲的土地。
STR_x09bv15,好吧……我想我们有麻烦了。
STR_x09bv16,还有别的呢。情报说整个苏联境内正开展大规模的军事动员。
STR_x09bv17,哦，太棒了。
STR_x09bv18,官方称这只是一次大型演习。但我们知道克里姆林宫对这里发生的事情十分恼火。
STR_x09bv19,古巴也许是个党内持不同政见者，但在他麾下的依然是红军部队。而且Kolguyev是苏联的领土。
STR_x09bv20,我们正在发动第三次世界大战。
STR_x09bv21,不。我们要解决这事，尽可能干净利落。
STR_x09bv22,找到那枚导弹，詹姆斯。情报人员正在全力工作——但我们还是需要你的第一手资料。
STR_x09bv23,回到Kolguyev去。
STR_x09bv24,回到Kolguyev去。
STR_x09bv25,那么尼古拉斯呢？录象上的那个飞行员？
STR_x09bv26,可许他能想到逃出来的办法……可我们无能为力。我很抱歉。
