LANGUAGE,English
STR_CAMPAIGN_1985_18SCOUTING_ABEL_BRIEFING_INTRO,<b>1985年6月14日</b> - 希望那些俄国佬在Malden过得愉快——因为他们在这里待不了多久了。我们已经把他们一路推回到岛屿最北端，把他们赶下海只是时间问题。<br><br>我们正在准备进攻，但在这个多石的地区使用坦克很困难，而由于这里茂密的林区，直升机也没什么用。我们需要更多的地面部队。所以，当Goisse的驻军等待增援时，我将带几个人去山上寻找敌人的营地。如果我们不知道敌人在哪里，就无法发动进攻。<br><br>在Goisse取得胜利之后，我开始觉得这场战斗的势头正在转向我们这边……
STR_CAMPAIGN_1985_18SCOUTING_ABEL_BRIEFING_NAME,初探虚实
STR_CAMPAIGN_1985_18SCOUTING_ABEL_BRIEFING_OBJ_1,"跟随M113，支援它们对坐标为<a href=""marker:Utok"">Da30</a>的敌军阵地的攻击。"
STR_CAMPAIGN_1985_18SCOUTING_ABEL_BRIEFING_OBJ_2,"查明敌军营地的确切位置，我们知道它在<a href=""marker:tabor"">山谷</a>中的某处。"
STR_CAMPAIGN_1985_18SCOUTING_ABEL_BRIEFING_OBJ_3,"安然无恙地<a href=""marker:Start"">返回</a>Goisse。"
STR_CAMPAIGN_1985_18SCOUTING_ABEL_BRIEFING_PLAN,"Armstrong中尉，我们需要找到苏军发动对Goisse攻击的营地。你的手下的任务是精确定位它的位置并报告。不要与敌人交战——进攻将在之后进行。<br><br>你将在这个任务开始时，位于<a href=""marker:Start"">Goisse</a>的北约基地。"
STR_CAMPAIGN_1985_18SCOUTING_ABEL_OVERVIEW_001,任务概述
STR_HINT_1,在一些简单的指挥任务中，比如这个，你也许更喜欢像单独作战一样行动。如果不向你的士兵下达特定的命令，他们将自动跟随你、向敌人射击、掩护你，等等。
STR_HINT_2,有些时候你不希望你的手下擅自开枪，这时你可以从命令菜单中选择他们的开火模式。选中他们（F1－F12，或者～键），从菜单中选择Engage（3），然后按2键选择‘Hold fire’(禁止开火)或者1键选择‘Open fire’（开火）。
STR_WP_1,基地
STRM_18n20,北约部队在Goisse的营地
STRM_18n21,寻找敌人的基地
STRM_18n22,寻找敌人的基地
STRM_18r02,B组呼叫A组。开始行动，小伙子们！我们要保护这个地区，出发吧，把俄国人都揪出来。
STRM_18r03,我是B组。我们遭到步兵攻击。全体单位注意，开始作战！
STRM_18r04,A组一号，我是B组。小伙子们，干得不错。这个地区已经安全了。中尉，谢谢你们的协助。
STRM_18r05,不用客气，B组。A组一号呼叫Papa Bear。我们即将出发去搜索敌宿营地。完毕。
STRM_18r06,Papa Bear明白。完毕。
STRM_18r07,A组一号呼叫Papa Bear。敌宿营地已发现，位置在坐标DE25处。我看见两个帐篷，大约有三辆BMP，还有一大群步兵。完毕。
STRM_18r08,收到。ALPHA ONE，不要攻击，立刻返回基地。Papa Bear完毕。
STRM_18v01,家，可爱的家。
