LANGUAGE,English,Comment,

STRM_intro1,"Привет, служивый. Говорят, ваши сегодня ночью\nлагерь боевиков сожгли с вертолета?",
STRM_intro2,"Верно говорят. Было дело.",
STRM_intro3,"Жаль, что не все это отродье на тот свет отправили.",
STRM_intro4,"Ну, если кто и выбрался, отловим.",
STRM_intro5,"Да что вы там отловили...\nВсего лишь один лагерь да десятка два головорезов,\nа на остров их уже сотни приехало.",
STRM_intro6,"Этот лагерь только один из тех, что появились за эти пару недель.\nЯсхара с его наемными собаками вы с вертолета не поймаете.",
STRM_intro7,"Откуда приехали? И кто такой Ясхар?",
STRM_intro8,"Ясхар - местный бандит. Это его люди устроили резню в Сант Пьере.\nРаньше торговал наркотой, а теперь вот в освободители записался.",
STRM_intro9,"А едут к нему в наемники отовсюду. У него есть деньги,\nа за деньги можно найти и людей и оружие.",
STRM_intro10,"Так что, боевики все не местные?",
STRM_intro11,"Ну почему. Есть и местные, оппозиция.\nТолько они гражданских не грабят, у них зуб на правительство.",
STRM_intro12,"Мне пора идти. Ты вечером свободен?\nА то заходи часикам к шести, потолкуем.\nОбратно я тебя сам подвезу. Не боись.",
STRM_intro13,"Я не боюсь. Вот только отпустит ли меня командир в горы на ночь глядя.\nЯ тут уже успел и в бою побывать и даже в плену.",
STRM_intro14,"Знаю. Потому и хочу с тобой серьезно поговорить без свидетелей.\nТы не из робкого десятка, тебе можно доверять.",
STRM_intro15,"Знаешь? Откуда?",
STRM_intro16,"Медведь знакомый рассказал. Ну так придешь?",
STRM_intro17,"А этот медведь из своей винтовки по бочкам, случайно, не стреляет?",
STRM_intro18,"А ты еще и не глуп - это хорошо. В общем буду тебя ждать.\nЯ кажется знаю, как вам поймать Ясхара и его шайку.",
STRM_intro19,"Хорошо. Я постараюсь к шести.",

STRM_intro20,"Товарищ лейтенант, разрешите обратиться.",
STRM_intro21,"Слушаю.",
STRM_intro22,"Только что говорил с здешним лесником\n- он хочет нам помочь.",
STRM_intro23,"У него сына в СантПьере боевики убили, так что вполне возможно.\nА чем он сможет нам помочь?",
STRM_intro24,"Это он помог мне сбежать из плена, чтобы мы разнесли эту базу.\nИ он дал понять, что знает, как отловить остальных.",
STRM_intro25,"Теперь зовет меня в гости для серьезного разговора.\nГарантирует безопасность и даже сам привезет обратно.",
STRM_intro26,"Исключено.\nХотя и очень соблазнительно.",
STRM_intro27,"Если он не врет, накроем всю свору одним махом!\nТоварищ лейтенант, разрешите сходить!",
STRM_intro28,"Пойдем вместе.",
STRM_intro29,"Его условие: без свидетелей. Он и так здорово рискует.\nЯ должен идти один. Нельзя такой шанс упускать!",
STRM_intro30,"А домой, к мамке, в цинке поехать можно?\nЧто вы все на рожон лезете?",
STRM_intro31,"Черт с тобой! Возьмешь автомат, гранаты, бинокль, рацию и ПНВ.\nЧтоб к 22.00 был здесь. Если что - вызывай по рации. На рожон не лезь.\nДо поворота тебя подкинет Левашов на УАЗике - ему по дороге.",
STRM_intro32,"Есть!",

STRM_Uaz1,"Не боишься по ночам то ездить?",
STRM_Uaz2,"Да еще рано вроде. Вот через часик я без БМПшки уже не поеду.\nХорошо хоть на колонны нападать они уже не рискуют.",
STRM_Uaz3,"Наверное слишком дорого им наш конвой встал.",
STRM_Uaz4,"Это да. Дали вы им по зубам конкретно.\nСтрашно было там? Ты не думай, я не трус вроде, но...",
STRM_Uaz5,"Страшно. Я думал что уже все - хана.\nОсобенно когда они на нас поперли из леса.",
STRM_Uaz6,"Вот и мне страшно. Кручу баранку, а сам жду выстрелов.\nЯ видел, что осталось от вашей колонны. Никогда не забуду.",
STRM_Uaz7,"Я тоже не забуду. Я им наш конвой еще припомню.\nПрижми педальку, братишка, опаздываю.",

STRM_Uaz13,"Тормозни на повороте!",
STRM_Uaz14,"Давай. Ни пуха тебе! Осторожнее там в горах!",
STRM_Uaz15,"Да хорошо. Сам тоже не плошай. Счастливо!",

STRM_Opa,"Опа! Сходил в гости... Начинается...",
STRM_Opa2,"Черт! Рацию раздавил, когда упал.\nДо 10ти вечера наши меня теперь не спохватятся.",
STRM_banda1,"Он сотрудничал с русскими - я в этом уверен.",
STRM_banda2,"Собаке собачья смерть!",

STRM_Stoy,"Стоять!! Оружие на землю и руки на затылок!!",
STRM_Stoy1,"Тут вокруг полно моих людей. И они уже бегут сюда.",
STRM_Stoy2,"Для тебя, сволочь, будет лучше, если мы никого не встретим.\nПошли!",

STRM_kuda,"Далеко собрался? Даже и не думай об этом.",

STRM_priv1,"Товарищ лейтенант. Люди этого человека убили лесника,\nоказали сопротивление при задержании, и я их немного того...\n Пострелял.",
STRM_priv2,"В обмен на свою жизнь он наверняка готов\nподелиться с нами планами боевиков.",
STRM_priv3,"Вот это дела...\nКакие люди! Дима. Ты скрутил самого Ясхара!",
STRM_priv4,"Иди отдохни пока, сейчас он нам будет рассказывать все, что знает",
STRM_priv5,"И что не знает - тоже расскажет.\nПритащи-ка паяльник.",

STRM_outro1,"Так. У нас задание: В 5.00 в районе Регины встретиться с орлами\nСеливанова для совместной операции по ликвидации банды.\nНам предстоит марш-бросок через горы. Разойтись!",

STRM_outroL01,"Товарищ Лейтенант. Бандиты убили лесника.\nНаверное им стуканули, что я с ним говорил.",
STRM_outroL02,"Теперь и лесника нет, и сведений нет, и боевиков я упустил.\nКажется, я облажался.",
STRM_outroL03,"""Кажется""? Тебе это только кажется? Да мы теперь в дерьме по уши!\nИз-за нас погиб человек, и погиб совершенно напрасно!",
