LANGUAGE,English
STR_CAMPAIGN_1985_38STATUSQUO_EDEN_BRIEFING_INTRO,"<b>May 3rd, 1991</b> - Got a call from David Armstrong. He's organizing a
reunion on Everon.
<br><br>
A strange time - a distant memory... yes, it would be good to meet up again.
<br><br>
I'd better tell Julie and the kids..."
STR_CAMPAIGN_1985_38STATUSQUO_EDEN_BRIEFING_NAME,Status Quo
STR_CAMPAIGN_1985_38STATUSQUO_EDEN_BRIEFING_OBJ_1,"Meet with <a href=""marker:robert"">Robert</a>."
STR_CAMPAIGN_1985_38STATUSQUO_EDEN_BRIEFING_OBJ_2,"Meet with <a href=""marker:bill"">Sam</a>."
STR_CAMPAIGN_1985_38STATUSQUO_EDEN_BRIEFING_OBJ_3,"Meet with <a href=""marker:david"">David</a>."
STR_CAMPAIGN_1985_38STATUSQUO_EDEN_BRIEFING_OBJ_4,"Go to the <a href=""marker:pub"">bar</a> with your friends."
STR_CAMPAIGN_1985_38STATUSQUO_EDEN_BRIEFING_OBJ_START,"Land at Everon. (<a href=""marker:Start"">Airport</a> 
recommended.)"
STR_CAMPAIGN_1985_38STATUSQUO_EDEN_BRIEFING_PLAN,"Friends from the 1985 &quot;war&quot; are planning to meet in a bar on Everon. You've
agreed to pick them up, and transport them to the bar.
<br><br>
You'll start in the air heading to Everon, five minutes from the landing strip."
STR_CAMPAIGN_1985_38STATUSQUO_EDEN_OVERVIEW_001,Overview
STRM_38h47,你可以用无线电信号（0-0-1）让司机停车。
STRM_38n70,大卫·阿姆斯特朗
STRM_38n71,山姆·尼古拉斯
STRM_38n72,罗伯特·汉默
STRM_38n73,机场
STRM_38n74,旧时的战友在酒吧中相聚
STRM_38n75,前往的Everon机场
STRM_38r08,嘿，我想找Nicholls，他在船上吗？
STRM_38r09,是的，他在。我们正打算去Laruns港呢，跟我们来吧。
STRM_38r10,C组呼叫指挥塔：请求降落。完毕。
STRM_38r11,指挥塔呼叫C组：明白。你可以降落。完毕。
STRM_38r76,停下！
STRM_38v01,嘿，伙计们。你们上哪儿去？
STRM_38v02,我们要去Morton。
STRM_38v03,你也想去吗？我们18：10出发。
STRM_38v04,嗨，我要我的车。
STRM_38v05,好的。它跑起来就象瑞士手表一样棒。
STRM_38v06,嗨，我在找Nicholls。
STRM_38v07,他眼下正在岛子附近钓鱼呢。
STRM_38v12,我要去Meaux。
STRM_38v13,我要去Saint Philippe。
STRM_38v14,我正要离开去机场。
STRM_38v15,我正要离开去Tyrone。
STRM_38v16,我要去Chotain。
STRM_38v17,我正要去Gravette。
STRM_38v18,我要去Laruns。
STRM_38v19,我要去B95地区。
STRM_38v20,我要去Montignac。
STRM_38v21,我正要去机场附近的美军基地。
STRM_38v22,我要去Morton。
STRM_38v23,我正要离开去Entre Deux。
STRM_38v24,我正要去Le Moule。
STRM_38v25,我正要去Figari。
STRM_38v26,我正要去Provins。
STRM_38v27,我正要离开去Lamentin。
STRM_38v28,我正要去Levie附近的美军基地。
STRM_38v29,嗨小伙子们，你们好吗？你们的头在哪儿？我在找他。战时我们是朋友。
STRM_38v30,他在St. Piere城堡休息呢。
STRM_38v31,谢谢你，再见。
STRM_38v32,嗨詹姆斯，很高兴又在Everon看见你。我们的头儿想和你谈谈。
STRM_38v33,我知道了，我正在找他。我在哪儿才能见到他？
STRM_38v34,他在St. Piere附近的什么地方，也许是城堡那儿。那是他最喜欢的地方。
STRM_38v35,谢谢你们，小伙子们。
STRM_38v36,这条路正在翻修——抱歉，你必须离开这儿。
STRM_38v37,嘿，吉米。看见你真高兴。
STRM_38v38,看见你我也很高兴，罗伯特。咱们上酒吧去。
STRM_38v39,很高兴你来了，詹姆斯。
STRM_38v40,我也是，山姆。咱们去喝一杯。
STRM_38v41,大卫，嗨。跟我去酒吧，咱们开始聚会。
STRM_38v42,没问题，詹姆斯。
STRM_38v43,欢迎来到Everon，先生。你需要些什么吗？
STRM_38v44,我需要我的车。
STRM_38v45,抱歉，但我帮不了你。也许你可以试试直升机飞行员的那辆。
STRM_38v46,好的，谢谢。
STRM_38v48,我就开到这儿。再见！
STRM_38v49,你能在这儿停吗？
STRM_38v50,请在这儿停下。
STRM_38v51,盖斯塔夫斯基中校，您回Everon来干什么？
STRM_38v52,我们正要一起喝一杯。想一起来吗？
STRM_38v53,那可真……不错。谢谢你。
