LANGUAGE,English,German,French,Italian
STRNG_256,医师,Die Sanit鋞er,Les infirmiers,Gli infermieri
STRNG_257,(救援车辆.) 我们在路上,(Transporter) Wir kommen,(camion-ambulance) On arrive.,(Furgone) Arriviamo
STRNG_258,(救援车辆.)我们已经发现了他,(Transporter) Wir sehen ihn,(camion-ambulance) On l'aper鏾it.,(Furgone) Controlliamo
STRNG_259,(救援车辆.) 我们抓到他了,(Transporter) Haben ihn aufgesammelt,(camion-ambulance) On l'a ramass?,(Furgone) Lo abbiamo trovato
STRNG_270,油料补给,Treibstoffdepot,D閜魌 de carburant,Deposito di carburante
STRNG_274,结局 1,Ende1,fin1,Fine1
STRNG_275,最后一战的结果...,Das Ergebnis der letzten Schlacht...,Le r閟ultat du dernier combat...,Il risultato dell'ultima battaglia...
STRNG_276,…是大量的受伤和牺牲.,...viele Verwundete und Tote.,...de nombreux morts et bless閟.,...molti feriti e morti.
STRNG_277,找到伤员并呼叫医师.,Suchen Sie die Verwundeten und rufen Sie dann den Rettungswagen.,Cherchez les bless閟 et appelez l'ambulance.,Cerchi i feriti e poi chiami l'ambulanza.
STRNG_278,别忘了敌人.他不会让你活得轻松.,Denken Sie daran: der Gegner wird die Bergung nicht zulassen wollen.,Mais pensez ?vos ennemis. Ils ne vous feront pas la partie facile.,Non dimentichi mai il nemico. Questi non Le render?la vita facile.
STRNG_279,我们达到了目标我希望你能帮助我们的同志.,Wir sind am Ziel. Hoffentlich k鰊nen wir noch helfen.,Nous sommes au but. Esp閞ons que vous avez pu aider nos gars.,Siamo arrivati. Speriamo che possa aiutare i nostri ragazzi.
STRNG_280,全部人员都获救了.把他们带到医院.,Alle wurden gerettet. Wir bringen sie ins Lazarett.,Tous ont 閠?sauv閟. Nous vous conduisons maintenant ?l'h魀ital.,Tutti sono stati salvati. Adesso andiamo all'ospedale.
STRNG_281,Saint Louis,Saint Louis,Saint Louis,Saint Louis
STRNG_475,任务 9 医师,Mission 9 Die Sanit鋞er,Mission 9 Les infirmiers,Missione 9 Gli infermieri
STRNG_476,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati delle posizioni vengono aggiornati.
STRNG_477,没有什么比得上尝试和错误.再试一次....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che ci riprovi....
STRNG_4000,抵抗组织营地,Widerstandslager,Camp de r閟istance,Campo dei ribelli
STRNG_4001,油料补给,Treibstoffdepot,D閜魌 de carburant,Deposito di carburante
