LANGUAGE,English,German,French,Italian
STRNG_200,巡逻,Die Patroullie,La patrouille,La pattuglia
STRNG_201,一个敌军士兵逃跑了.\n他会回去给他们的基地通风报信.\n 尽快通知这件事给我们的基地.,"Einer der Gegner konnte entkommen.\n Er wird seinen Leuten einen Lagebericht geben.\n Sehen Sie zu, da?Sie schnellstm鰃lich zur點kkehren, um dies zu melden.",L'un des adversaires a r閡ssi ?se sauver\nIl va faire un rapport ?ses sup閞ieurs.\nVoyez ?revenir le plus rapidement possible pour faire un rapport.,Uno dei nemici potrebbe sfuggirci.\nDar?ai suoi compagni una descrizione del campo.\nVeda di tornare velocemente per segnalarlo.
STRNG_202,营地已经成功撤离\n 这什么都没有了.\n 上直升机离开这!,"Das Lager ist ger鋟mt,\n hier gibt es nichts mehr zu tun.\n Steigen sie in den Helikopter und verlassen Sie diesen Ort!",Le camp a 閠?d閎arrass閈nIl n'y a plus rien ?faire ici.\nMontez ?bord de l'h閘icopt鑢e et quittez cet endroit !,Il campo ?vuoto\nqui non c'?pi?niente da fare.\nSalga sull'elicottero e abbandoni questo posto!
STRNG_203,无论你用什么办法.\n 阻止敌人的侦察兵.,Ab hier sind Sie auf sich allein gestellt.\n Halten Sie den Sp鋒trupp auf!,A partir de maintenant vous ne pouvez plus que compter sur vous.\nArr阾ez la troupe d'閏laireurs.,Da qui in poi pu?contare solo sulle Sue forze.\nFermi le spie.
STRNG_204,敌人的基地已经准备听他们的侦察兵的报告!,Der Gegner wartet bereits auf den Bericht des Sp鋒ers!,L'adversaire attend d閖?le rapport de l'閏laireur !,Il nemico aspetta gi?il rapporto delle spie!
STRNG_205,"La Pessagne,我们来了.","La Pessagne, wir kommen.",La Pessagne nous arrivons.,La Pessagne: arriviamo.
STRNG_206,拿上你的特种装备!,Versorgen Sie sich mit Sonder-Ausr黶tung.,Procurez-vous en 閝uipement sp閏ial.,Si procuri un equipaggiamento speciale
STRNG_207,我们的队伍没法伏击敌人的巡逻队.\n敌人现在正在朝我们的营地来.\n我们必须尽快肃清这里.,Unser Team hat den Patrollientrupp nicht ausschalten k鰊nen.\nDer Gegner ist nun auf dem Weg hierher.\nWir m黶sen schnellstens von hier verschwinden.,Notre 閝uipe n'a pas r閡ssi ?mettre la patrouille hors d'閠at de nuire.\nL'adversaire est maintenant en route pour venir ici.\nNous n'avons plus qu'?dispara顃re d'ici le plus vite possible.,Il nostro gruppo non ?riuscito a neutralizzare la pattuglia.\nIl nemico sta arrivando qui.\nDobbiamo sparire di qui il pi?velocemente possibile.
STRNG_208,该死的快走!!,Sputen sie sich!!!,D閜阠hez-vous ! !,si muova!!!
STRNG_469,任务 7 巡逻,Mission 7 Die Patroullie,Mission 7 La patrouille,Missione 7 La pattuglia
STRNG_470,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati
STRNG_471, 也许你应该再试一次....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che provi ancora una volta
