LANGUAGE,English
STRC_01,

STRCN_00,训练任务

STRCN_01,闪点行动

STRCN_02,协同作战

STRCN_03a,战地宿营

STRCN_03b,战斗警报

STRCN_04,进攻MONTIGNAC

STRCN_05a,绝境余生

STRCN_05b,意外遭遇

STRCN_06a,救援任务

STRCN_06b,隐密行动

STRCN_07a,夜巡人

STRCN_07,保卫MALDEN

STRCN_08,最后的守望者

STRCN_09,坦克训练

STRCN_10,HOUDAN之战

STRCN_11,截断铁流

STRCN_12,铁甲先锋

STRCN_13,开拓者

STRCN_14,竞赛

STRCN_15,坦克集群

STRCN_16,未尽使命

STRCN_17,光荣晋升

STRCN_18,初探虚实

STRCN_19,扭转乾坤

STRCN_20,破坏者

STRCN_21,保护车队

STRCN_22,重返EDEN

STRCN_23,猎鹿人

STRCN_24,滚雷行动

STRCN_25,从天而降

STRCN_26,空中优势

STRCN_27,定位侦察

STRCN_28,攻其不备

STRCN_29,空中突击

STRCN_30,凌晨惊梦

STRCN_31a,战机升空

STRCN_31b,小牛出击

STRCN_32,全面反攻

STRCN_33a,逃离牢笼

STRCN_33b,北极星

STRCN_33c,漫漫长夜

STRCN_34,深入敌后

STRCN_35,搜索摧毁

STRCN_36,赤色黎明

STRC_L01,嗨，ARMSTRONG，你想上哪儿去啊？给我归队。

STRC_L02,嗨，GASTOVSKI，你想上哪儿去啊？给我归队。

STRC_L03,嗨，HAMMER，你想上哪儿去啊？给我归队。

STRC_L04,嗨，NICHOLLS，你想上哪儿去啊？给我归队。

STRC_L08,士兵，你到底在那里干什么？没看过任务计划吗？

STRC_L09,该死的，当兵的，你当你是谁啊？执行命令——跟上他们！

STRC_L05,他妈的，我根本不认识这个地方！我在哪里？

STRC_L06,这完全不对，我真的应该检查一下我的任务计划。

STRC_L06a,这看上去不对劲，我应该检查一下我的任务计划。

STRC_L07,他妈的，我的地图哪儿去了？这条路肯定不对。

STRC_Insert,插入点

STRC_Destroy,消灭

STRC_Go,到这儿来

STRC_Seize,夺取

STRC_End,汇合点

STRC_Meeting,汇合点

STRC_Completed,任务完成

STRC_Failed,任务失败

STRC_Succesfull,任务成功

STRC_Defeated,击败敌军

STRC_Obey,任务失败/你没有执行命令

Comment," "" ------------ added later -------------""",,,,, ------------ added later -------------, ------------ added later -------------," "" ------------ added later -------------""",

STRCN_38,Status Quo

STRCN_CUT,<过场动画>
