LANGUAGE,English
STR_CAMPAIGN_1985_20SABOTEUR_EDEN_BRIEFING_INTEL_BODY,"<br>我注意到有一两辆石勒喀河在目标周围移动。我得先干掉它们。<br><br>不确定那里有多少辆敌军坦克——至少五六辆。这些是我的主要目标。<br><br>BMP步兵战车在该区域巡逻。最好避开它们。<br><br>在<a href=""marker:Lev"">Levie</a>有一个敌军前哨。不确定司令部是否想在这个阶段处理它。<br><br>在过去几天里，从<a href=""marker:Lev"">Levie</a>到<a href=""marker:Dur"">Durras</a>的路上有大量军事交通。很有趣。<br><br>北部地区，在<a href=""marker:Lev"">Levie</a>和<a href=""marker:Lar"">Laruns</a>之间，应该避开。那里到处都是俄国人。<br><br><a href=""#Main"">返回笔记</a>"
STR_CAMPAIGN_1985_20SABOTEUR_EDEN_BRIEFING_INTEL_HEADING,我的观察
STR_CAMPAIGN_1985_20SABOTEUR_EDEN_BRIEFING_INTRO,"<b>1985年5月10日</b> - 我已经在Everon上潜行了两周，做了一些<a href=""#Intel"">观察</a>并保持隐蔽。这个岛上还有另外几个特种部队的家伙，但他们也在低调活动。<br><br>司令部两天前在下午时分叫醒了我。他们的人报告说这个地区有大量装甲部队在移动——一个给伊万找麻烦的好机会。我的命令是潜入敌军基地，用炸药包摧毁尽可能多的敌人坦克，然后消失。应该很容易。<br><br><a href=""#Intel"">观察报告</a>"
STR_CAMPAIGN_1985_20SABOTEUR_EDEN_BRIEFING_NAME,破坏者
STR_CAMPAIGN_1985_20SABOTEUR_EDEN_BRIEFING_OBJ_1,"潜入坐标为Fi67的敌军<a href=""marker:zakladna"">仓库</a>。"
STR_CAMPAIGN_1985_20SABOTEUR_EDEN_BRIEFING_OBJ_1A,"可选任务：在<a href=""marker:Lev"">Levie</a>有一个小型弹药库。最好将其摧毁。"
STR_CAMPAIGN_1985_20SABOTEUR_EDEN_BRIEFING_OBJ_2,摧毁至少一辆坦克。尝试摧毁更多。
STR_CAMPAIGN_1985_20SABOTEUR_EDEN_BRIEFING_OBJ_3,"逃到南面的树林中，与我们的<a href=""marker:spojka"">抵抗组织联系人</a>会合。"
STR_CAMPAIGN_1985_20SABOTEUR_EDEN_BRIEFING_PLAN,"Gastovski指挥官，在这个任务中，你的任务是破坏Levie村附近一个仓库中正在维修的若干辆坦克。悄悄溜进去，避开地面和空中防御，你应该能打个措手不及。<br><br>你将从坐标为Ga61的<a href=""marker:Start"">树林</a>中出现。"
STR_CAMPAIGN_1985_20SABOTEUR_EDEN_OVERVIEW_001,任务概述
STR_MAR_2,炸毁坦克
STR_WP_1,炸毁坦克
STR_WP_2,会合地点
STRM_20n01,在Everon岛上的森林里
