LANGUAGE,English
STR_CAMPAIGN_1985_34INCURSION_CAIN_BRIEFING_INTRO,"<B>July 8, 1985</B> - We're so close, so very near to victory out here... but
there's the small matter of this nuke standing in our way. Time is short - God
knows what's going on in Guba's mind. He could launch the missile at any moment.
<br><br>
So I've got to go in, right into the center of his main base. Of course -
what could be easier?
<br><br>
I'm planning to use as little force as possible - reckon I can do this without firing a single
shot, even. (Although if I am discovered, all hell's going to break loose, so
I'd better take some extra HK clips just in case...)
<br><br>
And I should probably take at least one satchel charge with me, to destroy the fence so
I can get inside without using the main gate.
<br><br>
Here goes nothing..."
STR_CAMPAIGN_1985_34INCURSION_CAIN_BRIEFING_NAME,Incursion
STR_CAMPAIGN_1985_34INCURSION_CAIN_BRIEFING_OBJ_2,"Get inside and steal the documents from the general's <a href=""marker:Codes"">house</a>."
STR_CAMPAIGN_1985_34INCURSION_CAIN_BRIEFING_OBJ_4,"<a href=""marker:End"">Escape</a> from the area."
STR_CAMPAIGN_1985_34INCURSION_CAIN_BRIEFING_PLAN,"James, the situation is desperate. We need you to break into Guba's headquarters and
get any information you can to help us to find the SCUD.
<br><br>
You will approach the heavily-guarded target zone from the <a href=""marker:start"">West</a>."
STR_CAMPAIGN_1985_34INCURSION_CAIN_OVERVIEW_001,Overview
STRM_34n05,文件
STRM_34n06,返回
STRM_34n08,拿到文件
STRM_34n09,返回
STRM_34n20,苏占Kolgujev某地
STRM_34r01,A组一号呼叫Papa Bear。我现在正在接近目标。祝我好运，小伙子们。完毕。
STRM_34r02,Papa Bear，这是A组一号。我拿到了密码，正在回家的路上。现在我们去找那辆SCUD发射车怎么样？A组完毕。
