LANGUAGE,English,German,French,Italian
STRNG_297,SCUD行动,SCUD,SCUD,SCUD
STRNG_298,任务完成,EINSATZ ERFOLGREICH,MISSION ACCOMPLIE,MISSIONE COMPIUTA
STRNG_299,清理道路，并炸毁坦克,Weg frei machen und Panzer sprengen,Lib閞ez la voie et fa顃es sauter les chars.,Liberare la strada e far saltare i carri armati.
STRNG_300,把SCUD带回营地,Bringen sie den SCUD zum Lager,Emmenez le SCUD au camp.,Porti lo SCUD nel campo.
STRNG_301,SCUD导弹,SCUD,SCUD,SKUD
STRNG_302,起义被平息了 - 任务失败,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_304,快出去，这样运气可能会更好!,"Alle raus! Viel Gl點k, M鋘ner!",Tout le monde dehors et bonne chance !,Tutti fuori e buona fortuna uomini!
STRNG_305,好.SCUD是我们的了.,Der SCUD geh鰎t nun uns.,Super. Le SCUD est ?nous.,Benissimo. Lo SCUD ci appartiene.
STRNG_306,你的国家会以你为傲.,Ihr Land kann stolz auf sie sein.,Votre pays peut 阾re fier de vous.,Il suo paese pu?essere orgoglioso di Lei.
STRNG_307,给你个建议.\n 你下次应该更小心.,Sie sollten in Zunkunft vorsichtiger vorgehen.\n Kleine Empfehlung.....,Vous devriez agir avec plus de prudence.\nC'est seulement un conseil.,Dovrebbe stare pi?attento.\nsolo una proposta.
STRNG_308,清理道路，并炸毁坦克,Weg freimachen und Panzer sprengen,Lib閞ez la voie et fa顃es sauter les chars.,Sgombrare la strada e far saltare i carri armati.
STRNG_479,任务 11 SCUD行动,Mission 11 Operation SCUD,Mission 11 Op閞ation SCUD,Missione 11 Operazione SCUD
STRNG_480,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati.
STRNG_481,也许还有别的办法 ...,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che ci riprovi....
STRNG_20000,用地雷毁掉车队,Konvoi mit Minen ausschalten,Eliminer le convoi avec les mines,Eliminare il convoglio con le mine.
STRNG_20001,偷到SCUD ,SCUD stehlen,Voler le SCUD,Rubare lo SCUD 
STRNG_20002,摧毁坦克,Panzer zerst鰎en,D閠ruire les chars d'assaut,Distruggere i carri armati.
STRNG_20003,撤离,R鋟men,D閎arrasser ,Sgombrare
STRNG_4000,摧毁营地,Lager zerst鰎en,D閠ruire le camp,Distruggere il campo.
STRNG_4001,清理道路,Weg freimachen,Lib閞er le chemin,Sgombrare la strada.
STRNG_4002,偷到SCUD ,SCUD stehlen,Voler le SCUD,Rubare lo SCUD.
STRNG_4003,布下反坦克地雷,Panzerminen legen,Poser des mines antichar,Mettere mine di carro armato.
STRNG_4004,进入地点,Startzone,Zone de d閜art,Zona di partenza
STRNG_4005,根据地 - 传递SCUD -,Basis -SCUD abliefern-,Base - amener le SCUD -,Consegnare lo SCUD di base.
