LANGUAGE,English,German,French,Italian
STRNG_61,车队,Der Konvoi,Le convoi,Il convoglio
STRNG_62,缴获这辆和另外两辆卡车，然后回到营地.,Bringen sie diesen LKW zusammen mit den beiden anderen zur點k zum Lager.,Ramenez ce camion avec les deux autres au camp.,Riporti questo camion insieme agli altri due nel campo.
STRNG_63,任务失败.其中一辆卡车被击毁了.,Mission gescheitert. Einer der LKWs wurde zerst鰎t.,Mission 閏hou閑. L'un des camions a 閠?d閠ruit.,Missione fallita. Uno dei camion ?stato distrutto.
STRNG_64,小心!这地方有许多敌人的巡逻队!,Warnung! In diesem Gel鋘de sind viele gegnerische Einheiten unterwegs!,Attention ! De nombreuses patrouilles sont en route dans les terrains vagues !,Attenzione! In questo territorio ci sono delle pattuglie!
STRNG_65,小心!这地方有许多敌人的巡逻队!,Warnung! In diesem Gel鋘de sind viele gegnerische Einheiten unterwegs!,Attention ! De nombreuses patrouilles ennemies sont en route dans les terrains vagues !,Attenzione! In questo territorio ci sono molte pattuglie nemiche!
STRNG_66,该死.他们一定是知道了我们的行动并且设置了路障.,"Verdammt! Die Stra遝 ist dort vorn gesperrt. Eines mu?man den Gegnern lassen, sie haben ihre Hausaufgaben gemacht.",Bon sang. L'adversaire s'est pr閜ar?et a 閞ig?un barrage plus loin devant.,Accidenti. Il nemico si ?preparato e ha organizzato un posto di blocco.
STRNG_67,要么你摧毁路障，要么你穿过树林.,Zerst鰎en oder umgehen Sie die Stra遝nsperre.,Soit vous d閠ruisez le barrage ou vous passez par dans les terrains vagues.,O distrugge il posto di blocco o attraversa il territorio.
STRNG_68,路障已经被清除，现在道路畅通了.继续出发!,Die Stra遝nsperre ist beseitigt und der Weg ist frei. Vorw鋜ts!,On a 閘imin?le barrage de la rue et le chemin est de nouveau libre. On continue !,Il posto di blocco ?stato eliminato e la strada ?di nuovo libera. Avanti!
STRNG_69,看前面!一辆敌人的吉普车....我们必须保持警惕.这的敌人似乎非常活跃.,"Dort vorn ist ein gegnerischer Jeep, wir sollten wachsam bleiben. Hier scheint es reichlich feindliche Aktivit鋞en zu geben.",L?devant ! Une jeep ennemie....nous devrions rester aux aguets. Nos ennemis semblent 阾re bien actifs ici.,L?davanti! Una jeep nemica....dobbiamo rimanere all'erta. Il nemico sembra essere molto attento.
STRNG_70,test test test,test test test,test test test,test test test
STRNG_71,任务失败 - 你没有缴获所有我们需要的卡车.,"MISSION GESCHEITERT! Sie waren nicht in der Lage, alle LKWs zu beschaffen.",MISSION ECHOUEE - Vous n'avez pas pu nous fournir tous les camions.,MISSIONE FALLITA - Non pu?procurare per tutti noi un camion.
STRNG_72,任务完成,MISSION ERFOLGREICH,MISSION ACCOMPLIE,MISSIONE COMPIUTA
STRNG_73,我们最快的路线就是通过这条路到南部.,Der schnellste Weg f黨rt 黚er diese Stra遝 Richtung S黡en.,Le chemin le plus rapide passe par cette rue en direction du sud.,La via pi?veloce passa per questa strada in direzione sud.
STRNG_74,看起来车队好像有能力呼叫直升机支援.,Die Besatzung des Konvois konnte offensichtlich noch einen Helikopter zur Unterst黷zung anfordern.,La troupe dans le camion a r閡ssi apparemment ?appeler un h閘icopt鑢e.,La truppa d'occupazione ha potuto evidentemente chiamare un elicottero.
STRNG_75,撤回基地!我们的一支放空部队会照顾这些直升机的.,R點kzug zum Lager! Luftabwehreinheiten werden sich um den Helikopter k黰mern.,Vite repli au camp ! Les unit閟 de d閒ense a閞ienne vont s'occuper de l'h閘icopt鑢e.,Velocemente di nuovo al campo! Unit?contraeree si devono occupare dell'elicottero.
