LANGUAGE,English,Comment

STR_Load1,"ЭВЕРОН. СТАВКА КОММАНДОВАНИЯ МИРОТВОРЧЕСКИМ КОНТИНГЕНТОМ.",Load mission
STR_Load2,"СПУСТЯ НЕКОТОРОЕ ВРЕМЯ. ГДЕ-ТО У ЮЖНОЙ ЧАСТИ ОСТРОВА.",Load mission

STRM_intro0_1,"Товарищ генерал!\nКапитан Селиванов по вашему приказанию прибыл!",Intro 0 messages
STRM_intro0_2,"Садись Андрюша, как ты уже понял для тебя есть дело.",Intro 0 messages
STRM_intro0_3,"Вчера, в Монтиньяке, нашим патрулем был задержан американский офицер,\nкоторый по ошибке заехал на нашу территорию,\nсам того не подозревая.",Intro 0 messages
STRM_intro0_4,"Он был очень удивлен,\nувидев наших парней, спешащих к нему на помощь.",Intro 0 messages
STRM_intro0_5,"Этот офицер оказался адьютантом полковника Стивена Малколма.",Intro 0 messages
STRM_intro0_6,"Это второе после Дулитла лицо в генштабе американцев.",Intro 0 messages
STRM_intro0_7,"Отвечает за весь этот регион.",Intro 0 messages
STRM_intro0_8,"Вот это удача!",Intro 0 messages
STRM_intro0_9,"Да. Так вот, как только мы это выяснили,\nнаши парни из контрразведки сразу взяли в оборот этого адьютанта...",Intro 0 messages
STRM_intro0_10,"Ты ведь знаешь, они умеют спрашивать.\nИ уже через час у нас было чистосердечное признание.",Intro 0 messages
STRM_intro0_11,"Завтра, Стивен Малколм повезет на одобрение в генштаб\nплан наступления американских войск.",Intro 0 messages
STRM_intro0_12,"Андрей, Нам нужны эти документы.\nНужно постараться их изъять.",Intro 0 messages
STRM_intro0_13,"Эту дело я могу доверить только тебе.\nТы единственный кто способен выполнить такое задание.",Intro 0 messages
STRM_intro0_14,"Спасибо Алексей Васильевич, я вас не подведу.",Intro 0 messages
STRM_intro0_15,"Я знаю Андрюша.\nПодробности операции у начальника контрразведки Ковтуна.",Intro 0 messages
STRM_intro0_16,"Разрешите идти?",Intro 0 messages
STRM_intro0_17,"Да, удачи.",Intro 0 messages

STRM_game1_0,"Итак мужики. Все подробности операции вам известны.\nРабота предстоит не простая.",Ingame comments
STRM_game1_1,"Самое главное не поднять шухер раньше времени.",Ingame comments
STRM_game1_2,"Брать будем на дороге. ""Пассажир""\nнас не волнует, нужны только документы",Ingame comments
STRM_game1_3,"Поэтому останавливать машину придется\nнежно и ласково, без артиллерии.",Ingame comments
STRM_game1_4,"Всем все ясно?",Ingame comments
STRM_game1_5,"Так точно!",Ingame comments

STRM_radio1_0,"Ястреб. Это наблюдатель. Пассажир прибыл в Ле муль.",Ingame comments
STRM_radio1_1,"Ястреб. Это наблюдатель. Колонна покинула Ле Муль. Направляется на восток. Пассажир во второй машине. Повторяю - пассажир во второй машине.",Ingame comments
STRM_radio1_2,"Гнездо гнездо. Это ястреб. Задание выполнено. Жду дальнейших приказаний.",Ingame comments
STRM_radio1_3,"Ястреб, ястреб. Это гнездо. Двигайтесь к месту эвакуации: квадрат DI55.",Ingame comments

STRM_hint_1,"ДОКУМЕНТЫ НАЙДЕНЫ.",Hint
STRM_hint_2,"ДОКУМЕНТЫ УНИЧТОЖЕНЫ. МИССИЯ ПРОВАЛЕНА.",Hint
STRM_hint_3,"ДВИГАЙТЕСЬ К МЕСТУ ЭВАКУАЦИИ. ОНО ОБОЗНАЧЕНО НА КАРТЕ.",Hint
STRM_hint_4,"ПАССАЖИР УШЕЛ. МИССИЯ ПРОВАЛЕНА.",Hint

STRM_action1,"Вытащить полковника из машины",Actions texts
STRM_action2,"Обыскать полковника",Actions texts
