LANGUAGE,English
STR_CAMPAIGN_1985_X05ROBERTPROBLEMS_ABEL_BRIEFING_NAME,<Cutscene>
STR_CAMPAIGN_1985_X05ROBERTPROBLEMS_ABEL_OVERVIEW_001,Overview
STR_x05v01,少校！你还好吗？
STR_x05v02,我本打算让你去洗盘子的，可事实是我们需要你上前线。
STR_x05v03,前线？可是长官，我甚至还没完成训练哪。
STR_x05v04,这用不着说。可眼下我们的坦克比机组成员多，\n而且苏维埃把我们打得屁滚尿流。
STR_x05v05,那么说是真的了？我们和共军干上了？
STR_x05v06,怎么说呢，他们穿着苏联的制服，开着苏联的坦克，但他们打起仗来\n就象……嗯，我压根就从没看过那么个打法。
STR_x05v07,你就瞧我的好吧，长官。我差不多已经把驾驶盘给琢磨透啦。
STR_x05v08,我希望如此——看在你和你的组员的份上。说起来，他们在哪儿？
STR_x05v09,他们在La Trinite打发时间呢，长官。
STR_x05v10,那么，把你和你的坦克都带到那儿，捎上他们。\n然后向附近训练场地上的塞泽兰德少校报到。
STR_x05v11,是，长官。
STR_x05v12,那么快出发——苏联坦克这会正在Malden上跑着呢。
STR_x05v13,我们还没准备好执行这种任务，长官。
STR_x05v14,我知道，我知道。可不管有没有准备好，\n一场严峻的战斗都在前面等着我们……
