LANGUAGE,English,German,French,Italian
STRNG_159,根据地迁移,Lagerverlegung,Transfer de camp,Dislocamento campo
STRNG_160,我们必须完成我们的任务.前往La Pessagne !,Wir m黶sen unsere Mission vollenden. Also auf nach La Pessagne !,Il faut que nous achevions notre mission. Alors en route vers La Pessagne !,Dobbiamo portare a termine la nostra missione. Forza alla volta di La Pessagne!
STRNG_161,这是一个陷阱. 小心.,Es ist eine Falle! Vorsicht!,C'est un pi鑗e. Prenez garde.,?una trappola. Attenzione.
STRNG_162,Arudy需要支援.\n 敌人正从东面打过来.请求支援.\n 没人听到我们吗.我们正被围困?,Wir brauchen hier in Arudy Unterst黷zung!\n Der Feind greift von Osten an. Bitten um Unterst黷zung.\n H鰎t uns denn keiner? Wir werden angegriffen!,Nous avons besoin de renfort ici ?Arudy.\nL'ennemi attaque par l'est. Demande du renfort.\nPersonne ne nous entend ? On nous attaque.,Qui a Arudy abbiamo bisogno di sostegno.\nIl nemico attacca da est. Vi preghiamo di aiutarci.\nNon ci sente nessuno? Veniamo attaccati.
STRNG_163,出发. Arudy的同志正等着我们! ,Los. Auf nach Arudy! ! ! ,On part. En route vers Arudy ! ! ! ,Avanti. A Arudy! ! !
STRNG_164,长官? 为什么敌人要打我们??,"Sir, was haben die gegen uns???",Commandant ? Mais qu'est-ce que les adversaires ont contre nous ??,Signore?che ha il nemico contro di noi???
STRNG_165,我也不知道，同志.,"Ich hab nicht die geringste Ahnung, Soldat.",Pas la moindre id閑 soldat.,Non ne ho la minima idea soldato.
STRNG_166,我只希望我能在这场战争中活下来.,"Ich hoffe nur, wir 黚erleben diesen Wahnsinn.",J'esp鑢e seulement que nous survivrons ?cette guerre.,Spero solo che sopravvivremo a questa guerra.
STRNG_167,他总是抱怨.\n 很显然，他并没有看到这很无聊.,"Immer muss er rummeckern.\n Er versteht anscheinend nicht, dass uns das Ganze ankotzt.",Il a toujours quelque chose ?redire.\nIl n'a pas l'air de comprendre que tout 鏰 nous on s'en fout.,Deve sempre lamentarsi.\nNon capisce evidentemente come tutto questo ci schifi.
STRNG_168,不能帮他.\n 军人的生活就是这样.,"Er ist nun mal so. Den k鰊nen wir nicht mehr 鋘dern.\n Einmal Soldat, immer Soldat. So ist das eben.",Il est comme 鏰. C'est tout. On ne peut rien faire contre 鏰.\nQuand on est soldat on est toujours soldat. C'est comme 鏰.,Lui ?cos? Non ci possiamo fare niente.\nUna volta soldato sempre soldato. ?cos?
STRNG_169,我们希望他们的补给站还有好的床铺!,"Na, hoffentlich gibt es da unten im Depot vern黱ftige Betten!!",Esp閞ons que l?bas en bas au d閜魌 il y a de bons plumards !!,Beh speriamo che nel deposito ci siano almeno dei buoni letti!!
STRNG_170,"能说真心话吗?我现在只是不怕死了.\n 我爱我的祖国, 但我更想和我的家人呆在房子里.","Ist es nicht erlaubt, einfach zu sagen, dass man nicht mehr will? Ich habe keine Lust zu sterben!\n Ich liebe unser Land, aber ich w黵de doch lieber zu Hause bei meiner Familie sein.",Il est pas permis de dire tout simplement qu'on a en a marre ? J'ai vraiment pas envie de mourir.\n J'aime notre pays mais sinc鑢ement j'aimerais mieux 阾re ?la maison avec ma famille.,Non ?permesso dire che non si vuole pi?continuare? Non ho per niente voglia di morire.\nAmo il nostro paese ma sarei pi?volentieri a casa con la mia famiglia.
STRNG_171,安静!\n 有人呼叫我们.,Ruhe jetzt!\n Wir bekommen einen Funkspruch rein.,Taisez-vous !\nOn re鏾it justement un message radio.,silenzio adesso!\nStiamo ricevendo un messaggio radio.
STRNG_172,真好.\n 现在，我们不得不推迟我们的任务.\n 看起来美好的一天将要到来.,Na toll.\n Jetzt m黶sen wir auch noch unsere Mission unterbrechen.\n Der Tag f鋘gt ja gut an.,Encore mieux.\nMaintenant nous devons interrompre notre mission.\nLa journ閑 commence bien.,Che meraviglia!\nAdesso dobbiamo pure interrompere la nostra missione.\nLa giornata inizia bene.
STRNG_173,我们也跟你想的差不多，同志.,Wir sind gleich da Jungs.,Nous arrivons les gars.,Ragazzi siamo quasi arrivati.
STRNG_174,"现在，同志们.布置营地并把这收拾干净!!!\n 是,长官!",So Jungs. Beginnt mit dem Aufbau unseres Lagers!!!\n JA SIR,Bon les gars ! Maintenant on commence par monter notre camp ! !\nA VOS ORDRES COMMANDANT,Bene ragazzi. Bene ragazzi adesso cominciate a costruire il nostro campo!!!\nS?SIGNORE!
STRNG_175,我也觉得四肢酸痛.,"Mir tun die Knochen auch weh, wir werden es sehen!",Je suis mort de fatigue 間alement. Nous allons voir !,Mi fanno male anche le ossa vedremo!
STRNG_176,Arudy需要支援.\n 敌人正从东面打过来.请求支援.\n 没人听到我们吗.我们正被围困?,Wir brauchen hier in Arudy Unterst黷zung!\n Der Feind greift von Osten an. Bitten um Unterst黷zung.\n H鰎t uns denn keiner? Wir werden angegriffen!,Nous avons besoin de renfort ici ?Arudy.\nL'ennemi attaque par l'est. Demande du renfort.\nPersonne ne nous entend ? On nous attaque.,Qui a Arudy abbiamo bisogno di aiuto.\nIl nemico attacca da est. Vi preghiamo di aiutarci .\nNon ci sente nessuno? Veniamo attaccati.
STRNG_177,"来吧, 我们必须去补给站!\n 我们浪费了太多时间了.","So Leute, weiter zum Depot!\n Wir haben genug Zeit verloren.",Bon ! en route maintenant en direction du d閜魌 !\nOn a d閖?perdu suffisamment de temps.,Bene gente adesso andiamo al deposito!\nAbbiamo perso abbastanza tempo.
STRNG_178,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_179,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_180,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_181,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_182,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_183,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_184,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_185,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_186,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_187,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_188,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_189,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_190,躲藏,Die Zuflucht,Le refuge,Il rifugio
STRNG_191,长官!我不知道你什么意思\n 我的同志被叫的时候他们总在那里. 不是吗? ,"Sir, ich wei?gar nicht, was Ihr Problem ist.\n Meine Jungs kommen sofort, wenn ich sie rufe. Oder, Jungs?",Commandant ! Je ne comprends pas ce que vous avez\nMes gars arrivent tout de suite quand je les appelle. Pas vrai les gars. ,Signore! Non so che cosa abbiano\nI miei ragazzi vengono subito se li chiamo. Non ?vero ragazzi?
