LANGUAGE,English
STR_CAMPAIGN_1985_X07BUNKER_CAIN_BRIEFING_NAME,<Cutscene>
STR_CAMPAIGN_1985_X07BUNKER_CAIN_OVERVIEW_001,Overview
STR_x07v01,不！这是一种暴行！美国人就这么进来，放着炸弹。\n而我们那些懒散、无用的人就坐在那儿看热闹。
STR_x07v02,马尔维奇中校，给克格勃的瓦兰尼萨上校带个信。马蒂诺夫上校将由于\n背叛苏维埃联盟而被逮捕，他没有充分防御好自己的阵地。\n他将经过审讯，裁定有罪并被枪决。不准上诉。
STR_x07v03,是，将军。我是不是该加上一条，他的位置由……尤瑟夫上校来顶替？
STR_x07v04,尤瑟夫？是的，为什么不呢？尤瑟夫上校是一个忠心耿耿的军官，\n他知道苏联母亲所要面对的威胁是什么——不管是内忧还是外患。
STR_x07v05,啊。要是政治局里的那些蠢货让象马蒂诺夫这样的笨蛋\n执掌我们的军队，苏联如何才能再度强大起来？
STR_x07v06,耐心点，我的阿莱克西。记住我们所说过的话。\n全苏联都知道克里姆林宫软弱无比。
STR_x07v07,一旦人们发现势力平衡如他们所害怕的那样倾向于北约一边，\n他们就会渴望一个强大的领袖，让我们的国家回到从前的繁荣昌盛。
STR_x07v08,而当微不足道的北约在这些岛屿上对你的羞辱结束之后，\n苏联就会明白谁才是真正的领袖。
STR_x07v09,啊，我亲爱的安吉丽娜。有你在我身边，\n我就可以用敌人的鲜血染红整个大陆。
