LANGUAGE,English,German,French,Italian
STRNG_135,进攻补给站!,Depotangriff,Attaque du d閜魌,Attacco al deposito
STRNG_136,在下一个转弯后你将会看到一个良好的制高点.,An der n鋍hsten Biegung haben Sie eine gute 躡ersicht.,Pass?le prochain virage vous aurez un bon point de vue.,Dalla prossima curva ha una buona vista:
STRNG_137,直升机被摧毁了...,Der Helikopter wurde zerst鰎t...,L'h閘icopt鑢e a 閠?d閠ruit....,L'elicottero ?stato distrutto
STRNG_138,任务失败,MISSION GESCHEITERT,MISSION ECHOUEE,MISSIONE FALLITA
STRNG_139,长官 - 报告，敌人来了...,"Sir, melde Feindkontakt...",Commandant - au rapport contact ennemi...,Signore - segnalo contatto nemico...
STRNG_140,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_141,油料补给,Treibstoffdepot,D閜魌 de carburant,Deposito di carburante
STRNG_142,保住这架直升机.它可以在以后给你很大的帮助.,Sch黷zen Sie diesen Helikopter vor der Zerst鰎ung. Er wird ihnen sp鋞er gute Dienste leisten.,Prot間ez cet h閘icopt鑢e ne le d閠ruisez pas. Il vous rendra de bons services plus tard.,Protegga questo elicottero dalla distruzione. Le offrir?pi?tardi un buon servizio.
STRNG_143,祝好运!,Viel Erfolg!,Bonne chance !,Auguri!
STRNG_144,…这辆弹药车...,...diesen Munitions-LKW...,...ce camion ?munitions...,...questo camion di munizioni...
STRNG_145,…和这辆油罐车.,...und diesen Benzin-LKW zu zerst鰎en.,...et ?d閠ruire ce camion de carburant.,...e distruggere questo camion di carburante.
STRNG_146,这是你要摧毁的目标 - 这辆修理车...,"Ihre Aufgabe ist es, diesen Reparatur-LKW...",Votre t鈉he est la suivante : ce camion de d閜annage...,Il Suo compito ?questo camion per la riparazione...
STRNG_147,抵抗军已经准备好进军.,Die Rebellen sind nun zum Abmarsch bereit.,Les rebelles sont maintenant pr阾s ?partir.,I ribelli sono pronti a muoversi.
STRNG_148,长官 - 报告，敌人来了...,"Sir, melde Feindkontakt...",Commandant - informations contact ennemi...,Signore - segnalo contatto nemico...
STRNG_149,你现在有两辆BMP...,Ihnen stehen jetzt zwei BMPs...,Vous avez maintenant deux BMP...,Lei ha adesso due carri armati per il trasporto delle truppe...
STRNG_150,…和三辆卡车.,...und drei Transport-LKW`s zur Verf黦ung.,...et trois camions de transport ?votre disposition.,...e tre camion di trasporto a disposizione.
STRNG_151,你的手下已经准备好执行下一个任务.,Ihre M鋘ner sind f黵 den n鋍hsten Auftrag bereit.,Vos gars sont d閖?pr阾s pour ex閏uter votre prochaine mission.,I suoi uomini sono pronti a eseguire la prossima missione.
STRNG_152,祝好运!,Viel Erfolg!,Bonne chance !,Auguri!
STRNG_153,你做到了.这架直升机现在是我们的了.,Sie haben es geschafft. Der Hubschrauber ist nun in unserer Gewalt.,Vous avez r閡ssi. Nous d閠enons maintenant l'h閘icopt鑢e.,Ce l'ha fatta. L'elicottero ?ora in nostro potere.
STRNG_154,干得好同志.,"Gute Arbeit, Soldat!",Du bon travail soldat.,Soldato ha fatto un buon lavoro.
STRNG_155,你的国家会以你为傲.,Ihr Land kann stolz auf sie sein.,Votre pays peut 阾re fier de vous.,Il suo paese pu?essere orgoglioso di Lei.
STRNG_156,开火! ! !,FEUER ! ! !,FEU ! ! !,F U O C O ! ! !
STRNG_157,你把这一任务搞得一团糟.\n 你应该从中学到一些东西，然后再来一次!!!,Sie haben versagt!\n Lernen sie daraus und versuchen sie es erneut!!!,Vous avez rat?la mission.\nTirez-en les le鏾ns puis retentez votre chance !!!,Ha fallito la missione.\nImpari la lezione e riprovi!!!
STRNG_158,我们的最后一个同志被残酷的处决了.,Unsere Soldaten wurden exekutiert.,Les derniers de nos soldats ont 閠?ex閏ut閟 atrocement.,I nostri ultimi soldati sono stati brutalmente giustiziati.
STRNG_464,任务 5 进攻补给站,Mission 5 Der Depotangriff,Mission 5 L'attaque du d閜魌,Missione 5 L'attacco al deposito
STRNG_465,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati.
STRNG_4000,抵抗组织营地,Widerstandslager,Camp de r閟istance,Campo dei ribelli
STRNG_4001,油料补给,Treibstoffdepot,D閜魌 de carburant,Deposito di carburante
STRNG_4002,良好的制高点,gute 躡ersicht,Bon point de vue,"Buona visibilit?
"
