LANGUAGE,English
STR_CAMPAIGN_1985_23HINDATTACK_EDEN_BRIEFING_INTRO,<b>1985年6月21日</b> - 昨天差点被发现。在这里待了这么久，我有变得自满的危险。必须保持警惕。<br><br>HQ传来消息，Armstrong成功领导了对北部机场的进攻。我就知道那家伙看起来很聪明。下次见到他，我得向他表示祝贺。<br><br>如果他能活下来的话。<br><br>美军回到了Everon，那些共军正四处乱窜——这正是我行动的好时机，他们正忙着试图夺回机场。最高优先目标必须是他们的直升机基地，我们找到了一个可能的位置。所以今晚我要去猎杀雌鹿……
STR_CAMPAIGN_1985_23HINDATTACK_EDEN_BRIEFING_NAME,猎鹿人
STR_CAMPAIGN_1985_23HINDATTACK_EDEN_BRIEFING_OBJ_BUM,找到秘密基地并尽可能多地摧毁目标。
STR_CAMPAIGN_1985_23HINDATTACK_EDEN_BRIEFING_OBJ_JOIN,"与你的小队其他三名成员会合。会合点在<a href=""marker:join"">Eb67</a>。"
STR_CAMPAIGN_1985_23HINDATTACK_EDEN_BRIEFING_OBJ_KONEC,"撤离。推荐的撤离点是<a href=""marker:konec1"">Ei61</a>、<a href=""marker:konec2"">Dh55</a>或<a href=""marker:konec3"">Db65</a>。"
STR_CAMPAIGN_1985_23HINDATTACK_EDEN_BRIEFING_PLAN,"你在<a href=""marker:Start"">Ed66</a>，位于敌占区的中心。"
STR_CAMPAIGN_1985_23HINDATTACK_EDEN_OVERVIEW_001,任务概述
STRM_23n20,Everon某地。
STRM_23n21,撤离地点
STRM_23n22,发现卡车
STRM_23n23,汇合地点。
STRM_23n24,站岗的士兵。
STRM_23v_01,很不错的夜晚，是吗？我看到你们几个很忙啊。
STRM_23v_02,来点儿口香糖？
STRM_23v_03,谢谢，不用了。只有你们两个吗？盯梢的哪儿去了？
STRM_23v_04,他正盯着俄国人呢。整晚都有一大群卡车向北驶去。
STRM_23v_05,看来他们大概在给什么东西造基地吧。
STRM_23v_06,行了，不管它是什么东西，我们得到的命令是去找到它，并且把它夷为平地。出发。
STRM_23v_07,我要去把盯梢的叫来吗？
STRM_23v_08,不必了，我们在路上带上他。
STRM_23v_09,是，长官，您带路。
STRM_23v_10,跟紧了，注意俄国人，保持无线电静默。
