LANGUAGE,English
STR_CAMPAIGN_1985_12ASPEARHEAD_ABEL_BRIEFING_INTRO,<b>1985年6月7日</b> - 好吧——我们再试一次。回到边境地带。<br><br>我们之前不应该进去的，那个地方的防御实在太强了。但昨晚有一群穿深色制服的家伙在附近游荡——显然是特种部队，从他们的态度就能看出来。后来山口那边传来一连串爆炸声，听起来他们已经进去给那些俄国佬好好修理了一顿。希望如此，这样我们这次就会顺利多了。
STR_CAMPAIGN_1985_12ASPEARHEAD_ABEL_BRIEFING_NAME,铁甲先锋
STR_CAMPAIGN_1985_12ASPEARHEAD_ABEL_BRIEFING_OBJ_1,"向南前进，与排长保持编队。他将率领攻击，并控制支援的<a href=""marker:Charlie"">掷弹兵</a>和<a href=""marker:Bravo"">步兵</a>。支援攻击的还有<a href=""marker:Amb"">Zulu小队</a>，由一辆救护车、一辆维修卡车和一辆M113步兵输送车组成。"
STR_CAMPAIGN_1985_12ASPEARHEAD_ABEL_BRIEFING_OBJ_2,"清理<a href=""marker:RusPass"">山口</a>并解放<a href=""marker:Rus"">Lolisse</a>。"
STR_CAMPAIGN_1985_12ASPEARHEAD_ABEL_BRIEFING_OBJ_3,守住它。
STR_CAMPAIGN_1985_12ASPEARHEAD_ABEL_BRIEFING_PLAN,"Hammer中尉，现在山谷中的道路已经被清理干净，我们的坦克可以向前推进了。你将对付山口残存的敌军，然后向Lolisse村推进。<br><br>你将从<a href=""marker:Start"">Houdan附近</a>出发。"
STR_CAMPAIGN_1985_12ASPEARHEAD_ABEL_OVERVIEW_001,任务概述
STRM_12An10,开阔地带
STRM_12An11,掷弹兵
STRM_12An12,救护车路径点
STRM_12An13,步兵
STRM_12An14,占领
STRM_12An15,据守城市
STRM_12Ar01,Y组一号命令所有Y组队员，子弹上膛，做好战斗准备。很可能先与步兵交火，小心点，完毕。
STRM_12Ar02,我是Y组一号，开火！掷弹兵，发射！步兵，在后面掩护！
STRM_12Ar03,组一号报告总部Papa Bear，目标完成，Lolisse处所有敌人均以被我军歼灭。等待进一步指示。
STRM_12Ar04,Papa Bear呼叫组一号：情报表明，你部南侧出现来袭敌军，注意，敌人试图反扑！”
STRM_12Ar05,Z组呼叫Y组一号，救护车就绪。
STRM_12Ar06,Y组一号呼叫Y组三号，立即撤退，Hammer中尉！
