LANGUAGE,English,German,French,Italian
STRNG_309,掩护撤退,HQ Verlegung,Transfert du QG,Dislocamento del QG
STRNG_310,Hey Roos.你会开车吧. 我给你个任务.,"Hey Roos. Du f鋒rst die Kiste, ich sage Dir wo's langgeht.",H?! Roos. Tu conduis la bagnole et moi je te guide.,Ehi Roos. Tu guidi. Io ti indico la direzione
STRNG_311,左转.,Dort vorn links.,L?bas devant ?gauche.,L?davanti a sinistra.
STRNG_312,在下个路口右转.,Rechts abbiegen.,Ici vous devez tourner ?droite.,Qui deve girare a destra.
STRNG_313,把吉普车藏在这些巨石之间.我们要在这设伏.,Dort vorne zwischen den Steinen h鋖tst Du an. Hier legen wir unsere Falle.,Tu stoppes le tacot entre les rochers l?bas devant. C'est l?que nous allons poser nos pi鑗es.,L?davanti tra le pietri posteggi il catorcio. Qui mettiamo la nostra trappola.
STRNG_314,"好同志们,下车!寻找隐蔽并等待我的命令.","Ok Leute, raus mit euch! Geht in Deckung und wartet auf mein Kommando.",Ok les gars sortez ! Cachez-vous quelque part et attendez mes ordres.,Ok gente uscite di qui. Nascondetevi da qualche parte e aspettate un mio ordine.
STRNG_315,"Dr. Roos, 从卡车里拿些地雷把它们布置在敌人的必经之路上.","Dr. Roos, nehmen Sie sich ein paar Minen aus dem Laster errichten Sie eine Sprengfalle f黵 den Gegner.",Dr Roos Tu sors quelques mines du camion et tu les poses pour que l'ennemi roule dessus.,Dr. Roos prenda un paio di mine dal camion e le metta in modo che il nemico ci passi sopra.
STRNG_316,"这应该可以干掉第一批敌人.加油 Roos,快把你的地雷阵布完.敌人快来了，你很快就会看到敌人被炸得粉身碎骨.","Die ersten h鋞ten wir. OK Roos, holen Sie neue Minen. Es sollen in K黵ze einige Panzer folgen.",Voil?nous avons pos?les premi鑢es. Allez Roos remplis donc la mine antichar. Les prochains qui arriveront devraient 阾re quelques beaux petits chars d'assaut.,Le prime sono sistemate. Forza Roos riempia la cintura di mine. Prossimamente dovrebbero passare un paio di carri armati.
STRNG_317,"Charlie小队准备就绪,你怎么样?","Wir w鋜en dann soweit, Charlie. Wie sieht's bei euch aus?",Bon on a fini Groupe Charlie o?en 阾es-vous ?,Saremmo pronti gruppo Charlie. A che punto siete?
STRNG_318,"就好了.我们准备进行两次袭击,但我不知道他们还有什么其它打算. Over.","Bei uns alles klar! Zwei Angriffswellen wurden aufgehalten. Wir wissen aber nicht, was noch nachkommt. Over.",Nous 鏰 avance tr鑣 bien deux vagues d'assaut sont arr阾閑s. Mais nous ne savons pas ce qui peut venir apr鑣 over.,Da noi tutto bene. Abbiamo fermato due ondate d'assalto. Non sappiamo ancora per?che cosa succede ora. Passo e chiudo.
STRNG_319,"好, Charlie小队撤退.我们在你北面的十字路口见面.","In Ordnung Charlie, ziehen Sie sich zur點k. Wir treffen uns an der Kreuzung n鰎dlich von Ihnen.",OK. Charlie Vous pouvez vous replier. Nous nous rencontrons au croisement plein nord par rapport ?vous.,In ordine Charlie. Potete ritirarvi. Ci incontriamo all'incrocio direttamente a nord dalla Vostra posizione.
STRNG_320,任务完成,Einsatz abgeschlossen,Mission achev閑,Missione compiuta
STRNG_321,撤退,Die Zuflucht,Le refuge,Il rifugio
STRNG_322,Hey Roos.你会开车吧. 我给你个任务.,"Hey Roos. Du f鋒rst die Kiste, ich sage Dir, wo's hingeht.",H?! Roos. Tu conduis la bagnole et moi je te guide.,Ehi Roos. Lei guida. Io ti indico la direzione
STRNG_323,\n\n\n\n敌人依然在前进...,\n\n\n\nDer Gegner ist weiter auf dem Vormarsch...,\n\n\n\nL'ennemi a toujours l'offensive...,\n\n\n\nIl nemico continua ad avanzare...
STRNG_324,\n\n\n\n他们马上就回到抵抗组织的营地找到我们的总部.,\n\n\n\nSie werden in K黵ze das Lager der Rebellen erreicht haben.,\n\n\n\nPlus pour longtemps vous allez atteindre le camp des rebelles.,\n\n\n\nAncora un po' e Lei avr?raggiunto il campo dei ribelli.
STRNG_325,好. 我希望我们的有足够的准备时间?,Das h鋞ten wir geschafft. Hoffentlich reicht der Vorsprung?,Voil?on y serait. Esp閞ons que l'avance suffira ?,Ce l'abbiamo fatta. Baster?il vantaggio?
STRNG_326,"那么,前往 La Trinite!",Vorw鋜ts nach La Trinit!,Bon alors maintenant en route pour La Trinit?!,Allora forza in direzione di La Trinit!
STRNG_482,任务 12 掩护撤退 第一部分,Mission 12 Die Verlegung Teil 1,Mission 12 Le transfert partie 1,Missione 12 Il dislocamento parte 1
STRNG_483,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati
STRNG_484,也许你应该再试一次...,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che provi ancora una volta
STRNG_20000,埋伏,Hinterhalt,Guet-apens,Imboscata
STRNG_4000,敌人的进攻,feindliche Offensive,Offensive ennemie,Offensiva del nemico
STRNG_4001,抵抗组织营地,Widerstandslager,Camp de r閟istance,Campo dei ribelli
