LANGUAGE,English,German,French,Italian
STRNG_336,机场,Der Flughafen,L'a閞oport,L'aeroporto
STRNG_337,注意，Alpha: 几个守卫仍然驻扎在第二哨口.在你们埋地雷前务必解决掉他们.,"Seien Sie vorsichtig, Alpha: bei dem zweiten Wachtposten befinden sich noch einige Wachen. Schalten Sie diese zuerst aus, bevor Sie die Minen legen.",Soyez prudent Alpha : pr鑣 du deuxi鑝e poste de garde il y a encore quelques sentinelles. Commencez par 閘iminer celles-ci avant de poser des mines.,Stia attento Alpha: al secondo posto di guardia si trovano ancora alcune guardie. Le elimini prima di disporre le mine.
STRNG_338,Alpha呼叫基地.我们占领了第二个哨口.机场已被我们控制.我们会在跑道上埋地雷.,HQ hier spricht Alpha. Wir haben den zweiten Wachtposten erobert. Der Flughafen ist in unserer Hand. Wir legen jetzt die Minen auf die Landebahn.,QG Ici parle Alpha. Nous avons conquis le deuxi鑝e poste de garde. L'a閞oport est entre nos mains. Nous sommes en train de poser les mines sur la piste d'atterrissage.,QG qui parla Alpha. Abbiamo conquistato il secondo posto di guardia. L'aeroporto ?nelle nostre mani. Disponiamo adesso le mine sulla pista di atterraggio.
STRNG_339,"\n\n\n快点,快点,快点!",\n\n\nLos los los!,\n\n\nAllez ! Allez !,\n\n\nVia via via!
STRNG_340,基地呼叫Alpha:好.把你们卡车上的地雷都埋完.沿原路返回.,"Verstanden Alpha. Verteilen Sie alle mitgef黨rten Minen auf der Landebahn. Ziehen Sie sich dann auf dem Weg, auf dem Sie gekommen sind, wieder zur點k!",Compris Alpha. Posez maintenant sur la piste toutes les mines qui se trouvent dans votre truck. Repliez-vous ensuite par l'entr閑 par laquelle vous 阾es venus.,Capito Alpha. Metta adesso tutte le mine che sono nel Suo camioncino sulla pista di atterraggio. Si ritiri dall'entrata da cui ?arrivato.
STRNG_341,任务失败:卡车被毁.,"Einsatz fehlgeschlagen, der Truck wurde zerst鰎t",Mission 閏hou閑 : le truck a 閠?d閠ruit.,Operazione fallita: il camioncino ?stato distrutto
STRNG_342,撤退,Die Zuflucht,Le refuge,La fuga
STRNG_343,"\n\n\n\n\n\n今天,我们要在机场埋雷\n来切断敌人的空中补给.","\n\n\n\n\n\nHeute werden wir den Flughafen vermienen,\ndies sollte ihnen die Versorgung aus der Luft erschweren.",\n\n\n\n\n\nAujourd'hui nous allons miner l'a閞oport\nafin de mettre enfin une fin au ravitaillement a閞ien.,\n\n\n\n\n\nOggi mineremo l'aeroporto\naffinch?non avvenga pi?un altro attacco dall'aria.
STRNG_344,电视机,TVSet,Set TV,TVSet
STRNG_345,先生们. 这是一盘录像带.看看吧.\n我表示我们的任务成功.,"Sir, ich habe hier ein Videoband f黵 Sie. Sie sollten es sich ansehen.\nEs zeigt den Erfolg unserer Mission.",Commandant J'ai l?une bande vid閛 pour vous. Regardez-la.\nElle vous montrera la r閡ssite de notre mission.,Signore. Ho qui un nastro video per Lei. Lo guardi.\nMostra il successo della nostra missione.
STRNG_346,我们打击了敌人!祝贺你,Treffer! Gratulation!,Touch?! F閘icitations,Centro! Congratulazioni
STRNG_347,"干得好,同志. 我能看到敌人快要气炸了.","Gute Arbeit, Soldat. Dies wird unseren Gegnern die Wut in den Bauch treiben!",Du bon travail soldat. Je vois d閖??quel point l'ennemi enrage.,Soldato ha fatto un buon lavoro. Vedo gi?come il nemico si arrabbia.
STRNG_348,你没有按要求摆放地雷.,"Sie haben es nicht geschafft, den Flughafen auftragsgem溥 zu verminen.",Vous n'avez pas r閡ssi ?miner l'a閞oport correctement.,Non ce l'ha fatta a minare l'aeroporto in modo appropriato.
STRNG_349,机场跑道仍然可用.\n再试一次!!,"Der Flughafen ist nun in Feindeshand, die Versorgung konnte nicht verhindert werden.\nVersuchen sie es noch einmal!!!",Maintenant nos ennemis vont pouvoir prendre leurs aises sur l'a閞oport.\nRecommencez encore une fois !!!,Adesso il nemico pu?si pu?allargare.\nProvi ancora una volta!!!
STRNG_488,任务 14 机场,Mission 14 Der Flughafen,Mission 14 L'a閞oport,Missione 14 L'aeroporto
STRNG_489,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati.
STRNG_490,也许你应该再试一次.......,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che provi ancora una volta
STRNG_4000,第一个哨口,1. Wachposten,1. poste de garde,1. Posto di guardia
STRNG_4001,第二个哨口,2. Wachposten,2. poste de garde,2. Posto di guardia
STRNG_4002,进入,Eingang,Entr閑,Entrata
STRNG_4003,开始,Anfangen,Commencer,Inizio
STRNG_4004,破坏性行动,Ablenkungsman鰒er,Man渦vre de diversion,Manovra diversiva
STRNG_4005,破坏性行动,Ablenkungsman鰒er,Man渦vre de diversion,Manovra diversiva
