LANGUAGE,English,German,French,Italian
STRNG_434,指挥官,Der Anf黨rer,Le meneur,Il capo
STRNG_435,"好,现在我们找到了营地里的起义者!!",Wir haben das Lager erreicht! Lasst uns diesen Spion finden.,Bon nous voil?dans le camp ?nous maintenant de trouver l'espion !,Bene adesso siamo nel campo e dobbiamo trovare lo spione!
STRNG_436,我会帮你的.\n为了避免实力悬殊的战斗\n你应该先炸掉兵营.,"Ich werde Sie unterst黷zen.\nSie sollten besser zun鋍hst die Baracken sprengen,\num die Gegner zu dezimieren.",Je vais vous y aider.\nPour ne pas avoir ?combattre un trop grand nombre de soldats\nvous devriez commencer par faire sauter les baraquements.,La aiuter?\nNon solo per combattere contro la superiorit?dei soldati\ndovrebbe mandare all'aria come prima cosa le baracche.
STRNG_437,好了! 继续进行下一目标.,"Dieser Auftrag w鋜e erledigt, aber es gibt noch mehr zu tun.",Voil?c'est fait et maintenant ?la prochaine t鈉he ?remplir.,Ha raggiunto il prossimo compito.
STRNG_438,"这一任务胜利完成,Vladimir被杀死了.",Vladimir wurde get鰐et. Auftrag erf黮lt.,Et voil?encore une t鈉he de termin閑. Vladimir est mort.,Anche questo incarico ?terminato. Vladimir ?morto.
STRNG_439,现在撤回基地.,Ziehen Sie sich zum Lager zur點k.,Et maintenant on retourne au camp.,E adesso di nuovo al campo.
STRNG_440,在刺杀指挥官的路上,Auf dem Weg zum Anf黨rer...,En route pour aller voir le chef.,Sulla via che ci porta al capo.
STRNG_441,海滩被清理净了\n现在我们可以直捣黄龙继续向敌人总部进发了.,"Der Strandabschnitt wurde erfolgreich ger鋟mt,\nsomit ist der Weg zum gegnerischen Hauptquartier frei.",La plage a 閠?nettoy閑.\nLe chemin vers le quartier g閚閞al de l'ennemi est d閟ormais libre.,Il pezzo di spiaggia ?stato sgombrato\nadesso la via al QG del nemico ?libera.
STRNG_442,再次返回.,Wieder zur點k...,A nouveau de retour.,Di nuovo indietro.
STRNG_505,指挥官,Der Anf黨rer,Le chef,Il capo
STRNG_506,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati.
STRNG_507,最好再试一次....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,Meglio - Provi ancora una volta....
STRNG_10000,敌人被打败了...,Die Feinde sind geschlagen...,Les ennemis sont battus...,I nemici sono sconfitti...
STRNG_10001,庆祝派对的时间...,Die Bar ist ge鰂fnet...,Le bar est ouvert...,Il bar ?aperto...
STRNG_10002,庆祝派对正热闹的进行着.,Die Party ist in vollem Gange.,La partie bat son plein.,La festa ?in pieno svolgimento.
STRNG_10003,-大 结 局 -,-E N D E-,-F I N-,-F I N E-
STRNG_10004,待续.,Fortsetzung folgt.,?suivre...,Prossima puntata segue.
STRNG_10005,X Media GmbH,X Media GmbH,X Media GmbH,X Media GmbH
