LANGUAGE,English,German,French,Italian
STRNG_327,狙击,Der Sniper,Le tireur d'閘ite,Il cecchino
STRNG_328,"\n\n\n军官: 好, 这是我们下车的地方. Dr. Ross,你可以占领那个小丘.\n在那你会有一个好的战线来打击敌人.在坦克的必经之路上埋些地雷会提高你的作战效率.","\n\n\nOffizier: OK, hier steigen wir aus. Dr. Roos, sie positionieren sich auf dem Berg.\nDort haben Sie ein gutes Schussfeld. Sichern Sie zuvor das Gel鋘de mit Minen gegen anr點kende Panzer.",\n\n\nL'officier : Ok ! Nous descendons ici. Dr Ross Vous allez sur la montagne.\nDe l?haut vous avez un bon champ de tir. Mais posez encore quelques mines avant dans le cas o?des chars arriveraient.,\n\n\nUfficiale: Okay qui scendiamo. Dr. Ross Lei va sul monte.\nDa l?sopra ha un buon campo di tiro. Metta per?ancora un pio di mine nel caso che si avvicinino dei carri armati.
STRNG_329,\n\n\n军官: 把狙击步枪拿上，带上足够的弹药. 我们过会见.,\n\n\nOffizier: Nehmen Sie sich das Scharfsch黷zengewehr und Munition aus dem Laderaum. Wir sehen uns sp鋞er.,\n\n\nL'officier : Prenez les fusils de tireur d'閘ite et des munitions du camion. On se voit plus tard.,\n\n\nUfficiale: Prenda le armi da tiratore scelto e le munizioni dal deposito. Ci vediamo pi?tardi.
STRNG_330,\n\n\n该死的…他们都死了…我不得不离开这...,\n\n\nVerdammt...alle sind tot! Ich sollte schleunigst von hier verschwinden!,\n\n\nOh bon Dieu !...Ils sont tous morts...Il vaudrait que je m'occupe ?partir d'ici...,\n\n\nOh maledizione...sono tutti morti...devo fare in modo di andare via di qui...
STRNG_331,"注意，Bravo, 这里是车队.撤退. 我们已经实现了目标. Over 并且 out.","Bravo, hier Konvoi. Ziehen Sie sich zur點k, wir haben unser Ziel erreicht. Konvoi Ende.",Attention Bravo Ici le convoi. Repliez-vous. Nous avons atteint notre but Convoi. over,Attenzione! Bravo qui parla il convoglio. Torni indietro. Abbiamo raggiunto il nostro obiettivo. Il convoglio ?eliminato.
STRNG_332,收到，车队.我们马上撤退!,"Best鋞igt, Konvoi. Wir ziehen uns jetzt zur點k.",Confirm?Convoi. Nous nous replions.,Conferma convoglio. Torniamo indietro.
STRNG_333,躲藏,Die Zuflucht,Le refuge,Il rifugio
STRNG_334,你已经完成任务目标.,Sie haben Ihr Ziel erreicht.,Vous avez atteint votre but.,Ha raggiunto il suo obiettivo.
STRNG_335,消灭这些狗东西....,Erschie遲 die Hunde....,Descendez ces chiens....,Ammazzali....
STRNG_485,任务 13 掩护撤离 第二部分,Mission 13 Die Verlegung Teil 2,Mission 13 Le transfert partie 2,Missione 13 Il dislocamento parte 2
STRNG_486,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati.
STRNG_487,也许还有机会....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che ci riprovi....
STRNG_4000,敌人的进攻,Feindoffensive,Offensive ennemie,Offensiva nemica
STRNG_4001,撤退路线,Fluchtweg,Chemin de fuite,Via di fuga
STRNG_4002,结束,Ende,Fin,Fine
STRNG_4003,埋伏点,Versteck,Cachette,Nascondiglio
