LANGUAGE,English
STR_CAMPAIGN_1985_16UNFINISHEDBUSINESS_EDEN_BRIEFING_INTRO,"<B>June 12, 1985</B> - A Lieutenant! I can't believe it. Shame it had to come
under such godawful circumstances, but... hey, a Lieutenant!
<br><br>
Gastovski's with me now, on the boat back to Everon. He's quiet - but OK, I
guess. Seems pretty sure of what he's doing.
</p>
<p>
We're on our way to meet with my resistance contacts. Trying to make a deal -
get their intel and support in exchange for a NATO push against the Russians on
Everon.
<br><br>
I guess they'll be pleased to see me again, Slava and the gang. OK, so we
couldn't help them earlier. But we're on the way now. Better late than never,
eh?
<br><br>
Here's hoping they see it that way."
STR_CAMPAIGN_1985_16UNFINISHEDBUSINESS_EDEN_BRIEFING_NAME,Unfinished Business
STR_CAMPAIGN_1985_16UNFINISHEDBUSINESS_EDEN_BRIEFING_OBJ_1,"Find your resistance <a href=""marker:spojka"">contact</a> - he will lead you to the camp in the castle ruins."
STR_CAMPAIGN_1985_16UNFINISHEDBUSINESS_EDEN_BRIEFING_OBJ_2,"Meet <a href=""marker:setkani"">the resistance leader</a> and ask for his co-operation."
STR_CAMPAIGN_1985_16UNFINISHEDBUSINESS_EDEN_BRIEFING_OBJ_3,"Get <a href=""marker:end"">back</a>!"
STR_CAMPAIGN_1985_16UNFINISHEDBUSINESS_EDEN_BRIEFING_PLAN,"OK, Armstrong. Your first assignment as a Lieutenant is to return to the Everon
castle ruins by night, accompanied by Commander Gastovski. You'll rendezvous
with the resistance leader, enlist his support for our upcoming invasion, and get back.
<br><br>
You will disembark from your launch on <a href=""marker:Start"">the beach</a>."
STR_CAMPAIGN_1985_16UNFINISHEDBUSINESS_EDEN_OVERVIEW_001,Overview
STRM_16n24,在这儿登陆
STRM_16n25,与联络人会面
STRM_16n26,与叛军首领商讨
STRM_16n27,撤回
STRM_16n30,靠近城堡废墟的Everon海岸
STRM_16n31,船
STRM_16r01,听那枪声，那一定是我们的人。
STRM_16r22,阿姆斯特朗，你乘船撤回吧，别忘了把Slava的资料交给Blade上校。我想我应该留下来帮他们一把。
STRM_16v02,美国佬， 想不到我还能见到你。
STRM_16v03,好久不见，别来无恙，Tomas？Slava指挥官在么？我这给他带来了好消息。
STRM_16v04,我挺好，这个……嗯……
STRM_16v05,听着，小子，我们得赶时间，为什么不直接带我们去见你们头儿？
STRM_16v06,哈，美国大兵，你们来了，我还以为这附近再也没有一个美国人了呢。
STRM_16v07,我们来是想和你们合作，我想，这样对我们彼此双方都很有益处。
STRM_16v08,"Ah yes"""
STRM_16v09,事实上，先生NATO正准备把苏联军队从这个岛上赶出去，目前解放Everon我们还需要您的帮助。
STRM_16v10,够了，美国人给了我们多少美好的诺言，而其中又有几个得到了兑现？这次你让我怎么相信你？
STRM_16v11,您听我说，以前NATO从这里撤军实在是不得已而为之，为形势所逼呀，\n当时我们面对的是实力数倍于己的敌人；而现在情况不同了，\nNATO集结了大队人马，已做好战斗准备。
STRM_16v12,嗯，希望你说的这一切都是真的。
STRM_16v13,对了，我们能见一下Slava指挥官么？他在这儿么？
STRM_16v14,Slava? 死了。
STRM_16v15,死了？
STRM_16v16,每天都有弟兄牺牲，坚持到现在，活着的已经不多了。
STRM_16v17,我……我很遗憾。
STRM_16v18,好的，我们会竭尽全力帮助你们的。Slava生前搜集了一些资料，关于岛上苏军火力部署的，\n也许对你们有用。
STRM_16v19,谢谢， 我相信这对我们会很有用的。
STRM_16v20,"什么声音? Novotny, Melish, 去看看怎么了；其他人，各就各位，做好战斗准备！"
STRM_16v21,"阿姆斯特朗中尉, 我想你最好马上离开，务必将资料转交给你们指挥官。"
