LANGUAGE,English
STR_CAMPAIGN_1985_25AIRBOURNE_EDEN_BRIEFING_INTRO,<b>1985年6月24日</b> - 昨晚终于和Sally有了几分钟独处时间——但她几乎没跟我说两句话。不知道她是不是还在为Debbie那件事生气。今晚必须再试着跟她谈谈。<br><br>今天安排的只是另一次例行运输任务。
STR_CAMPAIGN_1985_25AIRBOURNE_EDEN_BRIEFING_NAME,从天而降
STR_CAMPAIGN_1985_25AIRBOURNE_EDEN_BRIEFING_OBJ_2,"你的乘客将在<a href=""marker:obj1"">他们的下船点</a>等你。"
STR_CAMPAIGN_1985_25AIRBOURNE_EDEN_BRIEFING_OBJ_3,"将他们运送到Montignac的<a href=""marker:obj2"">阵地</a>。"
STR_CAMPAIGN_1985_25AIRBOURNE_EDEN_BRIEFING_OBJ_4,"返回<a href=""marker:start"">基地</a>。"
STR_CAMPAIGN_1985_25AIRBOURNE_EDEN_BRIEFING_OBJ_5,"将伤员从<a href=""marker:lemoule"">Le Moule</a>运送到<a href=""marker:start"">机场</a>。"
STR_CAMPAIGN_1985_25AIRBOURNE_EDEN_BRIEFING_OBJ_6,"攻击从<a href=""marker:destroy"">南面</a>接近<a href=""marker:lemoule"">Le Moule</a>的敌军装甲运兵车。"
STR_CAMPAIGN_1985_25AIRBOURNE_EDEN_BRIEFING_PLAN,"Nicholls上尉，我们希望你驾驶你的黑鹰直升机去接一批在<a href=""marker:obj1"">北约临时港口之一</a>登陆的士兵，并将他们运送到Montignac的<a href=""marker:obj2"">前线</a>。如果遇到困难，你当然有火箭武装，但你最好的选择是避开战斗，集中精力安全返航。<br><br>起飞时间是10:30，从<a href=""marker:start"">你的直升机基地</a>出发。"
STR_CAMPAIGN_1985_25AIRBOURNE_EDEN_OVERVIEW_001,任务概述
STRCAMP_25r01,Papa Bear，我是N组一号。我的直升机似乎没法使用了，看来我要走一大段路才能回家了。
STRCAMP_25r02,有人收到没有？我是24。我们正在遭受密集火力打击，伤亡很大，请求立即撤离，谁能帮我们一把？
STRCAMP_25r03,明白，24。我们会派人去接你们的。N组一号，你能调转航向把LE MOULE附近的H班撤出来吗？完毕
STRCAMP_25r04,明白，Papa Bear，现在改变航向。完毕。
STRCAMP_25r05,小鸡进窝了。我们都已登机。你可以起飞了。
STRCAMP_25r06,好，所有人都上来了。带我们离开这个鬼地方。
STRCAMP_25r07,N组一号呼叫Papa Bear，伤员已经登机了，完毕。
STRCAMP_25r08,明白，N组。在你回家之前用一下火箭弹怎么样？在你下面有一长串装甲运兵车。Papa Bear完毕。
STRCAMP_25v09,嗨，Nicholls。这应该只是例行的的飞行任务而已，对吗？
STRCAMP_25v10,这里不会永远只有例行的飞行任务的，伙计。
STRCAMP_25v11,天上见。
STRCAMP_END,任务完成。
STRCAMP_hint1,默认的控制：W/S，A/D或鼠标=抬起/下俯机头。Q/Z=升高/降低高度。X/C=用尾桨旋转机身。高速时：A/D或鼠标=转向左/右。低速时：A/D=向左/右移动。鼠标=用尾桨旋转机身。动作菜单=开启自动悬停。
STRCAMP_hint2,默认的控制：W/S，A/D或鼠标=控制移动。Q/Z=控制高度。X/C=用尾桨旋转机身。动作菜单=开启自动悬停。
STRCAMP_hint3,你可以使用动作菜单的“自动悬停”功能让直升机进行稳定的悬停。
STRCAMP_hint4,默认的战斗控制：鼠标右击=选择目标。鼠标左击=开火。空格键=改变武器。TAB=循环选择目标。
STRCAMP_marker1,机场
STRCAMP_marker2,接引步兵。
STRCAMP_marker3,卸载步兵班
STRCAMP_marker4,救援步兵部队。
STRCAMP_marker5,攻击装甲步兵。
STRM_25n01,Everon，空军基地。
STRM_25n02,准备起飞。
