LANGUAGE,English,German,French,Italian
STRNG_282,营救,Die Befreiung,La d閘ivrance,La liberazione
STRNG_283,Spetz Natz准备处决我们的同志....,"Die Speznaz machen sich bereit, unseren Mann zu exekutieren....",Le commando sp閏ial se pr閜are ?ex閏uter notre homme.,Gli Spetz Natz si preparano a giustiziare il nostro uomo....
STRNG_284,俘虏很高兴见到你 - 带他离开这.,"Der Gefangene ist gl點klich, Sie zu sehen. Bringen Sie ihn jetzt raus hier.",Le prisonnier est heureux de vous voir - sortez-le d'ici maintenant.,Il prigioniero ?felice di vederLa - lo porti via di qui.
STRNG_285,干得好同志.我们将分析您所提供的资料.,"Gute Arbeit, M鋘ner! Wir werden die neuen Informationen auswerten.",Du bon travail les gars. Nous allons analyser ces nouvelles informations.,Avete fatto un buon lavoro uomini. Valuteremo le nuove informazioni.
STRNG_286,我们已经解救了俘虏.,Der Gefangene wurde befreit,Le prisonnier a 閠?lib閞?,Il prigioniero ?stato liberato.
STRNG_287,休假结束. 我们的同志现在需要我们.,"Leute, der Fronturlaub ist vorbei! Man z鋒lt auf uns.",Ecoutez les gars. Les vacances au front c'est termin?maintenant Notre camarade compte sur nous.,Uomini le vacanze sono finite. Il nostro compagno conta su di noi.
STRNG_288,苏联士兵正在往你的路上来.,Russische Soldaten bewegen sich in ihre Richtung...,Des soldats russes avancent dans votre direction...,Soldati russi si muovono nella sua direzione...
STRNG_289,你被看见了.,Sie wurden gesehen.,Vous avez 閠?vu.,Lei ?stato visto.
STRNG_290,敌人拉响了警报.,Alarm wurde ausgel鰏t.,L'alarme a 閠?donn閑.,?scattato l'allarme.
STRNG_291,我们的一个同志被抓了\n并且会被处决. 我们必须组织营救.,Einer unserer M鋘ner wurde gefangen genommen\nund soll exekutiert werden. Wir m黶sen ihn retten.,L'un de nos hommes a 閠?fait prisonnier\net doit passer au peloton d'ex閏ution. Il faut que nous le sauvions.,Uno dei nostri uomini ?stato fatto prigioniero\ne deve essere giustiziato. Dobbiamo salvarlo.
STRNG_292,别让他牺牲了!,Lassen sie ihn nicht im Stich!!!,Ne le laissez pas tomber ! !,Non abbandonatelo!!!
STRNG_293,继续行动!,Weiter so!!!,Continuez sur cette lanc閑 ! !,Avanti cos?!!
STRNG_294,你救了他.干得好同志!,"Sie haben ihn befreit. Gut gemacht, Soldat.",Vous l'avez lib閞? Bon travail soldat.,L'ha liberato. Ben fatto soldato.
STRNG_295,我们剩下的同志被残酷地处决了.,Unsere Soldaten werden exekutiert.,Les derniers de nos soldats ont 閠?ex閏ut閟 atrocement.,I nostri ultimi soldati sono stati brutalmente giustiziati.
STRNG_296,你搞砸了整个任务\n也许你下回能有更好的运气!,Sie haben versagt!\n Lernen sie daraus und versuchen sie es erneut!!!,Vous avez rat?la mission.\nTirez-en les le鏾ns puis retentez votre chance !!!,Ha fallito la missione.\nImpari la lezione e riprovi!!!
STRNG_478,为什么不再试一次....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che provi ancora una volta....
STRNG_20000,拯救我们的盟友.,Retten Sie unseren Verb黱deten.,Sauvez nos alli閟.,Salvi i nostri alleati.
STRNG_4000,拯救你的同志.,Retten Sie ihren Kameraden,Sauvez vos camarades.,Salvi i suoi compagni.
STRNG_4001,进入点,Lazarett,L'h魀ital militaire,Lazzaretto
STRNG_4002,抵抗组织营地,Widerstandslager,Camp de r閟istance,Campo dei ribelli
STRNG_4003,油料补给,Tankanlage,Pompes ?essence,Stazione di rifornimento di carburante
STRNG_4004,补给站,Lager,Camp,Campo
STRNG_4005,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati.
