LANGUAGE,English,Comment

STRM_Loadi1_0,"袭击蒙蒂尼亚克五小时后。",Load mission
STRM_Loadi1_1,"默克斯。埃韦龙维和部队指挥部。",Load mission
STRM_Loadi1_2,"与此同时，马尔登岛上。",intro 2
STRM_Loadi1_3,"你犯下了重罪。\n现在军事检察院要来找你了。",intro 2
STRM_Outro1_0,"一段时间之后。",outro 1
STRM_Outro1_1,"默克斯。埃韦龙维和部队指挥部。",outro 1

STRM_Load1_0,"埃韦龙。D1 方格。",Load mission
STRM_Load1_1,"15 分钟后。",Load mission
STRM_Load1_2,"与此同时，埃韦龙以西 50 英里处。",Load mission
STRM_Load1_3,"布拉沃-5 特种小队。美国海军。",Load mission

STRM_intro1_0,"列兵阿斯塔霍夫！",intro 1
STRM_intro1_1,"到！",intro 1
STRM_intro1_2,"出列！",intro 1
STRM_intro1_3,"是！",intro 1
STRM_intro1_4,"因表现英勇、战功卓著！\n我代表指挥部向你通令嘉奖！",intro 1
STRM_intro1_5,"另外，破格晋升列兵阿斯塔霍夫为下士！",intro 1
STRM_intro1_6,"为苏维埃祖国服务！",intro 1
STRM_intro1_7,"雄鹰们！我知道你们现在很难受！",intro 1
STRM_intro1_8,"但现在我们绝不能松懈！",intro 1
STRM_intro1_9,"还不知道岛上还有多少我方部队有战斗力！",intro 1
STRM_intro1_10,"我已经派直升机去科尔古耶夫求援，\n但援兵没到之前，我们必须重新掌控局势！",intro 1
STRM_intro1_11,"我将亲率车队南下，查明岛上态势。",intro 1
STRM_intro1_12,"下士阿斯塔霍夫，带上六个人，\n去机场接应从科尔古耶夫来的援军。",intro 1

STRM_intro2_0,"先生们。我们与埃韦龙失去了联系。\n我们的人已经一整天没有音讯了。",intro 2
STRM_intro2_1,"你们的任务是查明那里发生了什么。",intro 2
STRM_intro2_2,"补充指示会在路上给你们！",intro 2
STRM_intro2_3,"祝你们好运！",intro 2
STRM_intro2_4,"吉姆，你向各指挥员交代任务了吗？",intro 2
STRM_intro2_5,"是的，长官。",intro 2
STRM_intro2_6,"很好，我们必须把俄国人从那里赶出去。\n不惜一切代价。",intro 2
STRM_intro2_7,"他们会照我说的去做。",intro 2
STRM_intro2_8,"很好。",intro 2

STRM_ingameintro1_0,"全体提高警惕。武装分子八成已经占领机场，\n附近可能有巡逻哨，没事别弄出动静。",ingameintro 1
STRM_ingameintro1_1,"我压根就不想动他们，让他们飞走好了！",ingameintro 1
STRM_ingameintro1_2,"蠢货！他们不是要飞走，\n是要阻止我们的运输机着陆！",ingameintro 1
STRM_ingameintro1_3,"他们怎么拦得住？我们的前线航空兵马上就到，\n几支冲锋枪能干什么？",ingameintro 1
STRM_ingameintro1_4,"米舒金，你这辈子当不成军人。他们能干的事多着呢，\n比如破坏跑道。",ingameintro 1
STRM_ingameintro1_5,"都别废话了！我们有命令！\n命令是不讨论的，这你们清楚！",ingameintro 1
STRM_ingameintro1_6,"指示都记住了吗？不许轰炸跑道！\n没命令不许开火！准备好了吗？",ingameintro 1
STRM_ingameintro1_7,"坚决照办！",ingameintro 1
STRM_ingameintro1_8,"那就开工！",ingameintro 1
STRM_ingameintro1_9,"装甲车，停下！再往里开就是伏击圈，危险！\n全体下车！",ingameintro 1

STRM_ingame2_1,"见鬼！他们有坦克！",ingameintro 2
STRM_ingame2_2,"冷静！解决他们！",ingameintro 2
STRM_ingame2_3,"机库里三个，右边加油点还有四个，\n暂时没看到更多。",ingameintro 2
STRM_ingame2_4,"向这帮恶棍开火！",ingameintro 2
STRM_ingame2_5,"他们从右翼包抄我们！",ingameintro 2
STRM_ingame2_6,"该死！米舒金被打死了！",ingameintro 2
STRM_ingame2_7,"谢列兹涅夫重伤，指挥员！",ingameintro 2
STRM_ingame2_8,"塔马林阵亡！",ingameintro 2
STRM_ingame2_9,"波塔波夫阵亡！",ingameintro 2

STRM_ingameintro3_1,"干得漂亮，弟兄们！\n现在检查跑道，等我们的人降落。",ingameintro 3
STRM_ingameintro3_2,"一旦发现跑道受损，\n立刻向我报告！",ingameintro 3
STRM_ingameintro3_3,"不过先抽根烟歇一会儿，然后接着干活。",ingameintro 3

STRM_ingameintro4_0,"有时候，我们要为胜利付出惨重代价。",ingameintro 4
STRM_ingameintro4_1,"就在两周前，我和普赞采夫还在城里的露天迪厅泡妞，\n可现在……",ingameintro 4
STRM_ingameintro4_2,"短短几天，我就失去了所有朋友。",ingameintro 4

STRM_ingame3_0,"好了先生们，我们有活干了。",ingame 3
STRM_ingame3_1,"昨天我们与埃韦龙失去了联系。",ingame 3
STRM_ingame3_2,"我们的任务是查明那里发生了什么。",ingame 3
STRM_ingame3_3,"可能这帮共产分子又惹出乱子了。\n我们要尽可能帮助叛军。",ingame 3
STRM_ingame3_4,"这次是侦察任务。\n我们的人会在机场接应我们。",ingame 3
STRM_ingame3_5,"一切行动保持绝对安静！",ingame 3
STRM_ingame3_6,"都清楚了吗？",ingame 3
STRM_ingame3_7,"是，长官！",ingame 3
STRM_ingame3_8,"好。",ingame 3
STRM_ingame3_9,"长官，我们快到目标上空了。",ingame 3
STRM_ingame3_10,"约翰逊，把录音机关掉！",ingame 3
STRM_ingame3_11,"准备战斗，弟兄们！愿上帝保佑步兵！",ingame 3

STRM_ingameintro5_1,"长官，我看到机场上有几个人，\n像是俄国人。我该怎么做？",ingameintro 5
STRM_ingameintro5_2,"降落。",ingameintro 5
STRM_ingameintro5_3,"全员准备战斗。\n让这帮共产分子看看该怎么打仗。",ingameintro 5
STRM_ingameintro5_4,"可是长官，我以为我们和俄国人签了和平协议。\n这会引发战争的。",ingameintro 5
STRM_ingameintro5_5,"用不着你操心，小子，这里由我来拿主意！\n你只要执行命令！明白吗？",ingameintro 5
STRM_ingameintro5_6,"是，长官！",ingameintro 5
STRM_ingameintro5_7,"这才对。",ingameintro 5

STRM_ingameintro6_1,"德米卡！看起来是我们的人来了！",ingameintro 6
STRM_ingameintro6_2,"可算来了！总算把他们盼到了！",ingameintro 6
STRM_ingameintro6_3,"该死！那不是我们的直升机！是美国人！",ingameintro 6
STRM_ingameintro6_4,"见鬼，就差这一出！",ingameintro 6
STRM_ingameintro6_5,"我们不先开火！",ingameintro 6
STRM_ingameintro6_6,"全体提高警惕！",ingameintro 6
STRM_ingameintro6_7,"该死！他们开火了！",ingameintro 6
STRM_ingameintro6_8,"开火！",ingameintro 6

STRM_ingame7_0,"乌拉！是我们的人！",ingameintro 7

STRM_outro0_1,"你可真是捅了个大娄子，小子。",outro 0
STRM_outro0_2,"将军同志，是他们先开的火，\n我们别无选择！",outro 0
STRM_outro0_3,"哼，你们把美国海军陆战队一个排给全干掉了。",outro 0
STRM_outro0_4,"行了，小子。木已成舟。\n干得好。去莫顿吧。",outro 0
STRM_outro0_5,"怎么样，上尉，你觉得美国人会原谅我们吗？",outro 0
STRM_outro0_6,"他们八成等的就是这个。",outro 0
STRM_outro0_7,"把孩子们送上死路，\n好为冲突制造一个冠冕堂皇的借口。",outro 0
STRM_outro0_8,"照你看，我们还得等他们多久？",outro 0
STRM_outro0_9,"我想过一两天他们就会露面。",outro 0
