LANGUAGE,English,German,French,Italian
STRNG_115,油料补给,Treibstoffdepot,D閜魌 de carburant,Deposito di carburante
STRNG_116,躲起来!,Gehen Sie in Deckung!,Mettez-vous ?couvert.,Si metta al sicuro!
STRNG_117,在下一个转弯后你将会有的视野.,An der n鋍hsten Biegung haben Sie eine gute 躡ersicht.,Pass?le prochain virage vous aurez un bon point de vue.,Alla prossima curva ha una buona vista.
STRNG_118,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_119,你的营地被蹂躏了! 你没能守住它!,Ihr Lager wurde 黚erfallen! Sie h鋞ten es besser sch黷zen m黶sen!,Votre camp a 閠?attaqu?! Vous auriez d?mieux le prot間er !,Il suo campo ?stato preso d'assalto! Avrebbe dovuto proteggerlo meglio!
STRNG_120,油料补给,Treibstoffdepot,D閜魌 de carburant,Deposito di carburante
STRNG_121,躲起来,gehen Sie in Deckung,Mettez-vous ?couvert.,Si metta al sicuro!
STRNG_122,临行前...,Kurz vor dem Abmarsch...,Peu avant le d閜art....,Poco prima di mettersi in marcia...
STRNG_123,在下一个转弯后你将会有好的视野,An der n鋍hsten Biegung haben Sie eine gute 躡ersicht,Pass?le prochain virage vous aurez un bon point de vue.,Alla prossima curva ha una buona vista.
STRNG_124,你的目的地是La Pessagne...,Ihr Ziel: Le Pessagne...,Votre but Le Pessagne...,Il suo obiettivo Le Pessagne...
STRNG_125,"祝好运,同志!",Viel Gl點k M鋘ner!!,Bonne chance les gars !!,Buona fortuna uomini!
STRNG_126,起义被平息了 - 任务失败.,"Wiederstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_127,你的营地被蹂躏了! 你没能守住它!,Ihr Lager wurde 黚erfallen! Sie sollten es besser sch黷zen.,Votre camp a 閠?attaqu?! Vous auriez d?mieux le prot間er !,Il suo campo ?stato preso d'assalto! Avrebbe dovuto proteggerlo meglio!
STRNG_128,La Pessagne的日常运输,Der t鋑liche wiederkehrende Transport nach Le Pessagne.,Le transport quotidien vers Le Pessagne.,Il trasporto quotidiano periodico in direzione di Le Pessagne.
STRNG_129,观测点,Der Beobachtungspunkt,Le point d'observation,Punto di osservazione
STRNG_130,这些燃油是我们的了.,Somit sollten wir keine Probleme mehr mit fehlendem Treibstoff haben.,Le carburant est ?nous maintenant.,La benzina appartiene adesso a noi.
STRNG_131,,,,
STRNG_132,开火! ! !,FEUER ! ! !,FEU ! ! !,F U O C O ! ! !
STRNG_133,你把这一任务搞的一团糟.\n 你应该从中学到一些东西，然后再来一次!!!,Sie haben diese Mission vergeigt.\n Lernen sie daraus und versuchen sie es erneut!!!,Vous avez rat?la mission.\nTirez-en les le鏾ns puis retentez votre chance !!!,Ha fallito la missione.\nImpari la lezione e riprovi!!!
STRNG_134,我们剩下的同志被残酷地处决了.,Unsere Soldaten wurden brutal exekutiert.,Les derniers de nos soldats ont 閠?ex閏ut閟 atrocement.,I nostri ultimi soldati sono stati brutalmente giustiziati.
STRNG_461,任务 4 油料补给,Mission 4 Die Benzinversorgung,Mission 4 Approvisionnement en carburant,Missione 4 L'approvvigionamento di benzina
STRNG_462,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,Dati posizione vengono aggiornati.
STRNG_463,你最好再试一次....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che riprovi ancora....
STRNG_20000,有利点,Beobachtungspunkt,Point d'observation,Punto di osservazione
STRNG_4000,抵抗组织营地,Widerstandslager,Camp de r閟istance,Campo dei ribelli
STRNG_4001,油料补给,Treibstoffdepot,D閜魌 de carburant,Deposito di carburante
STRNG_4002,良好的位置,gute 躡ersicht,Bon point de vue,Buona vista
