LANGUAGE,English
STR_CAMPAIGN_1985_03ACAMPING_EDEN_BRIEFING_INTRO,"May 10, 1985</B> – So we took the village, Regina. Took it, as ordered – and held on to it for about two whole minutes.
<br><br>
Jesus, what a mess. While I was still catching my breath, this tank platoon comes charging in from the South, and all hell breaks loose. To be honest, I was lucky to make it out alive.
Some weren't so lucky. There are more empty spaces in our parade line. No-one says anything, but we all notice them.
Ivan’s getting stronger in the South, but it looks the central part of island is almost under NATO control. Seems like we’re settling in for a long fight here."
STR_CAMPAIGN_1985_03ACAMPING_EDEN_BRIEFING_NAME,Camping
STR_CAMPAIGN_1985_03ACAMPING_EDEN_BRIEFING_OBJ_1,"Await the arrival of Sergeant Berghof, who will have further orders."
STR_CAMPAIGN_1985_03ACAMPING_EDEN_BRIEFING_OBJ_2,"Go with the commander and get in a 5t truck <A HREF=""marker:truck"">at the coastland.</a>"
STR_CAMPAIGN_1985_03ACAMPING_EDEN_BRIEFING_OBJ_3,"Follow the commander and pick up all the remaining troops in <A HREF=""marker:Start"">Morton. </a>"
STR_CAMPAIGN_1985_03ACAMPING_EDEN_BRIEFING_OBJ_4,"Follow the commander to <A HREF=""marker:LeMoule"">Le Moule</A>."
STR_CAMPAIGN_1985_03ACAMPING_EDEN_BRIEFING_OBJ_5,"Go with your commander on a recon patrol to <A HREF=""marker:Patrol1"">the North East area</A>."
STR_CAMPAIGN_1985_03ACAMPING_EDEN_BRIEFING_PLAN,"Your squad is to establish a field camp near the village of <A HREF=""marker:LeMoule"">Le Moule</A>. Assemble in the center of <A HREF=""marker:Start"">Morton</A> at 16.55."
STR_CAMPAIGN_1985_03ACAMPING_EDEN_OVERVIEW_001,Overview
STRCAMP_03ar1,"所有人上车，快, 小姐们。"
STRCAMP_03ar2,"都上车了？OK,咱们出发！"
STRCAMP_03ar3,前面发现了3、4个苏联士兵，看起来像苏联的巡逻队，所有人，准备开火。
STRCAMP_03ar4,"PAPA BEAR, 来这里。 A组报告 - 发现小股敌人, 完毕。"
STRCAMP_03ar5,A组，收到，一辆装甲车已经开往你处。完毕。
STRCAMP_03av1,战争真是让人厌烦。你们觉得呢？
STRCAMP_03av10,草坪？？？
STRCAMP_03av11,大伙注意，Berghof来了。
STRCAMP_03av12,"好了，阿姆斯特朗,你会开卡车吧？跟我来。其他人在这里休息，我们几分钟后回来。"
STRCAMP_03av13,好的，最好别过一个小时再回来。
STRCAMP_03av14,我想你们一定都有点纳闷，猜测我们在这里做什么，和什么人在打仗。说实话，我也纳闷的很。
STRCAMP_03av15,"嘿！阿姆斯特朗，整个北约指挥部都在纳闷。如果敌人是苏联人，就像看起来的那样, 那这个危机一定会引起第三次世界大战。"
STRCAMP_03av16,但是……看，我不该跟你们说这些的。咳！山高皇帝远，不是吗？
STRCAMP_03av17,"嘿, 阿姆斯特朗, Berghof在那里跟你说什么了? 他一定知道咱们为什么在这里打仗。咱们是在打一场世界大战吗?阿姆斯特朗? 你聋啦?"
STRCAMP_03av18,"别烦他了, Kozlowski。他开车呢。无论如何, 苏联人现在都在直接进攻。北约部队必须用大量坦克的集群进攻来在欧洲的这个关键地带还击。他们不可能在Everon以外的地方开始第三次世界大战。"
STRCAMP_03av19,是吗？但看上去他请咱们来并不是为了和俄国佬打仗。
STRCAMP_03av2,你得学着享受这样的休息时期，能在将来的战斗中更活跃。
STRCAMP_03av20,"OK！Kozlowski, Bormioli, 阿姆斯特朗, 你们跟我来。咱们去巡逻。其他人把这里收拾一下, 这些泥巴要是在营地里乱飞山姆大叔一定会为你们感到骄傲的。Fowley,我走了以后你来指挥一下。"
STRCAMP_03av21,长官，为什么苏联人会进攻Everon?
STRCAMP_03av22,现在谁也不能确定，士兵。
STRCAMP_03av23,但是，一定有人知道的。长官。你觉得为什么？
STRCAMP_03av24,我真的不知道，士兵。
STRCAMP_03av25,他们会用核武器吗？
STRCAMP_03av26,士兵们，你们不要这样拼命向我发问，不如观察一下四周。我们收到报告说前面的树林里有小股敌人活动。
STRCAMP_03av27,但是长官，我只是猜想……
STRCAMP_03av28,嘘……
STRCAMP_03av29,你们看见了什么了吗？我觉得我听到了什么声音在那边树林里，咱们去看看。
STRCAMP_03av3,好吧，那我现在用我的眼睛来侦察以下，嗯，那边有什么东西头一个字母拼写应该是……G
STRCAMP_03av30,"看起来苏联人没有得到什么教训。我可以用些步枪子弹来让他们尝尝厉害, 但是现在上头命令我们回到Morton。 一会见, 士兵们."
STRCAMP_03av4,枪？
STRCAMP_03av5,呃……不是枪。
STRCAMP_03av6,当然是枪了，还能是什么别的，天，你竟然连侦察也要骗人吗？
STRCAMP_03av7,不是枪，是…一辆吉普车。
STRCAMP_03av8,吉普车的拼写开头第一个字母不是G，你这个笨蛋！
STRCAMP_03av9,好好，不是吉普车，我的意思是……草坪……
STRCAMP_03obj01,等待Berghof到达
STRCAMP_03obj02,登上5吨卡车
STRCAMP_03obj03,建造营地
STRCAMP_03obj04,巡逻
STRCAMP_hint1,你现在有了望远镜了。 按B键来使用它。
STRM_03an01,回到Morton
STRM_failed,任务失败咱们的卡车被撞坏了，你必须在这里等待它被修理好。
