LANGUAGE,English,German,French,Italian
STRNG_28,躲藏,Die Zuflucht,Le refuge,La ritirata
STRNG_29,你离开了作战区!,Sie verlassen das Einsatzgebiet! So erreichen Sie nie das Lager!,Vous quittez la zone de votre mission ! ! Ce n'est pas comme 鏰 que vous arriverez au camp !,State lasciando il territorio della missione!! Cos?non arriver?mai al campo!
STRNG_33,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_45,这样的寻找太可怕了.我只希望我的寻找是有价值的.,"Diese Suche macht einen ja ganz irre. Will nur hoffen, das sie sich lohnt.",Cette recherche vous rend compl鑤ement idiot. J'esp鑢e que 鏰 va servir ?quelque chose.,Questa ricerca ?estenuante. Spero solo che ne valga la pena.
STRNG_46,躲藏,Die Zuflucht,Le refuge,La ritirata
STRNG_47,敌人的直升机增援也已经抵达.,Diese werden durch Helikopter unterst黷zt.,Ils sont appuy閟 par des h閘icopt鑢es.,Questi vengono soccorsi dall'elicottero.
STRNG_48,整个岛屿都被大量敌人的步兵和坦克占领了.,Auf der gesamten Insel sind feindliche Bodentruppen in Form von Panzern und Infanterie unterwegs.,Des troupes ennemies se d閜lacent sur toute l'頻e sous forme de chars d'assaut et d'infanterie.,Sull'intera isola ci sono truppe da terra in forma di carri armati e fanteria.
STRNG_49,这就是你的目标 - 抵抗组织营地.,Dies ist Ihr Ziel - das Lager der Rebellen.,Voil?votre but - le camp des rebelles,Questo ?il suo obiettivo - il campo dei ribelli.
STRNG_50,小心敌军的搜索，这样你才能安全到达抵抗组织营地.,"Achten Sie auf Feindbewegungen, um sicher zum Widerstandslager zu gelangen.",Pr阾ez attention aux mouvements de l'ennemi afin que vous parveniez jusqu'au camp de r閟istance.,Faccia attenzione ai movimenti del nemico per poter giungere al campo dei ribelli.
STRNG_51,你到达了Malden .....,Sie haben Malden erreicht...,Vous avez atteint Malden...,Ha raggiunto Malden...
STRNG_52,营地,Das Lager,Le camp,Il campo
STRNG_53,好!我带你到他那去.,"OK! Komm, ich bring dich zu Ihm.",OK ! Viens je t'emm鑞e aupr鑣 de lui.,OK! Vieni ti porto da lui.
STRNG_54,终于到了!这就是抵抗组织的营地.,Endlich! Das Lager der Rebellen.,Enfin ! Le camp des rebelles.,Finalmente! Il campo dei ribelli
STRNG_55,Hi 伙计!我给你带来了一些重要的情报.让我见见你们的指挥官.,"Tag Kamerad! Ich habe wichtige Informationen f黵 Euch, bring mich bitte zum Anf黨rer.",Salut camarade ! J'ai des informations importantes pour vous. Menez-moi SVP aupr鑣 de votre chef.,Buon giorno compagni! Ho informazioni importanti per voi. Portatemi dal vostro capo.
STRNG_56,别开枪!!! 我是自己人!!,NICHT SCHIESSEN!!! Ich bin auf Eurer Seite!,NE TIREZ PAS ! ! Je suis un rebelle tout comme vous !,NON SPARATE!!! Sono anche io un ribelle come voi!
STRNG_57,知道我并不是一个人在战斗真好!,"Gut zu wissen, dass es noch mehr von uns gibt...",Bon ?savoir qu'on n'est pas tout seul...,Buono a sapersi che ce ne sono ancora altri dalla nostra parte...
STRNG_58,开火! ! !,FEUER ! ! !,FEU ! !,F U O C O ! ! !
STRNG_59,你把这一任务搞的一团糟.\n 你应该从中学到一些东西，然后再来一次!,Sie haben die Mission vergeigt.\n Lernen sie daraus und versuchen sie es erneut!!!,Vous avez rat?la mission.\nTirez-en les le鏾ns puis retentez votre chance !!!,Ha fallito la missione.\nLe serva da lezione e riprovi!!!
STRNG_60,我们的最后一个同志被残酷处决了.,Unsere letzten Soldaten werden brutal exekutiert.,Les derniers de nos soldats ont 閠?ex閏ut閟 atrocement.,I nostri ultimi soldati sono stati brutalmente giustiziati.
STRNG_455,任务 2 躲藏,Mission 2 Die Zuflucht,Mission 2 Le refuge,Missione 2 La ritirata
STRNG_456,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati.
STRNG_457,为什么不再试一次呢....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che ci riprovi....
