LANGUAGE,English,German,French,Italian
STRNG_209,撤退,Der R點kzug,Le repli,La ritirata
STRNG_210,撤退. 敌人太强大了. 让他们进攻吧我们得快点撤退.,"R點kzug! Der Feind ist zu stark, 黚erlassen wir das Lager dem Gegner",Repli L'ennemi est trop fort Abandonnons le camp ?l'adversaire.,La ritirata. Il nemico ?troppo forte: dobbiamo lasciargli il campo.
STRNG_211,让我们离开这.,"Leute, lasst uns hier verschwinden.",Allez les gars faisons que nous sortions de ce gu阷ier.,Gente vediamo di trovare il modo di venire via di qui.
STRNG_212,干得好.这会让任务变得简单.,"Gute Arbeit, jetzt wird das Ganze schon leichter...",Bon travail maintenant 鏰 va devenir plus facile...,Avete fatto un buon lavoro adesso tutto diventer?pi?semplice...
STRNG_213,直升机安全了.,Der Helikopter ist in Sicherheit.,On a mis l'h閘icopt鑢e en s閏urit?,L'elicottero ?al sicuro.
STRNG_214,卡车已经到达了它们的目的地.,Die LKW磗 haben ihr Ziel erreicht.,Les camions ont atteint leur but.,I camion hanno raggiunto il loro obiettivo.
STRNG_215,他们已经抵达营地.,Sie haben das Lager erreicht.,Vous 阾es parvenu au camp.,Ha raggiunto il campo.
STRNG_216,起义被平息了 - 任务失败,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_245,在敌人到达之前你有一点时间来准备 - 利用好它,Es bleibt Ihnen nicht viel Zeit bis zum Eintreffen des Gegners - nutzen Sie diese!,Il ne vous reste plus beaucoup de temps avant que l'adversaire n'arrive. - Ne le gaspillez pas !,Non Le rimane ancora molto tempo prima che il nemico avanzi - lo sfrutti!
STRNG_246,祝好运.,Viel Erfolg!,Bonne chance.,Auguri
STRNG_247,让卡车安全抵达 ,diese LKW磗 in Sicherheit zu bringen,pour mettre ces camions en s閏urit?,Bisogna portare al sicuro questi camion
STRNG_248,并且让直升机飞出去.,und diesen Helikopter zu evakuieren.,et pour 関acuer cet h閘icopt鑢e.,e evacuare questo elicottero.
STRNG_249,你的目标是撤到营地.,"Ihr Ziel ist es, schnellstm鰃lich das Lager zu r鋟men,",Votre but est de quitter le camp le plus rapidement possible.,Il suo obiettivo ?quello di sgombrare velocemente il campo.
STRNG_250,你没能消灭敌人的巡逻队.,"Sie haben es nicht geschafft, die Patroullie auszuschalten.",Vous n'avez pas r閡ssi ?閘iminer la patrouille.,Non ce l'ha fatto a eliminare la pattuglia.
STRNG_251,"长官, 根据敌人的情报...","Sir, melde Feindkontakt...",Commandant - au rapport contact ennemi...,Signore segnalo contatto nemico.
STRNG_252,报告说敌人的步兵部队,Die Aufkl鋜ung meldet feindliche Fu遲ruppen,Les 閏laireurs rapportent la pr閟ence de troupes d'infanterie ennemies,La ricognizione segnala truppe nemiche a piedi
STRNG_253,和坦克正在移动.,sowie Panzerbewegungen.,et de mouvements de chars d'assaut.,cos?come movimento di carri armati
STRNG_254,他们正向补给站移动.,Diese sind auf dem direkten Weg zum Depot.,Ces chars se dirigent tout droit vers le d閜魌.,questi vanno in direzione del deposito.
STRNG_255,祝好运.,Viel Erfolg!,Bonne chance !,Auguri
STRNG_472,"在La Pessagne,撤退之前.",In La Pessagne kurz vor dem R點kzug.,A La Pessagne peu avant le repli.,A La Pessagne poco prima della ritirata.
STRNG_473,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono attualizzati.
STRNG_474,也许你应该再试一次....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che riprovi ancora....
STRNG_20000,回到营地,zur點k ins Lager,Retour au camp,ritorno al campo
STRNG_20001,把卡车带回营地,LKW zur點k ins Lager,Camion retour au camp,camion indietro al campo
STRNG_4000,抵抗组织营地,Widerstandslager,Camp de r閟istance,Campo dei ribelli
STRNG_4001,敌军动向,Feindbewegungen,Mouvements ennemis,Movimenti del nemico
