LANGUAGE,English
STR_CAMPAIGN_1985_X101BHAPPYEND_EDEN_BRIEFING_NAME,<过场动画>
STR_CAMPAIGN_1985_X101BHAPPYEND_EDEN_OVERVIEW_001,任务概述
STR_x101v01,里根总统对所谓的事件不予置评，但一位高级官员私下说，国会议员的行为简直就是贻笑大方。
STR_x101v02,同时，Everon岛上出现的紧张局势已经缓解。这次据说由美军和来源不明力量进行的敌对事件，几天来引起了不少议论。
STR_x101v03,在一份正式声明中，国防部长声称，美军在该岛上的训练营曾被一小撮轻武装恐怖分子袭击。该组织是由一位被贬黜的前苏联将军领导的。
STR_x101v04,美国军事情报指出攻击是由一群极端主义者组织操纵，毫无章法、大胆妄为，轻易就被美军击溃。据称没有任何严重的伤亡。
STR_x101v05,莫斯科表示该事件“令人十分遗憾”，恐怖分子首领目前依然下落不明。
STR_x101v06,其他的新闻有……出逃的老虎雷吉依然没有找到。自从它在清理围栏时从临时圈中跳出去以来，这位圣地亚哥动物园明星已经失踪了三天。
STR_x101v07,现在由格雷格·约翰逊播报世界新闻。格雷格……
STR_x101v08,“不明”——哼。我希望他在地狱里烂掉。
STR_x101v09,即便他有下落，他们也决不会告诉我们的。有人听说过事实真相吗？
STR_x101v10,没人想报忧不报喜，我的朋友。他们一定都死了不少人。真正的故事从来不对外人说。但至少我们还活着。感恩吧，感恩吧。
