LANGUAGE,English,German,French,Italian
STRNG_1,逃离战俘营,Lagerflucht,Fuite hors du camp,Fuga dal campo
STRNG_2,"战俘逃跑了,请求无线电支援.","Der Gefangene ist ausgebrochen, benachrichtigt die anderen 黚er Funk.",Le prisonnier s'est enfui. Inform?les autres par radio,Il prigioniero ?scappato. Informate gli altri per radio
STRNG_3,战俘正在接近主营地! 必须拦下他!,Der Gefangene n鋒et sich dem Hauptlager! Haltet Ihn auf!,Le prisonnier se rapproche du camp principal ! Arr阾ez-le !,Il prigioniero si avvicina al campo principale! Fermatelo!
STRNG_4,"该死,他逃远了!","Verdammt, er entwischt uns!",Bon Dieu ! Il nous 閏happe.,Accidenti ci scappa!
STRNG_5,在他回来之前，我们只剩下几分钟了.,"Uns bleiben jetzt nur wenige Minuten, bis er wieder zur點kkommt.",Nous n'avons plus que quelques minutes avant qu'il ne revienne.,Ci rimangono ancora pochi minuti prima che lui torni.
STRNG_6,"你听到了消息,说战俘逃跑了.敌人要开车并彻底搜索该区域!","Ihr habt es geh鰎t, der Gefangene ist geflohen. Alles aufsitzen, wir sollen ihn zur點kbringen!",Vous avez entendu. Le prisonnier s'est enfui. Laissez tout en plan. Nous finirons bien par le trouver !,Avete sentito che il prigioniero ?fuggito. Tutti in piedi e cercatelo sparpagliandovi Lo troveremo!
STRNG_7,起义被平息了 - 任务失败,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_8,你成功地逃走了...,Ihre Flucht ist gegl點kt...,Votre fuite a r閡ssi...,La sua fuga ?riuscita...
STRNG_9,你成功地逃走了…但你并没有安全.,"Die Flucht ist gegl點kt, aber Sie sind noch nicht in Sicherheit.",La fuite a r閡ssi mais vous n'阾es pas encore en s閏urit?,La sua fuga ?riuscita ma Lei non ?ancora al sicuro.
STRNG_10,起义被平息了 - 任务失败,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_22,安静而平和...,alles ist friedlich...,Tout est tranquille...,tutto ?tranquillo...
STRNG_23,Lolisse是敌人的目标之一.,Lolisse ist eins der Ziele.,Lolisse est l'un des buts ?atteindre.,Lolisse ?uno degli obiettivi.
STRNG_24,这一定有逃跑的路\n我必须找到它!,Es muss eine M鰃lichkeit zur Flucht geben\nund ich werde diese finden!,Il doit bien exister une possibilit?de s'enfuir\net je la trouverai.,ci deve essere una possibilit?di fuga\ned io la trover?
STRNG_25,这是从我们村可以看到的一座岛.\n我非常熟悉这的地形.,"Dies ist doch die Insel, die man von unserem Dorf aus sehen kann.\nHier kenne ich mich aus.",Mais c'est bien l'頻e qu'on peut apercevoir de notre village\nIci je m'y connais.,Questa ?l'isola che si pu?vedere dal nostro villaggio\nsono pratico di queste parti.
STRNG_26,我不能留下任何我从这逃走的痕迹.,"Ich werde nichts unversucht lassen, um von hier zu entkommen.",Je vais tout essayer pour sortir d'ici.,Non lascer?niente di intentato per fuggire di qua.
STRNG_27,但是...,Doch...,Pourtant...,Per?..
STRNG_445,在一个祥和的早晨 Dr. Roos正在去医院的路上...,"Ein wundersch鰊er Morgen, Dr. Roos auf dem Weg ins nahegelegene Krankenhaus...",Une matin閑 magnifique Dr Roos en route vers l'h魀ital le plus proche...,In una meravigliosa giornata il Dr. Roos si sta recando all'ospedale...
STRNG_446,…几英里远...,...w鋒renddessen wenige Kilometer weiter...,...pendant ce temps ?quelques kilom鑤res de l?..,...in questo momento alcuni chilometri pi?avanti...
STRNG_447,我的家...我的村子...,Mein Dorf... meine Familie...,Mon village... Ma famille...,Il mio villaggio... La mia famiglia...
STRNG_448,这些该死的杂种狗会为此而付出代价!,Diese verdammten Hunde werden f黵 Euren Tod bezahlen!,Les chiens ! Ils paieront pour votre mort absurde !,Questi maledetti pagheranno per la vostra morte!
STRNG_449,我必须从混乱中找出一条路来...,Ich muss einen Weg aus diesem Chaos finden...,Il faut que je trouve un chemin pour sortir de ce chaos...,Devo trovare una via d'uscita da questo caos...
STRNG_450,该死! 我被抓住了.,Verdammt! Das war es dann wohl.,Bon Dieu ! C'閠ait 鏰 apparemment.,Dannazione! ?finita.
STRNG_451,他们会把我带到哪?,Wohin werde ich jetzt gebracht?,O?est-ce que l'on m'emm鑞e ?',Dove mi porteranno adesso?
STRNG_452,任务 1 在逃离战俘营之前...,Mission 1 Im Gefangenenlager kurz vor dem Ausbruch...,Mission 1 Dans le camp des prisonniers peu avant la fuite...,Missione 1 Nel campo dei prigionieri prima della fuga...
STRNG_453,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati.
STRNG_454,也许你应该再试一次....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che provi ancora una volta....
STRNG_10000,Malden上的村庄Lolisse,Das Dorf Lolisse auf Malden,Le village de Lolisse sur Malden,Il villaggio Lolisse sulle Malden.
