LANGUAGE,English
STR_CAMPAIGN_1985_02COMBINEDARMS_EDEN_BRIEFING_INTEL_BODY,"<br>
- When moving under fire, zig-zag randomly. This gives the enemy less opportunity to lock you in his sights. Don’t stray in front of a buddy or you might get shot in the back.
<br><br>
- When stopping, do so behind partial or full cover (a bush is concealment, not cover, since bullets can go through bushes). It makes you harder to find and hit.
<br><br>
- Try not to be predictable when moving from cover to cover - all the enemy has to do is aim and wait for you to run into his sights.
<br><br>
- When firing from behind cover, change firing positions/places to keep the enemy from predicting where you will next appear. Confuse him,
and remain unpredictable.
<br><br>
- After diving for cover, do not return fire from the point you dived in. The enemy is aware of your location and will be expecting to see you fire from there.
<br><br>
- Lie prone whenever possible. It reduces your silhouette and the target it represents.
<br><br>
- Don't get caught with the horizon or open sky behind you; it makes your silhouette easy to recognize and target.
<br><br>
- Do not move and fire at the same time. Even with a machine gun this is very inaccurate. Moving and firing also slows you down when in an exposed position.
<br><br>
- Keep moving. It forces the enemy to look for you and try to predict what you are up to.
And if you stay stationary too long, he's going to send someone to flank you.
<br><br>
- Reload only behind full cover.
<br><br>
- Scan the area to your front as well as sides, rear and up – avoid tunnel vision. The main reason flanking is so effective 
is because of tunnel vision.
<br><br>
- Don't get so suppressed you won't peek out of cover. The enemy might walk up and shoot you.
<br><br>
- Use cover and concealment whenever possible, when running OR taking cover. The enemy can't see you coming if there is a tree 
between the two of you.
<a href=""#Main"">Back to notes</a>"
STR_CAMPAIGN_1985_02COMBINEDARMS_EDEN_BRIEFING_INTEL_HEADING,NOT GETTING HIT
STR_CAMPAIGN_1985_02COMBINEDARMS_EDEN_BRIEFING_INTRO,"<B>May 9, 1985 </B> - Combat. They tell you it’ll be tough, your first time under fire – and, sure, no-one was expecting it to be easy… but, Christ… there were men
 dying out there, all around me. Bullets so close to my head I swear I could feel their heat. Mayhem.
<br><br>
But we took the village. Morton – it’s the first stepping-stone on our way to liberating this island, Everon.
<br><br>
And once we were in there, safe and settled, with the corpses cleared from the streets, all we could do was listen to the sounds of firing in the distance.
<br><br>
Berghoff yelled at us for a while, recapping basic training. I took a few notes, but
sincerely doubt I’ll get a chance to refer to them next time there’s some Russian trying to put a few rounds in my brain.
<br><br>
God, the very idea… it doesn’t seem real.
<br><br>
And now we’ve got a new objective. Another village – Regina, they call
it. At least this time we should have some tank support."
STR_CAMPAIGN_1985_02COMBINEDARMS_EDEN_BRIEFING_NAME,Combined Arms
STR_CAMPAIGN_1985_02COMBINEDARMS_EDEN_BRIEFING_OBJ_1,"Join with the Alpha mechanized infantry squad and the Bravo tank force. Await the order to attack from the cover of <A HREF=""marker:obj1"">these trees</a>."
STR_CAMPAIGN_1985_02COMBINEDARMS_EDEN_BRIEFING_OBJ_2,"Seize the village of <a href=""marker:Regina"">Regina</a>."
STR_CAMPAIGN_1985_02COMBINEDARMS_EDEN_BRIEFING_OBJ_3,Retreat!</a>
STR_CAMPAIGN_1985_02COMBINEDARMS_EDEN_BRIEFING_PLAN,"Your objective is the village of <A HREF=""marker:Regina"">Regina</A> at grid location Fg81. Liberate the village in a combined operation with the help of mechanized infantry and the Bravo tank force.
<br><br>
Approach the rendezvous point in a 5-ton truck along <A HREF=""marker:Start"">this road</A>."
STR_CAMPAIGN_1985_02COMBINEDARMS_EDEN_OVERVIEW_001,Overview
STRCAMP_02obj1,会合点
STRCAMP_02obj2,攻占村庄
STRCAMP_02obj3,准备进攻
STRCAMP_02r1,Papa Bear呼叫A组，B组，C组：前进，前进，前进！
STRCAMP_02r2,听着，A组，我们现在要你们掩护我们冲入村庄了，你们就位吧！完毕。
STRCAMP_02r3,A组，B组，C组，这里是Papa Bear。有大量T-80坦克从南方逼近，立即撤退，重复一遍，立即撤退！完毕。
STRCAMP_02v1,前进，前进，前进！
STRCAMP_02v2,不能不激动，是不是？阿姆斯特朗，在攻占Morton后者里应该很容易被攻下来。
STRCAMP_02v3,你会冲在前面，Kozlowski，你喜欢这样的局面，是不是？
STRCAMP_02v4,太对了，看看这步枪，多么美丽。M16A2，每秒15发的射速，完美的平衡感，仅仅5磅重，你怎么能不爱上它。
STRCAMP_02v5,"就像我说的，Kozlowski,你真是个怪物。"
STRCAMP_02v6,是啊，Kozlowski，你离我远点。
STRCAMP_02w01,准备进攻
STRCAMP_02w02,攻占村庄
STRCAMP_02w03,撤退
STRM_02n01,山东南部的路
