LANGUAGE,English
STR_CAMPAIGN_1985_27RECON_CAIN_BRIEFING_INTEL_BODY,"<br>
- Pinpoint the current positions of three Shilka mobile anti-aircraft guns known to be deployed in the south of the island.<br>
- Don't destroy them! The Russians are sure to replace any guns which get
neutralized now.<br>
- Avoid contact with the enemy.<br>
- There are a few bases in the area. You should start searching there.<br>
- Check your map. Try to avoid roads.<br>
- It could be difficult for your boat to come for you if there are tanks at your heels.
<br><br>
<a href=""#Main"">Back to notes</a>"
STR_CAMPAIGN_1985_27RECON_CAIN_BRIEFING_INTEL_HEADING,Inteligence report
STR_CAMPAIGN_1985_27RECON_CAIN_BRIEFING_INTRO,"<B>June 27, 1985</B> - The battle for Everon is coming to an end. Now would be
a good time, I think, to pay a visit to Uncle Ivan at home.
<br><br>
Tonight I'm off to Kolgujev with two other Special Ops soldiers. We're not
going in to cause any trouble - if the enemy takes any notice of us, we'll be
out there on our own... so I should avoid combat at all costs.
<br><br>
Our <a href=""#Intel"">orders</a> are just to observe the situation over there.
Intel reports the presence of at least three anti-aircraft systems, but we need their exact positions. When we return just before
the main attack, under extreme time-pressure, we must know exactly where to go -
but for now we have time for recon."
STR_CAMPAIGN_1985_27RECON_CAIN_BRIEFING_NAME,Recon
STR_CAMPAIGN_1985_27RECON_CAIN_BRIEFING_OBJ_1,Find the first Shilka.
STR_CAMPAIGN_1985_27RECON_CAIN_BRIEFING_OBJ_2,Find the second Shilka.
STR_CAMPAIGN_1985_27RECON_CAIN_BRIEFING_OBJ_3,Find the third Shilka.
STR_CAMPAIGN_1985_27RECON_CAIN_BRIEFING_OBJ_4,"Make your way unseen to the evac point <a href=""marker:end"">at Ea78</a> and radio for the launch to pick you up."
STR_CAMPAIGN_1985_27RECON_CAIN_BRIEFING_PLAN,"Commander Gastovski, in this secret mission on Kolgujev we
need you to find and write down exact positions of three anti-aircraft systems.
<br><br>
The mission will commence immediately after you disembark the ship <a href=""marker:start"">on the coast at Dc77</a>."
STR_CAMPAIGN_1985_27RECON_CAIN_OVERVIEW_001,Overview
STRM_27n01,派遣小艇
STRM_27n10,集合点
STRM_27n13,发现Shilka
STRM_27n20,"Kolgujev, 海边"
STRM_27r02,"Papa Bear, 这里是A组一号，我们已经到达了集合地点。 可以来接我们吗? 完毕。"
STRM_27r03,"收到, A组一号。 原地待命。 S组三号现在去接你们回来。 Papa Bear完毕。"
STRM_27r04,"A组, 这里是S组三号。 在你们附近发现不明物体。 看起来似乎是坦克。"
STRM_27r05,"Papa Bear, 这里是A组一号。你们可以在地图 Eb73位置标定。"
STRM_27r06,A组一号联络Papa Bear。 Ea75有一个又大又胖的Shilka。
STRM_27r07,"Papa Bear, 这里是A组一号。 我们看到Dg73地区有一个Shilka。"
STRM_27r09,A组一号联络Papa Bear。 Dd71地区有一个又大又胖的Shilka。
STRM_27v08,糟了。 我们离海滩太远了。 我们得调头回去。
