LANGUAGE,English
STR_CAMPAIGN_1985_03BALERT_EDEN_BRIEFING_INTRO,There's not much to do here in Morton. I guess I'll just hang around and chew the fat with the guys.
STR_CAMPAIGN_1985_03BALERT_EDEN_BRIEFING_NAME,Alert
STR_CAMPAIGN_1985_03BALERT_EDEN_BRIEFING_OBJ_1,Board the M113.
STR_CAMPAIGN_1985_03BALERT_EDEN_BRIEFING_OBJ_2,"Neutralize the enemy force near <a href=""marker:obj"">this road.</a>"
STR_CAMPAIGN_1985_03BALERT_EDEN_BRIEFING_OBJ_3,"Liaise with the reinforcements and head for <a href=""marker:lemoule"">Le Moule</a>.</a>"
STR_CAMPAIGN_1985_03BALERT_EDEN_BRIEFING_PLAN,"After a hard day's work hammering in tent pegs, you're free to enjoy an evening's R&amp;R in <A HREF=""marker:start"">Morton</A>. Meanwhile, the Lieutenant is returning to <A HREF=""marker:lemoule"">Le Moule</A> to inspect your handiwork."
STR_CAMPAIGN_1985_03BALERT_EDEN_OVERVIEW_001,Overview
STRCAMP_03br01,"有人听到吗?我们在 DC64地区遭遇猛烈炮火攻击.。需要火速支援， 请回答。 重复, 我们被猛烈炮火攻击, 位置- 啊..."
STRCAMP_03br02,"太可怕了, 咱们出发! 所有人到中心广场报到。"
STRCAMP_03br03,"PAPA BEAR, 给我们一辆装甲车。 中尉在DC64位置需要支援。"
STRCAMP_03br04,"那个看上去像是中尉的吉普车。 天哪, 太悲惨了。"
STRCAMP_03br05,"快行动! GO, GO, GO! 保持紧密队形, 不要离开路边。"
STRCAMP_03br06,"PAPA BEAR, 这里是ALPHA连队， 我们需要支援DC64地区， 并且我们需要交通工具。 收到了吗? 完毕。"
STRCAMP_03br07,"收到, ALPHA. 有一辆车出发去接你们回Le Moule。 大约2分钟到达。 再坚持一会。完毕。"
STRCAMP_03br08,"晚上好, 小伙子们，看起来你们给了我们一些帮助。"
STRCAMP_03br09,欢迎来参战啊。 快到这里来帮把手。
STRCAMP_03bv01,今天晚上你们可以翘起脚来好好休息一下了，这是你们应得的。我要回到Le Moule。 你来负责这里。
STRCAMP_03bv02,唔. 我有预感我们今天晚上休息不了多久。
STRCAMP_03bv03,哦?真的？ 你要是问我我会告诉你战斗结束了。所有制造麻烦的人都知道这一点而且都逃走了。
STRCAMP_03bv04,你想打赌吗？
STRCAMP_03bv05,当然，我跟你赌，还有谁想打赌？
STRCAMP_03bv06,"哦, 我不知道。今天晚上咱们要是跟敌人枪战,你把你的电子表给我。要是没发生，我请你吃我的那份午餐。"
STRCAMP_03bv07,"哦, OK. 但是你不能不承认, 外面实在太安静了。"
STRCAMP_03bv08,给我吧，你的电子表是我的了。
STRCAMP_03bv09,嘿，到现在为止我还没听到枪声呢。
STRCAMP_03bv10,中尉那边听起来正在被猛烈的炮火包围着呢。
STRCAMP_03bv11,"先知大人, 他可能是在附近跟咱们开玩笑呢，你根本不知道那究竟听起来象什么。可能那只是他设计的另一个练习呢。"
STRCAMP_03bv12,这不是一次练习，战士。长官有麻烦了，而且我们是唯一能及时赶去救他的部队。
STRCAMP_OBJENEMIES,Eliminate all hostiles
STRCAMP_OBJLEMOULE,Allied base
STRCAMP_OBJSTART,R&R
STRM_03bn01,Morton
