LANGUAGE,English,German,French,Italian
STRNG_350,指挥部,Kommandozentrale,Poste de commandement,Centrale di comando
STRNG_351,警报!我们看见了敌人的伞兵. Fox呼叫fox-den:敌人正在接近镇子. 请指示.Over.,"Alarm! Feindliche Fallschirmj鋑er sind am Alarmposten gesichtet worden. Fuchs an Fuchsh鰄le, feindliche Einheiten n鋒ern sich der Stadt. Erbitte weitere Befehle. Ende.",Alarme ! Les gars ! Des parachutistes ennemis ont 閠?aper鐄s au poste d'alarme. Renard ?Terrier des unit閟 ennemies se rapprochent de la ville Attendons ordre Fin.,Uomini allarme! Paracadutisti nemici sono stati avvistati alle postazioni di allarme. Le volpi nelle tane. Unit?nemiche si avvicinano alla citt? Attendo ordini. Passo e chiudo.
STRNG_352,小心! 他们正从北面打过来.,Achtung! Der Feind n鋒ert sich aus dem Norden..,Attention ! Ils nous attaquent par le nord.,Attenzione! Ci attaccano da nord.
STRNG_353,你好朋友. 这是你最亲爱的Dolittle先生.,"Hallo Freunde, hier meldet sich der lustige Pannemann.",All?! Les amis C'est le joyeux Pannemann qui vous parle.,Salve amici qui parla il divertente uomo del soccorso.
STRNG_354,Fox呼叫fox-den:我迫切需要增援!,Fuchs an Fuchsh鰄le. Ben鰐igen dringend Verst鋜kung. Wirklich dringend!,Renard ?Terrier Avons besoin d'urgence de renfort Urgent !,Le volpi nelle tane hanno urgentemente bisogni di rinforzi!
STRNG_355,"该死.他们打死了我们的指挥官!来吧,我们必须得报复他们!","Verdammt, die haben unseren Vorgesetzten erschossen! Los, zeigen wir denen, wo der Hammer h鋘gt.",Bon Dieu Ils ont descendus nos sup閞ieurs ! En avant. Qu'on leur montre de quel bois on se chauffe.,Accidenti! Hanno ucciso i nostri superiori! Avanti! Facciamogliela vedere noi.
STRNG_356,"\n\n\n好, 那么让我们在我们的新家休息几天\n 希望不会发生什么事.",\n\n\nEndlich mal ein paar ruhigeTage hier im HQ!,\n\n\nBon h?bien on va passer quelques petites journ閑s bien tranquilles\n ici au QG !,\n\n\nVediamo di trascorrere un paio di giorni tranquilli\nqui nel QG!
STRNG_357,"\n\n\n\n是长官,太好了.","\n\n\n\nJa Sir, das ist eine prima Idee, SIR!",\n\n\n\nOui COMMANDANT Ce serait bien COMMANDANT !,\n\n\n\nSi signore sarebbe ben Signore!
STRNG_358,"\n\n\n\n\n但是,把你们的眼睛睁大，耳朵都竖起来.你绝不知道会发生什么.",\n\n\n\n\nHalten Sie trotzdem Augen und Ohren offen! Wegtreten!,\n\n\n\n\nMais ouvrez bien quand m阭e vos yeux et vos oreilles ! Rompez !,\n\n\n\n\nMa tenga lo stesso gli occhi e le orecchie ben aperte! Rompa le righe!
STRNG_359,赤色黎明,Red Dawn - Die Rote Flut,Red Dawn - la mar閑 rouge,Red Dawn - L'ondata rossa
STRNG_360,"La Trinite,新的根据地","La Trinite, die neue Kommandozentrale der Rebellen",La Trinit?le nouveau poste de commandement des rebelles,La Trinite la nuova centrale di comando dei ribelli
STRNG_361,"报告长官,这是一个好日子.","Tag Sir, melden uns zur Stelle, Sir!",Bonjour Commandant ! Nous sommes venus aux ordres Commandant !,Giorno Signore! Ci presentiamo al posto Signore!
STRNG_362,"报告长官,这是一个好日子.","Tag Sir, melden uns zur Stelle, Sir",Bonjour Commandant ! Nous sommes venus aux ordres Commandant !,Giorno Signore! Ci presentiamo al posto Signore!
STRNG_363,一切都似乎平静了下来...,Alles scheint ruhig...,Tout semble tranquille...,Tutto sembra tranquillo...
STRNG_364,让我们希望它能保持这样.,"hoffen wir, das es so bleibt.",Esp閞ons que 鏰 va rester comme 鏰.,speriamo che rimanga cos?
STRNG_491,任务 15 指挥部,Mission 15 Die Kommandozentrale,Mission 15 Le poste de commandement,Missione 15 La centrale di comando
STRNG_492,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati.
