LANGUAGE,English
STR_CAMPAIGN_1985_X00GROUNDS_ABEL_BRIEFING_NAME,<Cutscene>
STR_CAMPAIGN_1985_X00GROUNDS_ABEL_OVERVIEW_001,Overview
STR_x00v01,嘿，克茨劳斯基，你这肉脑壳。我正听着哪。
STR_x00v04,嘿，你们这些家伙们，已经够了。被关在这块可怕的大石头块儿上\n就够糟糕的了，现在还得和你们俩一起呆着。
STR_x00v05,闭嘴，学乖点。
STR_x00v06,别吹了，孩子们。
STR_x00v07,真丢脸。捷克连一队女学生都打不过。
STR_x00v08,肉脑壳。
STR_x00v09,你臭死了，佛洛利。
STR_x00v10,我不明白，阿姆斯特朗。要是我们的观光下个礼拜还不结束，\n我可真要考虑游回家了。
STR_x00v11,这是什么，开茶会吗？
STR_x00v12,你们这些娘们十分钟前就该在操练场上了。现在把你们的屁股挪动起来，\n不然我就把它们缝进足球里从这儿踢到新泽西去！
STR_x00v13,是，老大。
STR_x00v15,
STR_x00v16,\n在波恩，G7高峰会议在三天的谈判后终于有了结果。代表们成功\n地商讨了非正式交易膨胀问题，但没有就全球反毒品计划达成共识。\n美国总统罗纳德·里根评述此次会谈为“前进的一大步”。在苏联……
STR_x00v17,\n……国内危机不断滋长，共产党常委书记米克哈依.戈尔巴乔夫正面临执政\n以来的第一次考验。政治局据说对戈尔巴乔夫先生的政经改革计划\n，即所谓的“全面重组”
STR_x00v18,据称克格勃局长尼克莱·斯特朗斯基动用了部分低级军官守卫\n他在克里米亚半岛上的乡间别墅，但克里姆林宫官方对此矢口否认。\n现在是体育新闻，在世界冰球锦标赛中，捷克斯洛伐克以5比3于主场布拉格\n击败了加拿大……
