LANGUAGE,English,German,French,Italian
STRNG_443,派对时间,Partytime,Heure de la partie,Partytime
STRNG_444,油料补给,Treibstoffdepot,D閜魌 de carburant,Deposito di carburante
STRNG_508,X MEDIA GMBH\n的礼物,X MEDIA GMBH\nPRESENTS,X MEDIA GMBH\nPRESENTE,X MEDIA GMBH\nRegali
STRNG_509,生 死 一 线,B E T W E E N    T H E    L I N E S,B E T W E E N   T H E   L I N E S,B E T W E E N   T H E   L I N E S
STRNG_510,前言\n汉化&漏洞修正人员\n百度ID：鲁迅_我的呐喊（繁体）,Mitwirkende,Collaborateurs,Collaboratore
STRNG_511,组织 - 管理 - 计划\n任务设计 - 协调 - 谋划\n\n\nFelix 'Winner' Hertz,Organisation - Leitung - Planung\nMission-Design - Koordination - Motivation\n\n\nFelix 'Winner' Hertz,Organisation - Direction - Planification\nDesign mission - Coordination - Motivation\n\n\nFelix 'Winner' Hertz,Organizzazione/Direzione/Pianificazione\nMissione-Design- coordinazione -motivazione
STRNG_512,介绍 - 技术支持 - 音效\nMirko 'XSized' Weisse\n\nwww.mp3.com/XSized - www.besonic.com/XSized - www.uptrax.de/home/XSized\配音-CD 可在 MP3.com 和 Besonic.com找到,Intros - Technik - zus鋞zliche Musik\nMirko 'XSized' Wei遝\n\nwww.mp3.com/XSized - www.besonic.com/XSized - www.uptrax.de/home/XSized\nSoundtrack-CD erh鋖tlich bei MP3.com und Besonic.com,Intros - Technique - Musique suppl閙entaire\nMirko 'XSized' Wei遝\n\nwww.mp3.com/XSized - www.besonic.com/XSized - www.uptrax.de/home/XSized\nCD Soundtrack disponible aupr鑣 de MP3.com et Besonic.com,Intros - Tecnica - ulteriore musica\nMirko 'XSized' bianco\n\nwww.mp3.com/XSized - www.besonic.com/XSized - www.uptrax.de/home/XSized\nSoundtrack-CD in vendita presso MP3.com e Besonic.com
STRNG_513,首席-测试-人员\n任务设计\n\n\nMathias 'Sairend' Jekal,Leiter-Betatest\nMission-Design\n\n\nMathias 'Sairend' Jekal,Directeur test b阾a\nDesign mission\n\n\nMathias 'Sairend' Jekal,Direttore test Beta\nMissione-Design\n\n\nMathias 'Sairend' Jekal
STRNG_514,测试\n助理\n\n\nAxel 'Killer' Rosenberg,Assistent\nBetatest\n\n\nAxel 'Killer' Rosenberg,Assistent\ntest b阾a\n\n\nAxel 'Killer' Rosenberg,Assistente\nTest Beta\n\n\nAxel 'Killer' Rosenberg
STRNG_515,任务设计\n助理\n\n\nMarco 'Piraniah' Koehler,Assistent\nMission-Design\n\n\nMarco 'Piraniah' K鰄ler,Assistent\nDesign mission\n\n\nMarco 'Piraniah' K鰄ler,Assistente\nMissione-Design\n\n\nMarco 'Piraniah' K鰄ler
STRNG_516,任务设计\n助理\n\n\nAndreas 'Widumaker' Bauer,Assistent\nMission-Design\n\n\nAndreas 'Widumaker' Bauer,Assistent\nDesign mission\n\n\nAndreas 'Widumaker' Bauer,Assistente\nMissione-Design\n\n\nAndreas 'Widumaker' Bauer
STRNG_517,任务设计\n助理\n\n\nKarras,Assistent\nMission-Design\n\n\nKarras,Assistent\nDesign mission\n\n\nKarras,Assistente\nMissione-Design\n\n\nKarras
STRNG_518,任务设计 - 故事情节\n'莫顿之战'\n\n\nPascal 'Bloodeater' Klein,Mission-Design - Storry\n'Morton Kampagne'\n\n\nPascal 'Bloodeater' Klein,Design mission - Histoire\n'Campagne Morton'\n\n\nPascal 'Bloodeater' Klein,Missione-Design - Storry\n'Campagna Morton '\n\n\nPascal 'Bloodeater' Klein
STRNG_519,任务设计 - 故事情节\n'特别行动'\n\n\nAndreas 'Fragman' Bauer,Mission-Design - Storry\n'Sondereinsatz'\n\n\nAndreas 'Fragman' Bauer,Design mission - Histoire\n'Mission sp閏iale'\n\n\nAndreas 'Fragman' Bauer,Missione-Design - Storry\n'Impegno speciale\n\n\nAndreas 'Fragman' Bauer
STRNG_520,"多亏了所有给我们\n建议的人,尤其是\n\n\nJames 'Gunslinger' Wohlever / Markus 'Shadow' Miller / Bleifish / Timon 'Tiiman' Raemy / MAP",Dank an die vielen Leute\ndie uns mit Rat und Tat zur Seite gestanden haben hier besonders\n\n\n James 'Gunslinger' Wohlever / Markus 'Shadow' Miller / Bleifish / Timon 'Tiiman' Raemy / MAP,Merci aux nombreuses personnes\nqui nous ont g閚閞eusement assist閑s par leurs conseils et leur aide\n\n\nJames 'Gunslinger' Wohlever /  Markus 'Shadow' Miller / Bleifish / Timon 'Tiiman' Raemy / MAP,Grazie alle tante persone\nche ci sono state vicine con consigli e aiuto qui in particolare\\n\nJames 'Gunslinger' Wohlever / Markus 'Shadow' Miller / Bleifish / Timon 'Tiiman' Raemy / MAP
STRNG_521,特别感谢\n\n\n\nwww.Operation-Flashpoint.de,Besonderen Dank an\n\n\n\nwww.Operation-Flashpoint.de,Tous nos remerciements\n\n\n\nwww.Operation-Flashpoint.de,Un particolare ringraziamento a\n\n\n\nwww.Operation-Flashpoint.de
STRNG_522,封面美术 - 手册 - 安装\n最后修正\n\nJ鰎n 'Cholyriker' W鰎dehoff,Coverart - Manual - Installer\nfinal fixing\n\nJ鰎n 'Cholyriker' W鰎dehoff,Coverart - Manual - Installer\nfinal fixing\n\nJ鰎n 'Cholyriker' W鰎dehoff,Coverart - Manual - Installer\nfinal fixing\n\nJ鰎n 'Cholyriker' W鰎dehoff
STRNG_4000,港口,Hafen,Port,Porto
STRNG_4001,战俘营,Gefangenenlager,Camp de prisonniers,Campo di prigionia
