LANGUAGE,English,German,French,Italian
STRNG_396,中情局代表 第二部分,CIA Teil 2,CIA partie 2,CIA parte 2
STRNG_397,"这里是基地.干得好,同志们. 尽管敌人有优势,但你们拿下了Chapoi ! 好极了!基地OVER并且OUT","Hier spricht HQ. Gute Arbeit M鋘ner! Chapoi geh鰎t nun uns, die Gegner hatten sich zu sicher gef黨lt! Ausgezeichnet !! HQ ENDE",Ici QG. Du bon travail les gars. Vous avez r閡ssi ?conqu閞ir Chapoi et 鏰 alors que l'ennemi 閠ait en surnombre !! Excellent travail !! QG FIN,Qui parla il QG. Ce l'avete fatta a conquistare Chapoi e questo nonostante la superiorit?del nemico!! Molto bene!! QG FINE
STRNG_398,该死.他们拉响了警报!这一点都不有趣!,"Verdammt, irgendwer hat den Alarm ausgel鰏t. Bereitet Euch auf einen harten Einsatz vor!",Bon Dieu. L'alarme est donn閑 maintenant 鏰 va se compliquer pour nous !!,Accidenti si ?inserito l'allarme. Adesso diventa difficile per noi!!
STRNG_399,这里是基地.我们在十五分钟前给你们增援了一批坦克.\n他们现在应该到了.,Hier spricht das HQ. Vor ca. 15 Minuten haben wir Panzer zur Unterst黷zung geschickt.\nSie sollten in K黵ze im Einsatzgebiet eintreffen. HQ Ende.,Ici le QG nous avons envoy?voil??peu pr鑣 15 minutes des chars d'assaut en renfort.\nIls devraient bient魌 阾re chez vous.,Qui parla il QG. Abbiamo invitato dei panzer ca. 15 minuti fa per aiuto?\nDovrebbero arrivare da voi tra poco.
STRNG_400,"出发,现在开始进攻!!!","Der Einsatz beginnt, la遲 uns sie 黚errollen!",Allez maintenant on y va on va les 閏raser !!!,Adesso inizia La travolgeremo!!!
STRNG_401,起义被平息了 - 任务失败,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita
STRNG_402,"干得好,现在事情应当简单了...",Gute Arbeit! Das sollte den Rest des Einsatzes erleichtern.,Bon travail maintenant 鏰 va devenir plus facile...,Ha fatto un buon lavoro adesso diventa tutto pi?facile...
STRNG_403,他们死了!我不再希望其它的了!,Sie sind tot! War es anders zu erwarten?,Ils sont morts ! Je n'avais pas esp閞?autre chose !,Lei ?morto! Non mi aspettavo nient'altro !
STRNG_404,上右边的UH60!,Steigen sie in den rechten UH60 ein!,Montez ?bord de la UH60 de droite !,Salga nel UH60 destro!
STRNG_405,你的任务是跟随前往Chapoi并救出被关押在那的中情局代表!,"Ihre Aufgabe ist es, dem Trupp nach Chapoi zu folgen und dort die Zielperson zu befreien!",Votre t鈉he consiste ?suivre la troupe jusqu'?Chapoi et l?bas ?y d閘ivrer l'agent !,Il suo compito ?di seguire la truppa a Chapoi e di liberare l?l'agente della CIA!
STRNG_406,最终!Chapoi是我们的了!\n我们知道代表被关押的房子.\n现在我们只要把他安全带走就行了!,"Chapoi geh鰎t uns!\nWir haben jetzt die n鰐igen Informationen und wissen, wo der Agent festgehalten wird.\nWir sollten ihn schnellstm鰃lich in Sicherheit bringen!",Enfin nous avons Chapoi !\nNous savons maintenant dans quelle maison on retient l'agent.\nMaintenant il ne reste plus qu'?mettre l'agent de la CIA en s閏urit?!,Finalmente Chapoi ci appartiene\nAdesso abbiamo tutte le informazioni riguardo alla casa in cui viene tenuto prigioniero l'agente.\nAdesso dobbiamo portare al sicuro solo l'agente della CIA!
STRNG_407,Chapoi的会战,Die Schlacht um Chapoi,La bataille de Chapoi,La lotta intorno a Chapoi
STRNG_408,你现在是一个打算占领重兵把守的Chapoi的队伍中的一员.,"Sie sind Mitglied eines Einsatztrupps, der das stark bewachte Chapoi einnehmen soll.",Tu appartiens ?une troupe de combat qui tente de prendre Chapoi qui est bien surveill?,Sei membro di un gruppo di guerriglieri che tenta di prendere la citt?ben sorvegliata di Chapoi.
STRNG_409,\n\n\n在Chapoi你会发现被转移的中情局代表\n关押在那里...,\n\n\nHier in Chapoi wird der Agent nach der Verlegung\nvom Gegner gefangengehalten...,\n\n\nIci ?Chapoi l'agent est retenu prisonnier par l'ennemi\ndepuis son transfert...,\n\n\nQui a Chapoi l'agente viene tenuto prigioniero\nin seguito allo spostamento del nemico...
STRNG_410,\n\n\n新部队不断涌入城市.,"\n\n\nSt鋘dig treffen neue Einheiten im Ort ein, hier ist etwas Gro遝s in Vorbereitung.",\n\n\nDe nouvelles unit閟 arrivent sans cesse sur le site.,\n\n\ncontinuano ad arrivare nuove unit?nel paese.
STRNG_411,\n\n\n所有到镇上的道路都有敌人的封锁...,\n\n\nAlle Zufahrten zum Ort sind gut bewacht...,\n\n\nToutes les entr閑s du village sont bien gard閑s...,\n\n\ntutte le entrate al paese sono ben sorvegliate...
STRNG_412,\n\n\n我们没有料到会有如此重兵把守.,\n\n\nmit einem so 黚erm鋍htigen Gegner hat keiner gerechnet...,\n\n\Nous n'avions pas compt?sur une telle pr閟ence...,\n\n\nnon abbiamo tenuto conto di una presenza cos?forte...
STRNG_413,\n\n\n把中情局代表从这带走一点都不简单!...,"\n\n\nes wird kein Spaziergang werden, die Zielperson zu befreien...",\n\n\n莂 ne va pas 阾re coton de faire sortir l'agent d'ici !...,\n\n\nes non sar?facile tirare fuori di qui gli agenti!...
STRNG_414,营救中情局代表 第一部分,CIA Agenten befreien Teil 1,Lib閞er l'agent de la CIA partie 1,Liberare gli agenti della CIA parte 1
STRNG_415,"干得好.你们拿下了Chapoi但与此同时,代表被转移到了其它地方.","Gute Arbeit! Sie haben Chapoi erobert, leider ist die Zielperson inzwischen verlegt worden.",Bon travail. Vous avez conquis Chapoi mais malheureusement l'agent a 閠?transf閞?ailleurs dans l'entre-temps.,Ha svolto un buon lavoro. Chapoi ?stata conquistata l'agente per?purtroppo ?stato nel frattempo eliminato.
STRNG_498,中情局代表 第二部分,Agent Teil 2,Agent CIA partie 2,CIA Agente parte 2
STRNG_499,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati
STRNG_500,我们建议你 - 再试一次....,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che riprovi...
STRNG_4000,抵抗组织营地,Widerstandslager,Camp de r閟istance,Campo dei ribelli
STRNG_4001,目标,Ziel,Cible,Arrivo
