LANGUAGE,English,Comment,

STRM_int1,"目标低空飞行，属集群目标。"
STRM_int2,"目标已识别：A10机群，归属：北约",
STRM_int3,"空袭！！！！！全体隐蔽！",
STRM_int4,"得把直升机升空！",
STRM_int5,"塔拉卡诺夫，站住！去哪！？快隐蔽！！",
STRM_int6,"塔拉坎，把直升机开离跑道，其他人回去！你们来不及了！",
STRM_int7r,"塔拉坎，你着火了！快离开这儿！",

STRM_intro1,"怎么样，同志们？都到齐了？\n我们开始吧。"
STRM_intro2,"今天5.50，美军在莫顿地区实施空降，\n并攻击了驻扎在那里的部队",
STRM_intro3,"5.55，机场遭到大规模轰炸，\n我们损失了四分之三的直升机",
STRM_intro4,"可我们一共才4架啊……",
STRM_intro5,"是的。只剩一架了。\n烧损不重，但仍可战斗。",
STRM_intro6,"6.00我已向莫斯科报告了袭击事件，但克里姆林宫\n至今仍未决定如何回应这次挑衅。",
STRM_intro7,"6.10，第二支空降部队企图在拉门廷地区登陆，\n但由于我们行动及时，已被消灭。",
STRM_intro8,"一连一排因昨天的政变实力受损，\n伤亡惨重，已撤往蒙蒂尼亚克。",
STRM_intro9,"敌人把我军逐出莫顿后，\n开始沿三个方向发起进攻：",
STRM_intro10,"普罗文斯、列维耶和拉莫尔",
STRM_intro11,"二连四排在12.00遭到坦克攻击，\n被迫向南撤退。",
STRM_intro12,"四连二排一直顶到14.00，\n但面临两个方向夹击，接到命令\n撤往蒙蒂尼亚克。",
STRM_intro13,"我们在17.00放弃了拉莫尔，因为坦克一排在\n消灭第二支空降部队时损失惨重。",
STRM_intro14,"目前敌人已停止进攻，\n但局势对我方非常不利。",
STRM_intro15,"北线方面，驻拉门廷地区的部队\n陷入困境。",
STRM_intro16,"考虑到美军掌握制空权……\n对了，说到制空权。",
STRM_intro17,"瓦列拉！拿箭式导弹把这破玩意儿打下来，真是受够了！\n在头顶嗡嗡直响，吵得没法集中。",
STRM_intro18,"真是无法无天了！在这儿到处乱飞……\n我刚说到哪了？",
STRM_intro19,"啊对，北线。拉门廷今晚\n必须放弃，否则可能被包围。",
STRM_intro20,"南线的情况糟糕得多。",
STRM_intro21,"二连陷入了死地。",
STRM_intro22,"他们已无力从正面突破列维耶。\n美军在谷口紧急构筑了工事。",
STRM_intro23,"步兵可以翻山撤走，但装备恐怕\n已经过不去了。",
STRM_intro24,"科列斯尼科夫及时识破了美军的企图，\n把坦克翻过山脊调往蕾吉娜地区",
STRM_intro25,"明天，他出其不意地\n从西面猛攻列维耶，就能为这个口袋解围",
STRM_intro26,"如果不行，与后方隔绝的二连就完了。\n他们会直接被从空中消灭。",
STRM_intro27,"这次行动要成功，必须在空中取得均势。\n科列斯尼科夫对付不了直升机。",
STRM_intro28,"我们测出了美军直升机的起降场。\n从飞抵时间看，就是西边那个小岛",
STRM_intro29,"西边100公里处，一架美军预警机正在盘旋。\n它不会让大陆的攻击机悄悄接近小岛。",
STRM_intro30,"这个问题得由你解决，中尉同志，\n就在今晚，用你那架残破的直升机。",
STRM_intro31,"它几乎没油了，弹药也是勉强凑齐，\n但如你所见，没有别的办法。",
STRM_intro32,"是，将军同志。保证完成。",
STRM_intro33,"这儿没见着俄国人",
STRM_intro34,"该死！",
