LANGUAGE,English
STR_CAMPAIGN_1985_11INTERDICTION_ABEL_BRIEFING_INTEL_BODY,"<br>
1. <B>Tanks</B>. The tanks are the main targets of this mission. Wait for the T80s! There are some other tanks in the camp, but Two and Three should be able to handle them.<br>
2. <B>RPG Soldiers</B>. Eliminate any RPG soldiers you meet. In large numbers they are very dangerous to our lighter tanks.<br>
3. <B>Guards</B>. The area will be heavy guarded, so be careful. If you are spotted you can await reinforcements.
<br><br>
<a href=""#Main"">Back to notes</a>"
STR_CAMPAIGN_1985_11INTERDICTION_ABEL_BRIEFING_INTEL_HEADING,Instructions
STR_CAMPAIGN_1985_11INTERDICTION_ABEL_BRIEFING_INTRO,"<B>June 7, 1985</B>  - &quot;Commander Gastovski,&quot; they say. &quot;We're in
trouble.&quot;
<br><br>
&quot;Of course you are,&quot; I tell them. &quot;If you weren't, I wouldn't <i>be </i>
here.&quot;
<br><br>
Trouble and me - we go way back.
<br><br>
And this time it's the Russians, on some godforsaken little island. Sounds
crazy, I know - but, hey, that's trouble for you. Always popping up where you
least expect it.
<br><br>
Anyway, I've got a job to do here; clearing this pass for our tanks. They
tried to get through yesterday, but Ivan beat 'em off, and we sustained heavy
losses. So now it's up to me to get in there and clear the way.&nbsp;
<br><br>
The Major's given me some written <a href=""#Intel"">instructions</a>, but the
job seems pretty straightforward. In and out, causing as much mayhem as I can -
just the way I like it."
STR_CAMPAIGN_1985_11INTERDICTION_ABEL_BRIEFING_NAME,Interdiction
STR_CAMPAIGN_1985_11INTERDICTION_ABEL_BRIEFING_OBJ_1,"(Optional secondary objective.) There's a deployment of Soviet rocket troops <a href=""marker:Zak"">somewhere</a> in 
the mountains. Neutralize it."
STR_CAMPAIGN_1985_11INTERDICTION_ABEL_BRIEFING_OBJ_2,"Locate and disable the patrolling Soviet <a href=""marker:Tank"">tanks</a>."
STR_CAMPAIGN_1985_11INTERDICTION_ABEL_BRIEFING_OBJ_3,"Two and Three will deploy charges around <a href=""marker:Camp"">the main enemy encampment</a> at the crossroads. 
Send code Alpha to give the signal to detonate the charges."
STR_CAMPAIGN_1985_11INTERDICTION_ABEL_BRIEFING_OBJ_4,"Retreat to <a href=""marker:D1_3"">the rendezvous point</a> to the north."
STR_CAMPAIGN_1985_11INTERDICTION_ABEL_BRIEFING_PLAN,"Commander Gastovski, your task is to eliminate the Soviet presence in the
border zone here on Malden - the valley near Lolisse. The Russian tanks need taking out,
and we think that only a special-operations expert such as yourself can handle
the job.
<br><br>
You are Alpha One, and you'll start on the bedrock at <a href=""marker:Start"">Ff60</a>. Two will approach from the sea 
at <a href=""marker:Br"">F161</a>, and Three will begin behind the enemy position at <a href=""marker:Ch"">Fi64</a>.
<br><br>
Watch yourself out there - there'll be some steep gradients, and a fall could
be fatal."
STR_CAMPAIGN_1985_11INTERDICTION_ABEL_OVERVIEW_001,Overview
STR_HINT_1,0-0 - Radio menu\n1 - send code Alpha
STR_OFF,Alpha - Detonate
STR_WAY_1,消灭所有坦克
STR_WAY_2,会合地点
STRM_11n11,二号
STRM_11n12,三号
STRM_11n13,消灭所有坦克
STRM_11n14,撤离战区
STRM_11n15,Lolisse城郊岩地
STRM_11n16,"军事基地, La Trinite"
STRM_11r01,二号呼叫一号，爆破准备完毕，可以起爆。
STRM_11r01b,原地待命，二号。三号还没准备好，我可不想打草惊蛇。 
STRM_11r02,三号呼叫一号，安放完毕，随时准备起爆。
STRM_11r02b,好样的，三号，等我号令。
STRM_11r03,一号命令所有单位：起爆！把那些俄国佬炸成熏肉吧，哈哈！
STRM_11r04,二号呼叫一号成功引爆，我正在撤退。
STRM_11r05,有一群家伙被我搞上了天，难道我不是很棒么？
STRM_11v01,真是见鬼，我究竟在干什么？我回到了战区！
STRM_11v02,各位，很高兴见到你们，大家都知道，我军面临着新的挑战。                 
STRM_11v03,嗯，在我看来，失去对Malden的控制，对我军极为不利。 
STRM_11v04,确实如此，如果我们不去摧毁苏军在Lolisse镇附近的据点的话，敌人完全有可能以Lolisse为基地发起大规模进攻，甚至进一步迫使我们从岛上撤离。 
STRM_11v05,等等，让我想想--我军目前出动坦克部队是不明智的，因为敌人公路沿线的防守太严密了。
STRM_11v06,对，事实就是这样。 
STRM_11v07,所以你想用特别作战小组在敌防线上撕开一条缝？
STRM_11v08,是的，这正是我们的计划。
STRM_11v09,难道只……三个人？凭三个步兵对付敌人整个反坦克防线？
STRM_11v10,确切得说，是三位步兵精英。
STRM_11v11,你不是指我们三人吧？ 
STRM_11v12,我信不过其他任何人。
STRM_11v13,对我来说这真是太棒了。
