LANGUAGE,English
STR_CAMPAIGN_1985_X04RESISTANCECAMP_EDEN_BRIEFING_NAME,<Cutscene>
STR_CAMPAIGN_1985_X04RESISTANCECAMP_EDEN_OVERVIEW_001,Overview
STR_x04v01,他们不久就会来找你，是不是？
STR_x04v02,大概是今天晚上什么时候吧。我希望他们能到。
STR_x04v03,你会告诉他们你所见所闻吗？我们自己无法对抗这么个敌人！
STR_x04v04,我尽力而为，斯拉瓦……我的朋友。
STR_x04v05,美国人，你的船到了。但指挥官想在你离开之前和你谈两句。
STR_x04v06,我们一点机会都没有，你知道。要是北约战败了，\n我们就只能求苏联人的怜悯。
STR_x04v07,我希望……
STR_x04v08,希望对我们没用处，下士。不久，他们就会找到我们。\n然后他们会杀了我们。
STR_x04v09,我很抱歉。
STR_x04v10,我们所能做的只有拖住他们。
STR_x04v11,我向你保证，我们会回来的——我们会把那些该死的俄国佬\n都赶到海里去。
STR_x04v12,那么，最后一个美国人离开了我们……\n我祈祷能再次见到你，我的朋友。我祈祷早日得到解救。
