LANGUAGE,English
STR_CAMPAIGN_1985_00TRAINING_ABEL_BRIEFING_NAME,Training
STR_CAMPAIGN_1985_00TRAINING_ABEL_OVERVIEW_001,Overview
STR_HINT_0,用鼠标来转动察看四周。注意:提示将在你按下继续之 后继续出现在屏幕的左上 角，你可以随时按下H键看最后一条提示
STR_HINT_1,"用键盘来移动.默认控制热键: W = 前进S = 后退A, D = 侧移 left/rightE or Shift+W = 跑用鼠标转身."
STR_HINT_10,你受伤了。 找到队伍中的医疗兵 （在山头上）用动作菜单里面的选项 来紧急治疗一下。
STR_HINT_11,再次上车。使用动作菜单，选择好要做的动作后用Enter键 确认。
STR_HINT_12,默认热键：R=将子弹重新上膛，你也可以用动作菜单来执行这个动作。
STR_HINT_13,通过
STR_HINT_14,再来一次！
STR_HINT_2,默认情况下，小键盘上的Enter 键可以在第一人称视角和第 三人称视角之间切换。
STR_HINT_3a,大键盘上的Enter，或者鼠标上的滚轮，默认情况下是调出 行动菜单的。再点一次你可以 把你的枪背在背后。
STR_HINT_3b,按Z可以再把你的枪拿在手上你必须要用这样的战斗姿势来全速奔跑。你也可以使用动作菜单（默认情况下是大键盘的Enter）里 面的选项来切换。
STR_HINT_4,当你接近对象的时候，动作菜单会自动弹出 默认情况下 用鼠标滚轮=选择动作用Enter=执行动作
STR_HINT_6,通过默认热键: Z  = 卧倒 / 起立.
STR_HINT_6b,你可以切换为第三人称视角来获得更好的视野。（默认热键：小键盘上的Enter）
STR_HINT_7,接近箱子后用动作菜单（默认热键：Enter键或者鼠标 滚轮）来拿起子弹夹。别忘了拿了 子弹后要上膛（R)。
STR_HINT_8,默认热键：用鼠标瞄准。左键= 开火 右键= 放大，Space 键=切换武器，R=重新装弹
STR_HINT_9,用枪榴弹射击装甲目标。默认热键，Space=选择武器，鼠标=选择设计角度，左键=发射枪榴弹，你可以从箱子里多拿些枪榴弹。
STRM_00n19,几分钟以后
STRM_00n20,你的训练结束了
STRM_00n21,几分钟以后
STRM_00n22,前进吧，战士！
STRM_00n40,训练失败，你没有很好的服从命令。
STRM_00n50,跑到卡车处
STRM_00n51,跑回来！
STRM_00n52,穿过中间的小路
STRM_00n53,第三靶道
STRM_00n54,捡取子弹
STRM_00r21,击中第三靶道一号靶。
STRM_00r22,击中第三靶道二号靶。
STRM_00r23,击中第三靶道三号靶。
STRM_00r24,击中第一靶道一号靶。
STRM_00r25,击中第一靶道二号靶。
STRM_00r26,击中第一靶道三号靶。
STRM_00r27,击中第一个装甲目标！
STRM_00r28,击中第二个装甲目标！
STRM_00r29,好的，阿姆斯特朗，跑回来，快！快！
STRM_00r36,该死的阿姆斯特朗，你觉得你在干嘛？现在给我回来！快！
STRM_00r50,Go!Go!Go!你以为你是谁啊？一个老太太？
STRM_00r51,嘿！你觉得你干吗呢？服从我的命令，低能！
STRM_00v01,阿姆斯特朗，你看见左边的卡车了吗？
STRM_00v02,跑到那里再跑回来，快！
STRM_00v03,好的，阿姆斯特朗，现在跑回来，快！快！
STRM_00v05,干得好，现在把枪背在后背上回到队列里！
STRM_00v06a,战士们，现在是看看你们是拿什么材料制成的时候了！
STRM_00v06b,让我们到训练场去。
STRM_00v07,大门边有一辆卡车在等你们，快去！
STRM_00v08,继续，战士们，上车！
STRM_00v09,咱们到了，下车！
STRM_00v10a,现在是证明你自己的时候了。
STRM_00v10b,阿姆斯特朗，你看起来觉得自己很不错，那你可以第一个去。
STRM_00v10c,沿着前面的小路，穿过两道障碍在跑回来，去吧，战士！
STRM_00v11,加油阿，戴维！
STRM_00v12,很好，阿姆斯特朗，干的不坏。现在你可以休息了，其它人，Go!Go!Go!
STRM_00v13,相当不错，好，现在回到卡车上。现在是该打靶的时候了。
STRM_00v14a,一个好的士兵应该能快速、准确、有效的使用他的武器。
STRM_00v14b,阿姆斯特朗，彼得逊，你们先上，跑到军火箱去拿你们的子弹。
STRM_00v15,好的，阿姆斯特朗，你在第三靶道，彼得逊在第一靶道，准备射击！开始射击！
STRM_00v16,好，阿姆斯特朗，干得不坏。
STRM_00v17,干的好，阿姆斯特朗，现在你可以休息了。
STRM_00v18,列兵阿姆斯特朗，注意！去山头上的医疗兵那里治疗。
STRM_00v29,我们听说在Everon地区有一些不明武装力量活动？长官？
STRM_00v30,我们必须为任何可能发生的事情做好准备。
STRM_00v31,甚至包括战争？长官？
STRM_00v32,甚至包括战争，战士们。
STRM_00v33a,Fowley，把肩膀挺好！站直点，Kozlowski！看起来好些了。
STRM_00v33b,如果我是苏联人，看到你们象一串学校女生似的，我会嘲笑整个美国的。
STRM_00v33c,你们这些孩子下星期就要坐飞机回去了，但是如果我就这么放你们回去，山姆大叔会觉得我们是来这里度假、野营来了。
STRM_00v33d,所以，在你们上飞机离开这里以前，我要把你们磨炼成型！
STRM_00v33e,阿姆斯特朗！
STRM_00v33f,如果有人需要磨炼成型，阿姆斯特朗，那就是你。我在这里只看到大腹便便的相扑手比你的肚子大！
STRM_00v34a,你看见那里的卡车了吗？战士？你能看见吗？
STRM_00v34b,全速奔跑到那里！现在挪动你的屁股吧！
