LANGUAGE,English
STR_CAMPAIGN_1985_04MONTIGNACMUSTFALL_EDEN_BRIEFING_INTRO,"<B>May 14, 1985</B> – Things have slowed down here on Everon during last couple of days. We built a camp in Le Moule, and more troops arrived to build another camp further to the North. Since this base camp was built, we've just been waiting around for two days. Playing poker, relaxing and trying to forget we're in some kind of war.
<br>
But we're definitely in for some action this morning. Seems like there’s another village which needs clearing – Montignac. There’s a truck coming in a minute to take us there.
<br><br>
What’s really getting to me right now, is that I could be dead in few hours, but no-one back home has any idea what’s going on here. As far as they know, we're still in the training camp. Still sitting around, still firing at wooden targets on the range.
<br><br>
Not facing Russian tanks…
<br><br>
Goddamnit. Where’s that truck?"
STR_CAMPAIGN_1985_04MONTIGNACMUSTFALL_EDEN_BRIEFING_NAME,Montignac Must Fall
STR_CAMPAIGN_1985_04MONTIGNACMUSTFALL_EDEN_BRIEFING_OBJ_1,"Seize <A HREF=""marker:Montignac"">Montignac</A>. You’ll be up against infantry with some armor support. <A HREF=""marker:Team1"">Alpha Squad</A>, our team, will move in from the West. <A HREF=""marker:Team2"">Bravo Squad</A> will come from the North, and <A HREF=""marker:Team3"">Charlie Squad</A> from the North West."
STR_CAMPAIGN_1985_04MONTIGNACMUSTFALL_EDEN_BRIEFING_OBJ_2,"After securing the village, Alpha and Bravo Squads should join together and wait for the truck. The truck will transport squads back to the main camp. Charlie Squad will stay on guard in the village."
STR_CAMPAIGN_1985_04MONTIGNACMUSTFALL_EDEN_BRIEFING_OBJ_3,"Go to <A HREF=""marker:morton"">Morton to evacuate from Everon</A>."
STR_CAMPAIGN_1985_04MONTIGNACMUSTFALL_EDEN_BRIEFING_OBJ_4,"Retreat <A HREF=""marker:morton_1"">to the base camp</A>."
STR_CAMPAIGN_1985_04MONTIGNACMUSTFALL_EDEN_BRIEFING_PLAN,"Our mission to force back the invaders on Everon continues. Your next objective is to seize the village of <A HREF=""marker:Montignac"">Montignac</A>, currently occupied by hostile forces.
<br><br>
The truck will unload our squad in the <A HREF=""marker:Start"">forest</A> NW from <A HREF=""marker:Montignac"">Montignac</A> at 5:40AM."
STR_CAMPAIGN_1985_04MONTIGNACMUSTFALL_EDEN_OVERVIEW_001,Overview
STRCAMP_04r1,BLACK 呼叫Papa Bear。DF25区遭到来自海上的猛烈攻击。 我们要顶不住了，请立即增援。完毕。
STRCAMP_04r10,Papa Bear，这是A组。我们在PROVINS遭遇俄国部队。完毕。
STRCAMP_04r11,A组，迅速消灭敌人，要没有时间了。完毕。
STRCAMP_04r12,Papa Bear，这是A组。卡车被敌人击毁。我们需要运输工具！完毕。
STRCAMP_04r13,Papa Bear呼叫A组，明白。已派出一架黑鹰去接你们。完毕。
STRCAMP_04r14,A组，直升机就要到了。继续坚持！完毕。
STRCAMP_04r15,Papa Bear，这里是A组。黑鹰被击落了。我们已经无路可走。
STRCAMP_04r16,A组，徒步前往Morton。现在总部无法支援你们。完毕。
STRCAMP_04r17,该死的！卡车被击伤了。
STRCAMP_04r18,B组和C组都被消灭了。我们要被敌人包围了。停止进攻，立刻撤退。
STRCAMP_04r2,Papa Bear呼叫BLACK。增援已派出，一定要守住。完毕。
STRCAMP_04r3,收到。我们会坚守的。完毕。
STRCAMP_04r4,小镇已被我们夺下。请派卡车来！完毕。
STRCAMP_04r5,"Papa Bear 呼叫BLACK, 立刻撤退！我们得到最新指示。所有美军人员必须撤离Everon！ 预备队已被调走，无法增援你们。完毕。"
STRCAMP_04r6,Papa Bear呼叫所有部队，代号FOXTROT！代号FOXTROT！ 最新命令：所有美国人员立即撤离EVERON！完毕。
STRCAMP_04r7,Papa Bear 呼叫所有部队，按照后续指示撤离EVERON。完毕。
STRCAMP_04r8,Papa Bear，这是A组。我们还在MONTIGNAC。应该怎么办？完毕。
STRCAMP_04r9,ALPHA，直接经过PROVINS前往MORTON。动作要快。完毕。
STRCAMP_04v1,好，该我们上了。攻下这个镇子之后，我们在镇子中央的十字路口与B组和C组小队汇合。
STRCAMP_04v2,我们还活着……但是，耶稣在上，还能活多久！
STRCAMP_04v3,感谢上帝，我们终于成功了……
STRCAMP_04v4,天啊……他们都死了。我必须在小镇中心和B组汇合。
STRCAMP_04v5,武装直升机！卧倒！是一架母鹿。立刻隐蔽！
STRCAMP_FAILED,你们小队必须撤退
STRM_04n01,在前往Everon中部小镇Montignac的途中
