LANGUAGE,English
STR_CAMPAIGN_1985_X01IANSOFFICE_ABEL_BRIEFING_NAME,<过场动画>
STR_CAMPAIGN_1985_X01IANSOFFICE_ABEL_OVERVIEW_001,任务概述
STR_x01v10,詹姆斯·盖斯塔夫斯基。
STR_x01v11,上帝啊，乔治，你把我的魂都吓没了。是的，我一直都很好。
STR_x01v12,萨拉也很好。我猜是这样的。说实话，我有几个月没见着她了。
STR_x01v13,活计？真可怕。可是瞧，这到底是怎么回事？
STR_x01v16,炮击？
STR_x01v17,你开玩笑吧。不，我什么也没听说。
STR_x01v18,哦，耶酥啊，乔治，那个镇子里有一万人哪。
STR_x01v19,他们不能就这么终止和我们的对话。
STR_x01v20,是的，我想我马上就到。
STR_x01v21,还有想想看，你这怪物保证说我在这儿会过上安生日子的。
STR_x02v01,很高兴见到你们，小伙子们——我们都给你们准备好了。
STR_x02v02,
STR_x03v01,揉揉眼睛，别打瞌睡，先生们。布莱克上校将给你们介绍情况。立正！
STR_x03v02,谢谢你，中士。好了，诸位，稍息。
STR_x03v03,昨天早上零七百时，我们失去了和Everon，群岛最东部那一个的联系。
STR_x03v04,来自该岛最后的通讯报告说在大街小巷里有着大量的军事活动。
STR_x03v05,我们所能确定的是，Everon已经被一支敌对力量占领了，来源未知。作为该地区唯一存在的北约军队，我们有责任做出回应。
STR_x03v06,直升机正等待将你们送到Everon。有什么问题吗？
STR_x03v07,长官，您说占领军的来源“不明”吗？那怎么可能，长官？难道就没有人，比如说，和他们谈过吗？
STR_x03v08,相信我，士兵，我们试过。
STR_x03v10,我们在该地区的情报资源有限。我相信华盛顿正在疯狂地向这一地区调遣卫星，但事情还是让他们措手不及。所以在第一道消息传出去之前，还得好一阵子。
STR_x03v11,至于我们，我们昨天派了两架直升飞机前去查看。无一返回。
STR_x03v12,长官，听起来他们有一大队人马，而我们只有这么几个。难道我们不能在做出任何行动前，先多找些人手到这儿来吗？
STR_x03v13,一支航母战斗舰群正以侧翼速度朝这一地区赶来，但它还得有好几天的路才到得了。
STR_x03v14,而且我们等得时间越长，这些人，不管他们是谁，挺进得就越深入，增援也就越多。
STR_x03v15,华盛顿想在莫斯科卷进来之前先下手为强。如果他们还蒙在鼓里的话……我们得利用一切尽力所能。直升机在等着呢，士兵们。
STR_x03v16,更多的情况在路上再向你们介绍。祝好运。解散。
STR_x03v17,好吧，士兵们，你们都听到上校说的了。听起来你们的假期还没有结束，现在拿起背包立刻出发！
