LANGUAGE,English
STR_CAMPAIGN_1985_X04ACAPTUREBYRESISTANCE_EDEN_BRIEFING_NAME,<过场动画>
STR_CAMPAIGN_1985_X04ACAPTUREBYRESISTANCE_EDEN_OVERVIEW_001,任务概述
STRM_x04av01,放下你的武器，美国人——站在原地。
STRM_x04av02,别开枪！别开枪！
STRM_x04av03,报上你的姓名、身份号码和军衔。
STRM_x04av04,17582。戴维·阿姆斯特朗下士。
STRM_x04av05,……你的部队呢？
STRM_x04av06,你不需要知道。
STRM_x04av07,我们要带你去见斯拉瓦中校。慢慢来，别想耍滑头。
STRM_x04av08,斯拉瓦中校，拉迪姆和托马斯返回营地，还抓到一个俘虏。
STRM_x04av09,欢迎，阿姆斯特朗下士。我为你到来的方式表示道歉。
STRM_x04av10,嘿，别担心。不管你们打哪儿劫持的我，现在也许你们这些恶棍想在黑鹰武装直升机特谴队来找我之前，把我送回去。
STRM_x04av11,一旦你听完了我们所说的话，你就可以毫发无伤地回到你的部队去。Everon自由联盟和北约并没有利益冲突。
STRM_x04av12,Everon自由联盟，是不是？
STRM_x04av13,只是一群希望他们的苏联客人尽快离开这个岛屿的可怜男女，起的一个宏伟的名字。
STRM_x04av14,不自由毋宁死，当然。
STRM_x04av15,我知道你的感觉。
STRM_x04av16,我不那么认为。这是我们的家。我们会不惜一切代价保卫它。你们美国人，现在只看到了几个苏联人，就逃跑了，象小鸡看见了老鹰。
STRM_x04av17,嘿，伙计！你说谁是小鸡？这帐又不是我们想要打的——我们已经尽己所能了。一分钟前我还在训练营里，接着我的朋友就都死了！
STRM_x04av18,对你的朋友我感到很遗憾。但这几天来我何尝不是一无所有。他们杀了我的妻子，他们杀了我的儿子，他们烧了我的房子。我生活所余已经寥寥无几了。而这些人就是其中之一。
STRM_x04av19,我……我很抱歉。苏联人杀平民吗？他们为什么那么干？他们想控制这座岛，而不是进行大屠杀。
STRM_x04av20,我的朋友，你显然不知道我们要面对什么样的敌人。这些士兵处在天高皇帝远的地方，我们无法得知他们遵守的是莫斯科还是别的什么地方的纪律。我们呆在世界的尽头。而这儿的苏联人显示出他们是多么恨这个地方。
STRM_x04av21,瞧，斯拉瓦……我不认为我们的指挥部知道你们这些人。我得回去报告。
STRM_x04av22,我们要带你一起走。你将在我们的主基地见到我们的指挥官，他会联系你的人的。
STRM_x04av23,可首先，我们有自己的任务要完成。每个人对我们都是有用的——我们需要你们的帮助。
STRM_x04av24,当然。毕竟，你救过我一命……
