LANGUAGE,English,Comment

STR_Load0_0,"24小时后。",Load mission
STR_Load1_0,"马尔登。美国第1机械化师司令部。",Load mission
STR_Load2_0,"45分钟后。",Load mission
STR_Load2_1,"马尔登。美国空军印第安纳机场。",Load mission
STR_Load3_0,"埃韦龙。默克斯。1小时后。",Load mission
STR_Load3_1,"埃韦龙。蒙蒂尼亚克。",Load mission
STR_Load4_0,"有限维和部队司令部。",Load mission

STRM_outro0_1,"上校，你怎么解释\n俄国人把我们赶出岛这件事？",Intro 0 messages
STRM_outro0_2,"我们在埃韦龙的兵力不够。",Intro 0 messages
STRM_outro0_3,"白宫对此大惑不解。他们没料到会有这么大损失。",Intro 0 messages
STRM_outro0_4,"你打算采取什么措施来挽回局面？",Intro 0 messages
STRM_outro0_5,"我们需要时间重新部署兵力，长官。",Intro 0 messages
STRM_outro0_6,"之后就能发动\n夺岛作战，把损失降到最低。",Intro 0 messages
STRM_outro0_7,"这段时间里俄国人可能彻底在岛上站稳脚跟。\n那是不能接受的。",Intro 0 messages
STRM_outro0_8,"我们最多需要两周。",Intro 0 messages
STRM_outro0_9,"好。我已经下令轰炸埃韦龙上的俄军阵地。\n在你们准备好进攻之前，我们会一直炸下去。",Intro 0 messages
STRM_outro0_10,"一天也不能让他们喘息。",Intro 0 messages
STRM_outro0_11,"长官，但那样一来\n平民伤亡在所难免。",Intro 0 messages
STRM_outro0_12,"只要我士兵的命押在赌桌上，\n土著的死活我根本不在乎。",Intro 0 messages

STRM_outro1_1,"先生们！今天是个特别的日子。",Intro 0 messages
STRM_outro1_2,"你们参加的这次行动，\n代号自由之翼。",Intro 0 messages
STRM_outro1_3,"我们的任务是：消灭埃韦龙上\n任何大规模集结的苏军。",Intro 0 messages
STRM_outro1_4,"你们今天的第一目标是默克斯。",Intro 0 messages
STRM_outro1_5,"动手吧，先生们。",Intro 0 messages

STRM_outro2_0,"幸好司令部搬到了蒙蒂尼亚克，\n这里现在清静多了。",Intro 2 messages
STRM_outro2_1,"是啊，是不错，就是取邮件要跑远路。",Intro 2 messages

STRM_outro3_0,"最新的伤亡统计？",Intro 0 messages
STRM_outro3_1,"我方伤亡：阵亡七人，伤员十一人，\n其中三人重伤。",Intro 0 messages
STRM_outro3_2,"平民伤亡：\n死亡70多人，受伤约100人。",Intro 0 messages
STRM_outro3_3,"当地所有医院都爆满了，\n所以我们把最重的伤员接了过来。",Intro 0 messages
STRM_outro3_4,"药品和包扎材料不够了。",Intro 0 messages
STRM_outro3_5,"运送药品的飞机已经起飞。\n请你负责把这批物资分配到各医院。",Intro 0 messages
STRM_outro3_6,"请示可以离开？",Intro 0 messages
STRM_outro3_7,"可以，谢谢。",Intro 0 messages
STRM_outro3_8,"这帮畜生！这就是地毯式民主。",Intro 0 messages
STRM_outro3_9,"我们的防空怎么样？绝不能再让这种事发生！",Intro 0 messages
STRM_outro3_10,"防空吃紧。我们只有施尔卡高炮和便携式防空导弹。",Intro 0 messages
STRM_outro3_11,"既然我们在这里拦不住他们，\n那就必须阻止他们在那边起飞！",Intro 0 messages
STRM_outro3_12,"安德烈，这多半是你的活儿！\n想想怎么对付他们在马尔登的空军基地。",Intro 0 messages
