LANGUAGE,English,Comment

STR_Intro,"СУТКИ СПУСТЯ",Load intro
STR_Intro1,"5 МИЛЬ ЮЖНЕЕ ЭВЕРОНА",Load intro
STR_Load,"45 МИНУТ СПУСТЯ",Load mission
STR_Load2,"ВЫ ПОКИНУЛИ ПОЛЕ БОЯ И ОСТАВИЛИ СВОИХ ТОВАРИЩЕЙ В ТРУДНУЮ МИНУТУ.\nТЕПЕРЬ ВАМИ ЗАЙМЕТСЯ ВОЕННЫЙ ТРИБУНАЛ.",Load mission

STRM_intro1_0,"Эверон, говорит борт 013.\nПриближаемся к точке назначения.",intro
STRM_intro1_1,"Вас понял борт 013. Направление ветра 210.\nСкорость 6-7 метров в секунду. Площадка свободна. Ждем вас.",intro
STRM_intro1_2,"Вас понял.",intro
STRM_intro1_3,"И погода здесь ничего, и остров на картинках красивый.\nНо вот что не нравится - это номер нашего рейса.",intro
STRM_intro1_4,"Да брось ты Пузо, я всю жизнь в тринадцатой квартире прожил.",intro
STRM_intro1_5,"Это и заметно.",intro
STRM_intro1_6,"Ты это на что намекаешь, салага.",intro
STRM_intro1_7,"Разговорчики! Заткнитесь оба!",intro
STRM_intro1_8,"Вот миротворцы, между собой то грызутся!",intro
STRM_intro1_9,"Товарищ капитан!\nСводный отряд четвертого мотострелкового полка прибыл\nдля прохождения службы в составе миротворческого контингента.",intro
STRM_intro1_10,"Старший отряда - лейтенант Сидорчук.",intro
STRM_intro1_11,"Ваша место назначения в Тироне.\nОтправляйтесь с этой колонной.",intro
STRM_intro1_12,"Есть! Все по машинам!",intro
STRM_intro1_13,"Живее! Шевели поршнями!",intro

STRM_ingameintro0_0,"У-у-у, старшина старый пень, я ему говорил что у меня 45,\nа он мне 44 выдал, сволочь.",ingame0
STRM_ingameintro0_1,"У меня пальцы на ногах в кулаки сжаты.",ingame0
STRM_ingameintro0_2,"Ну вот этими кулаками и набьешь ему морду.",ingame0
STRM_ingameintro0_3,"Ну что, учись теперь на руках бегать!",ingame0
STRM_ingameintro0_4,"И ногами стрелять, да? Да пошел ты!",ingame0
STRM_ingameintro0_5,"Небось старый пердут поленился на склад\nпереться - то что было, то и дал.",ingame0
STRM_ingameintro0_6,"Мне вместо 41-го, 43-й дал.\nЯ из них с места выпрыгнуть могу.",ingame0
STRM_ingameintro0_7,"Баранам из 13-х квартир обувь по размеру не положена\nя бы на месте старшины тебе лыжи выдал.",ingame0
STRM_ingameintro0_8,"Закрой пасть, Пузо, а то я сейчас тебе ласты приделаю.",ingame0
STRM_ingameintro0_9,"Да угомонитесь вы! Харе бузить!\nДайте поспать!",ingame0

STRM_ingame0_0,"Твою мать!",ingame0
STRM_ingame0_1,"Это засада! Все из машины! К бою!",ingame0
STRM_ingame0_2,"Ерема убит!",ingame0
STRM_ingame0_3,"Пулеметчики справа! Огонь!",ingame0
STRM_ingame0_4,"Что вы столпились!? Рассредоточиться всем! Быстро!",ingame0
STRM_ingame0_5,"Занимаем оборону! Все в укрытие!",ingame0
STRM_ingame0_6,"Астахов! Уничтожь грузовик с боеприпасами! Мы их не удержим!",ingame0
STRM_ingame0_7,"Пузанцева убили!",ingame0
STRM_ingame0_8,"А-а-а-а черт, меня зацепило!",ingame0
STRM_ingame0_9,"А-а-а-а-а-а-а! Не-е-е-е-е-т!",ingame0
STRM_ingame0_10,"Врача!",ingame0
STRM_ingame0_11,"Ставьте дым быстро!",ingame0
STRM_ingame0_12,"Вижу две больших группы противника!\nПриближаются со стороны леса!",ingame0
STRM_ingame0_13,"У меня патроны ёк!",ingame0
STRM_ingame0_14,"Если слева зайдут - крышка!",ingame0
STRM_ingame0_15,"Эти гады нас окружают!",ingame0
STRM_ingame0_16,"Без паники! Стреляем одиночными!\nБережем патроны!",ingame0
STRM_ingame0_17,"Радист! Вызывай базу!\nДоложи обстановку и сообщи наши координаты!",ingame0
STRM_ingame0_18,"Русские не сдаются, обмудок!",ingame0

STRM_ingame1_0,"Здавайтесь и мы сохраним вам жизнь!",ingame1
STRM_ingame1_1,"Вы окружены, бросайте оружие!",ingame1

STRM_ingameintro1_0,"Я сдаюсь! Не стреляйте!",ingameintro1
STRM_ingameintro1_1,"Руки за голову!",ingameintro1
STRM_ingameintro1_2,"Не двигаться! Стоять на месте!",ingameintro1
STRM_ingameintro1_3,"Этого возьмем с собой!",ingameintro1

STRM_ingameintro2_0,"Проверьте каждого! Соберите документы и оружие!",ingameintro2
STRM_ingameintro2_1,"Собаки, успели угробить грузовик с боеприпасами.\nНаши планы провалились!",ingameintro2
STRM_ingameintro2_2,"Крон, я здесь одного живого нашел, кажется его контузило.\nЧто с ним делать?",ingameintro2
STRM_ingameintro2_3,"Кончай его!",ingameintro2
STRM_ingameintro2_4,"Хотя нет, погоди! Возьмем с собой, он нам еще пригодиться.",ingameintro2
STRM_ingameintro2_5,"У меня появилась одна идея!",ingameintro2
STRM_ingameintro2_6,"Вставай собака! Чего развалился?",ingameintro2
STRM_ingameintro2_7,"Давайте живее! Нам пора уходить!",ingameintro2

STRM_hint1,"Чтобы сдаться в плен необходимо бросить оружие.",Hints comments
