LANGUAGE,English
STR_CAMPAIGN_1985_22RETURNTOEDEN_EDEN_BRIEFING_INTEL_BODY,"<br>
1. <b>The beach.</b> We'll disembark from the boats at <a href=""marker:Start"">the
beach</a>. It should be quite safe there, because it's lower than the
surrounding terrain, so the enemy will notice us too late to mount an effective
defense.<br>
2. <b>The hill.</b> The nearest guard-post is on <a href=""marker:Kota"">the hill</a>
 near the old chapel. This will be our first task - to defeat the guard-post and
hold the hill. This is a very strategic position.<br>
3. <b>The Airport.</b> <a href=""marker:Letiste"">The airport</a> is very heavily
defended. We will attack it from the air, but first we must destroy the Shilka
that was spotted somewhere to <a href=""marker:ZSU"">the North</a>.
<br><br>
<a href=""#Main"">Back to notes</a>"
STR_CAMPAIGN_1985_22RETURNTOEDEN_EDEN_BRIEFING_INTEL_HEADING,Inteligence report
STR_CAMPAIGN_1985_22RETURNTOEDEN_EDEN_BRIEFING_INTRO,"<B>Jun 21, 1985</B> - At last, the invasion of Everon is
underway. First of all we have to conquer the airport on the North side of the
island - a job for a select few infantry troops. For <i>my</i> infantry troops.
<br><br>
<a href=""#Intel"">Intel</a> reports that the Reds aren’t expecting us to
strike back this quickly. Hell, they’d better not be – or we’re in big trouble
out there.
<br><br>
If we can get in quick, though, and wreck their anti-aircraft systems before
any armored reinforcement arrive, then our air forces should finish things off easily
enough.
<br><br>
At least, that’s what we’re hoping.
<br><br>
<a href=""#Intel"">Inteligence report</a>"
STR_CAMPAIGN_1985_22RETURNTOEDEN_EDEN_BRIEFING_NAME,Return To Eden
STR_CAMPAIGN_1985_22RETURNTOEDEN_EDEN_BRIEFING_OBJ_1,"Your first objective is <a href=""marker:Kota"">the hill</a>
 at grid Dj03. Cleanse it of enemy units, and hold it."
STR_CAMPAIGN_1985_22RETURNTOEDEN_EDEN_BRIEFING_OBJ_2,"<a href=""marker:Bravo"">Bravo</a> will cover your left
flank, and <a href=""marker:Charlie"">Charlie</a> your right as you put down the
expected Soviet counter-attack."
STR_CAMPAIGN_1985_22RETURNTOEDEN_EDEN_BRIEFING_OBJ_3,"Destroy the defending <a href=""marker:ZSU"">Shilka</a>
 and radio the Cobra gunships, designation November, for additional support
(0-0-2)."
STR_CAMPAIGN_1985_22RETURNTOEDEN_EDEN_BRIEFING_OBJ_3A,"Begin the assault on <a href=""marker:Letiste"">the
airport</a>. When Bravo and Charlie are ready, they will let you know. Send
them a signal (0-0-1) to attack."
STR_CAMPAIGN_1985_22RETURNTOEDEN_EDEN_BRIEFING_OBJ_4,Secure the Airport.
STR_CAMPAIGN_1985_22RETURNTOEDEN_EDEN_BRIEFING_PLAN,"Congratulations on
all your work so far, Lieutenant Armstrong. Now here’s where we start taking
this fight back to the Russians. It's time for us to liberate Everon.
<br><br>
To begin with, we need you to secure the airport at the North of the island
with an infantry assault.
<br><br>
You will land on <a href=""marker:Start"">the beach</a> at grid reference Eb04."
STR_CAMPAIGN_1985_22RETURNTOEDEN_EDEN_OVERVIEW_001,Overview
STR_MAR_2,山
STR_MAR_3,B组
STR_MAR_4,C组
STR_MAR_5,摧毁Shilka自行高炮
STR_MAR_6,夺取机场，
STR_MAR_7,N组
STR_WP_1,到达山岗
STR_WP_2,机场
STRM_22n50,Everon，海滩上。
STRM_22n51,位于Malden的港口和机场。
STRM_22n52,空中支援。
STRM_22n53,所有人注意，前进。
STRM_22r01,所有单位注意，我是Papa Bear，开始攻击。A组1号，不不惜任何代价攻下那个山头。
STRM_22r02,我是A组1号。看来我们已经把他们全给干掉了，这儿只剩一堆俄国人的死尸了。B组，我们防守山头的时候要掩护我们，完毕。
STRM_22r03,所有单位注意，我是Papa Bear，有好几个重装甲目标正在向你们的阵地移动，准备打退敌人的反攻，完毕。
STRM_22r04,Papa Bear，我是A组1号，我们打退了敌人的反攻，现正在向机场推进。通话完毕。
STRM_22r05,收到，A组1号，在你呼叫直升机支援以前，必须确认已找到并摧毁了他们的防空力量，Papa Bear完毕。
STRM_22r06,A组1号 呼叫N组指挥官，你们现在可以出动了，所有的防空系统已被消灭，通话完毕。
STRM_22r07,收到，A组1号，我们正在途中，20秒后到达，N组完毕。
STRM_22r08,我是N组指挥官，我被击中起火了，必须要降落，对不起了，弟兄们。
STRM_22r09,我是N组2号机，求救，求救，我在坠落，坚持不住了……啊！
STRM_22r10,N组1号机和2号机准备开火，所有武器准备完毕，处于待发状态，这将会是一场打火鸡表演，完毕。
STRM_22r30,B组呼叫A组，我们已进入阵地。
STRM_22r31,C组呼叫A组，攻击准备完毕。
STRM_22r32,A组呼叫B组和C组，允许开火，杀光他们！上！上！上！
STRM_22r33,A组呼叫B组，A组呼叫B组，听到吗？B组，请回话，完毕？……该死，B组完了。
STRM_22r34,A组呼叫C组，请回话，完毕？A组呼叫C组，听到吗？见鬼，我们损失了C组。
