LANGUAGE,English
STR_CAMPAIGN_1985_X08COUNTERATTACK_EDEN_BRIEFING_NAME,<Cutscene>
STR_CAMPAIGN_1985_X08COUNTERATTACK_EDEN_OVERVIEW_001,Overview
STR_x08v01,嘿，发生了什么事？
STR_x08v02,不过是一些炸烂了的苏联车辆挡住了去路……你可以从右边绕过去。
STR_x08v03,很高兴再见到你，詹姆斯。Kolgujev怎么样？
STR_x08v04,很冷。长官，我猜我们是要计划进攻了是吗？
STR_x08v05,没错，中校。现在Everon是我们的了，\n我们必须和敌人开战，朝Kolgujev挺进。
STR_x08v06,在苏占区？
STR_x08v07a,要是我们让莫斯科来处理古巴，这事可能就要拖上好几个月。\n他在羞辱我们，而克里姆林宫很乐于看到这种情景。
STR_x08v07b,表面上，他们会活剥了他……但私下里，等着他的很可能是一份丰厚\n的退休金，还有克里米亚半岛上一栋小小的乡间别墅。\n现在我们得在他们把他象个战犯似的引渡回国前，逮住他。
STR_x08v08,那么我发现的那些Shilka……
STR_x08v09,必须摧毁。我们将从南部进军，\n而那些防空车辆会把我们的飞机撕成碎片的。
STR_x08v10,除非我把它们都端掉。
STR_x08v11,一点没错。你已经侦察过那一地区，所以你熟悉地形。
STR_x08v12,这是我的荣幸，长官。
STR_x08v13,解散。还有詹姆斯……祝你好运。
