LANGUAGE,English
STR_CAMPAIGN_1985_01FLASHPOINT_EDEN_BRIEFING_NAME,Flashpoint
STR_CAMPAIGN_1985_01FLASHPOINT_EDEN_OVERVIEW_001,Overview
STRCAMP_01r1,O.K.咱们出发，低下头跑到那边的树从边，我在那里给大家交待认任务。
STRCAMP_01r2,"A组和B组, 这里是Papa Bear。我们的攻击完成了。 继续进攻村庄。完毕。"
STRCAMP_01r3,"A组和B组, 这里是Papa Bear！敌人部队撤退了， 占领村庄中心广场等待进一步指示。完毕。"
STRCAMP_01v1,嗨，Klozlowski，你觉得下面是什么人在等着我们？
STRCAMP_01v2,我不知道，Fowley，你觉得是苏联人吗？
STRCAMP_01v3,别傻了。苏联人不敢。不可能在咱们的门边上跟咱们打仗。
STRCAMP_01v4,是啊，Fowley，他们一定正穿过大海看着你害怕的发抖呢。
STRCAMP_01v5,关于害怕嘛，什么东西的臭味？什么东西从你的短裤里面发出臭味？Kozlowski?
STRCAMP_01v6,我不知道啊，Fowley，你想看看吗？
STRCAMP_01v7,"闭嘴, 战士们，我们到了空投地点了。我们的任务是占领Morton, 就是山后的那个村庄。我们只会面对敌人的轻型装甲车，我们还有空中火力支援, 但是我们也要保持警惕。"
STRCAMP_01v8a,我们从左翼进攻Morton. 我们的代号是Alpha。B组将会从右翼丛林中支援我们。 我们到达村庄后等待空中火力支援。
STRCAMP_01v8b,敌人的装甲车被摧毁以后，我们就开始进攻夺取这个村庄。现在，谁也不要试图作英雄，OK?这不是演习，我们要面对真正的敌人。
STRM_01h01,"战斗模式的控制：W - 前进 A, D - 侧移 / rightS - 后退SHIFT+W or E - 快速跑Z - 卧倒 / 起立 upQ - 半蹲姿 / 起立R - 子弹上膛SPACE - 更换武器鼠标左键 - 开火鼠标右键 - 放大大键盘上的Enter - 调出动作菜单Backspace - 无线电通讯"
STRM_01h02,"5, 4 - 呼叫医疗兵(医疗兵还没有牺牲的情况下)"
STRM_01n01,Everon，Morton村庄周边
STRM_01n02,Everon岛，Malden东北方
STRM_01n03,你们从空中进入
STRM_01n04,攻占这个村庄
STRM_01w01,连队任务简报
STRM_01w02,准备进攻
STRM_01w03,攻占村庄
STRM_END1,任务胜利完成。北约部队占领了Morton。
STRM_END6,你已经走出了你们需要执行任务的地区。\n你必须回到你的连队去。
