LANGUAGE,English,Comment

STR_Load1,"ГДЕ-ТО НА ЭВЕРОНЕ, СПУСТЯ 9 ЧАСОВ ПОСЛЕ АТАКИ КОЛОННЫ.",Load mission
STR_Load2,"НЕСКОЛЬКО МИНУТ СПУСТЯ.",Load mission
STR_Outro1,"НЕКОТОРОЕ ВРЕМЯ СПУСТЯ. БАЗА БОЕВИКОВ. КВАДРАТ HE76.",Load outro

STRM_intro0_1,"Абар, через 30 минут я вернусь и мы решим что с ним делать.",Intro 0 messages
STRM_intro0_2,"Пока смотрите в оба! Расставьте дополнительные посты по периметру базы!",Intro 0 messages
STRM_intro0_3,"Будет сделано командир!",Intro 0 messages
STRM_intro0_4,"За пленного головой отвечаешь лично!",Intro 0 messages
STRM_intro0_5,"Когда Тайгер закончит тренировку предоставьте ему\nсамые лучшие условия для отдыха! Это ясно?",Intro 0 messages
STRM_intro0_6,"Да, командир!",Intro 0 messages

STRM_intro1_1,"Самое главное в рукопашном бою уметь предугадать действия врага.\nЕсли Вы научитесь, хотя бы на долю секунды упреждать его\n- значит Вы победили!",Intro 1 messages
STRM_intro1_2,"Сегодня мы будем отрабатывать защиту и нападение с помощью оружия.\nУ Вас М-16 - это отличная винтовка и в умелых руках она может\nстать серьезным аргументом.",Intro 1 messages
STRM_intro1_3,"Начнем с самого главного: что бы Вы не делали не упускайте противника\nиз виду, всегда держите его в поле зрения!\nЭто основной принцип рукопашного боя,\nпотеряете врага из виду - проиграете и умрете.",Intro 1 messages
STRM_intro1_4,"Сейчас я Вам покажу удар прикладом смотрите внимательно,\nон наиболее эффективен.",Intro 1 messages
STRM_intro1_5,"Винтовку держите за цевье и основание приклада.\nУдар наносите всем корпусом.",Intro 1 messages
STRM_intro1_6,"И не забывайте выставить вперед левую ногу,\nиначе вы можете упасть если противник увернется от вашего удара.",Intro 1 messages
STRM_intro1_7,"Всем ясно?",Intro 1 messages
STRM_intro1_8,"Теперь пусть каждый повторит это.",Intro 1 messages

STRM_game1_0,"Ну и влип же я.\nПузанцев и Еремин больше никогда не будут ругаться.\nВ это трудно поверить.",Ingame comments
STRM_game1_1,"Нужно выбираться отсюда и поскорее.\nТолько как? У меня нет ни оружия, ни компоса, ни рации.\nЧто же мне делать?",Ingame comments
STRM_game1_2,"Эх, был бы здесь сейчас Пузанцев\n- он бы обязательно что-то придумал!",Ingame comments
STRM_game1_3,"Ты куда собрался, скотина?\nБыстро обратно, или пристрелю как собаку!",Ingame comments
STRM_game1_4,"Подкова? Может быть на счастье? Или это ирония судьбы?",Ingame comments
STRM_game1_5,"Хотя, если навернуть ей по черепу...",Ingame comments
STRM_game1_6,"Та-а-ак, кажется пора рвать когти!",Ingame comments
STRM_game1_7,"Стой сволочь! Пленный уходит! Все за ним!",Ingame comments
STRM_game1_8,"Стой!",Ingame comments
STRM_game1_9,"Кто стрелял?! Абар убит!",Крики после выстрела лесника

STRM_game1_10,"Стой! Это мой мотоцикл!",Крик после того как украден мотоцикл

STRM_game2_0,"Стой, кто идет!?",Ingame comments
STRM_game2_1,"Свои!",Ingame comments
STRM_game2_2,"Сейчас пальну, а потом будем разбираться: свои или нет!\nСтоять на месте!",Ingame comments

STRM_radio1_0,"Боец не ошибся, здесь действительно гадюшник. Разрешите открыть огонь.",Ingame comments
STRM_radio1_1,"Разрешаю огонь на поражение.",Ingame comments

STRM_hint_1,"ВЫ ПОДОБРАЛИ ПОДКОВУ.",Hint
STRM_hint_2,"",Hint
STRM_hint_3,"ЗАКОНЧИЛСЯ БЕНЗИН",Hint
STRM_hint_4,"ВЫ НАШЛИ КАРТУ",Hint

STRM_action1,"Подобрать подкову",Actions texts
STRM_action2,"Обыскать машину",Actions texts
STRM_action3,"Посмотреть карту",Actions texts
STRM_action4,"Посмотреть фотографии",Actions texts
