LANGUAGE,English
STR_CAMPAIGN_1985_X06MEETING_ABEL_BRIEFING_NAME,<过场动画>
STR_CAMPAIGN_1985_X06MEETING_ABEL_OVERVIEW_001,任务概述
STR_x06v01,我找布莱克上校。
STR_x06v02,布莱克上校现在不在这儿。他在查看石油供给。
STR_x06v03,是他下命令叫我来的。
STR_x06v04,好吧，在这儿等着。他一会就回来。
STR_x06v05,你刚从Chapoi来？
STR_x06v06,没错。
STR_x06v07,那儿看起来怎么样？
STR_x06v08,相当糟糕。但我们赶跑了红军。
STR_x06v09,长官，阿姆斯特朗中士奉命前来。
STR_x06v10,很好，中士。跟我来。
STR_x06v11,谢谢您，长官。
STR_x06v12,和你老实说吧，阿姆斯特朗。我们损失了不少好军官。现在我们需要每一个能干的人……所以我想让你接受一份战地委任状。
STR_x06v13,长官？
STR_x06v14,恭喜你，你刚被提升为中尉。
STR_x06v15,是，长官！
STR_x06v16,好极了，中尉。现在，我想让你见见特种部队的盖斯塔夫斯基中校。
STR_x06v17,盖斯塔夫斯基。詹姆斯·盖斯塔夫斯基。
STR_x06v18,阿姆斯特朗。很高兴见到你，长官。
STR_x06v19,现在，我想让你们俩看些东西。这是今天晚上早些时候传过来的。
STR_x06v20,
STR_x06v20us,四十八小时，布莱克上校。你和你的北约部队必须在此时限内离开该岛。
STR_x06v21,
STR_x06v21us,要是你们在星期二一千八百时之前还没有完全撤出，那么一个坦克整编师、两个武装直升机中队和一千个红军最好的战士将前来清剿你们。
STR_x06v22,
STR_x06v22us,这是最后的通牒。我祝你们返程旅途愉快，一路顺风。
STR_x06v23,这家伙是谁？看上去他好象有根筋不对了。
STR_x06v24,你对此一无所知。我让情报部门的小伙子们查了查他的背景，档案读起来可叫人不怎么舒服。
STR_x06v25,他名叫古巴。阿莱克西·古巴将军。在斯大林的西伯利亚劳改营里当了五年的司令，那儿的人给他起了一个绰号：“牙医”。
STR_x06v26,他们干吗管他叫牙医？
STR_x06v27,不清楚。但听起来挺吓人。
STR_x06v28,伯泽聂夫掌权时他调到了克格勃，随后我们就失去了他的踪影。谣传说他当时在莫斯科掌管着一个特别审讯部门。
STR_x06v29,而现在他又回到了军中，还带着苏维埃出现在Kolgujev。
STR_x06v30,那么说莫斯科想让北约离开这些岛屿了？
STR_x06v31,是这样的，克里姆林宫仍旧否认和侵袭有任何的关联，而华盛顿还比较相信他们所说的话。所以看起来这是古巴将军自己单干的。可只有天知道他的目的何在。
STR_x06v32,一千人的军队，长官？这个数字是Malden上我们的人的五倍！
STR_x06v33,阿姆斯特朗，我要你带一个班护送盖斯塔夫斯基中校回Everon去。你认识抵抗组织，而我要你去和他们谈谈。如果他们能和我们的特种部队在即将到来的侵袭中合作，那将非常重要。准备好，你今天晚上就出发。
STR_x06v34,首先，阿姆斯特朗，请接受我的祝贺。
STR_x06v35,长官？
STR_x06v36,我一直注意着你，中士。我十分欣赏你的表现。
