LANGUAGE,English,Comment

STR_Load0_0,"",Load mission
STR_Load1_0,"埃韦龙。圣皮埃尔。1985年。",Load mission
STR_Load1_1,"1985年。",Load mission
STR_Load2_0,"埃韦龙机场。\n8小时后。",Load mission
STR_Load2_1,"埃韦龙岛总统新闻发布会。",Load mission
STR_Load3_0,"苏联。科尔古耶夫。\n24小时后",Load mission
STR_Load3_1,"苏联第23军区司令部。",Load mission
STR_Load4_0,"马尔登。中情局驻地。",Load mission

STRM_intro0_1,"",Intro 0 messages
STRM_intro0_2,"",Intro 0 messages
STRM_intro0_3,"",Intro 0 messages

STRM_intro1_0,"见鬼，条子怎么会在这儿！带着货我们要栽！",Intro 0 messages
STRM_intro1_1,"小事，把他们干掉。",Intro 0 messages
STRM_intro1_2,"干掉谁？货还是条子？",Intro 0 messages
STRM_intro1_3,"条子，白痴。",Intro 0 messages
STRM_intro1_4,"这儿目击者太多了。",Intro 0 messages
STRM_intro1_5,"没事，我们动静弄小点。",Intro 0 messages
STRM_intro1_6,"听我说：要是谁耽误了，就全干掉，\n我们不能冒险。",Intro 0 messages

STRM_intro2_0,"总统先生！总统先生！\n对于圣皮埃尔发生的事件，您打算怎么办？",Intro 0 messages
STRM_intro2_1,"我可以向各位保证，政府和警方正在采取\n一切措施，找出这场悲剧的凶手。",Intro 0 messages
STRM_intro2_2,"可前几起悲剧的凶手已经查明，\n警方却无力将他们逮捕。",Intro 0 messages
STRM_intro2_3,"在别的国家，遇到这种局面，\n军队就会出动，而我们没有军队。",Intro 0 messages
STRM_intro2_4,"那我们就去找一支军队。无论如何，我们会采取一切措施，\n保护我国公民的权利和自由。",Intro 0 messages
STRM_intro2_5,"您具体打算采取什么措施？",Intro 0 messages
STRM_intro2_6,"也许我们不得不向另一个国家求助。",Intro 0 messages
STRM_intro2_7,"具体是哪个国家？您此行莫斯科是否与此有关？",Intro 0 messages
STRM_intro2_8,"无可奉告。",Intro 0 messages
STRM_intro2_9,"好了，先生们，新闻发布会到此结束。谢谢。",Intro 0 messages

STRM_intro3_0,"我是古宾，请讲。",Intro 0 messages
STRM_intro3_1,"您好，总司令同志。",Intro 0 messages
STRM_intro3_2,"是，听说了。",Intro 0 messages
STRM_intro3_3,"是，我明白。",Intro 0 messages
STRM_intro3_4,"有，当然有。编制完全满员。",Intro 0 messages
STRM_intro3_5,"这不会有问题，总司令同志。",Intro 0 messages
STRM_intro3_6,"坚决照办！请示执行？",Intro 0 messages
STRM_intro3_7,"谢谢你，米哈伊尔·谢尔盖耶维奇。",Intro 0 messages
STRM_intro3_8,"行了，开始了。",Intro 0 messages
STRM_intro3_9,"尼古拉·德米特里耶维奇！05:00 紧急会议！",Intro 0 messages

STRM_intro4_0,"季莫，咱们拿营长开个玩笑？",Intro 0 messages
STRM_intro4_1,"不行，普佐，够了，院长我们已经开过玩笑了。",Intro 0 messages
STRM_intro4_2,"一，二！一，二！",Intro 0 messages
STRM_intro4_3,"特种部队！谢利瓦诺夫！\n听说我们很快要被调到某个岛上去？",Intro 0 messages
STRM_intro4_4,"科列斯尼科夫，听说他们造出了带螺旋桨的坦克，\n只不过还没人见过。",Intro 0 messages
STRM_intro4_5,"玩笑归玩笑，仓库已经把一周的口粮发给我们了。\n恐怕不是无缘无故的。",Intro 0 messages
STRM_intro4_6,"今天司令部要开会，到时候一切都会说清楚。",Intro 0 messages

STRM_intro5_0,"你这个白痴，迈克！你都干了什么！？",Intro 0 messages
STRM_intro5_1,"你本该准备推翻亲苏政府，\n结果却招来了苏军登陆埃韦龙。",Intro 0 messages
STRM_intro5_2,"你到底替谁卖命？山姆大叔还是俄国人？",Intro 0 messages
STRM_intro5_3,"就是因为你这种帮倒忙的家伙，\n我们的孙子将来都要说俄语了。",Intro 0 messages
STRM_intro5_4,"现在苏军就驻扎在我们马尔登\n试验场的旁边。",Intro 0 messages
STRM_intro5_5,"如果你两周内不把局面扭转过来，\n总部就会扒了你的皮。",Intro 0 messages
STRM_intro5_6,"你明白我的意思吗？",Intro 0 messages
STRM_intro5_7,"是的，比尔，我的人做过头了。",Intro 0 messages
STRM_intro5_8,"你可以向总部报告，\n两周后岛上就是我们的人了。",Intro 0 messages
STRM_intro5_9,"要是你再办砸了，去废车场看大门\n就是你职业生涯的巅峰。",Intro 0 messages
