LANGUAGE,English
STR_CAMPAIGN_1985_10BATTLEOFHOUDAN_ABEL_BRIEFING_INTRO,"<b>1985年6月6日</b> - 好吧，战争中的事情变化可真快。经过一天的实战经验，我现在已经是坦克指挥官了！<br><br>我们现在向南移动，前往前线——我们的步兵正在坚守Houdan，我们将提供支援。之后，下一个目标是边境地带。据说那里的敌人防御坚固，拥有重型装甲。但是，嘿，我们能干掉他们。<br><br>有些士兵一直在谈论Everon的战斗。似乎第七师的几个家伙曾带着他们的艾布拉姆斯在那里，经历了一些激烈的战斗。好吧，我可能是个新来的，但我今天可以给他们露两手。<br><br>伊万最好小心他的屁股了。<br><br><a href=""#Zone"">边境地带情报</a>"
STR_CAMPAIGN_1985_10BATTLEOFHOUDAN_ABEL_BRIEFING_NAME,HOUDAN之战
STR_CAMPAIGN_1985_10BATTLEOFHOUDAN_ABEL_BRIEFING_OBJ_1,"抵达<a href=""marker:Spoj"">该城市</a>并支援那里的北约防御。"
STR_CAMPAIGN_1985_10BATTLEOFHOUDAN_ABEL_BRIEFING_OBJ_1B,"前往<a href=""marker:Enemy"">海滩</a>并支援那里的防御。"
STR_CAMPAIGN_1985_10BATTLEOFHOUDAN_ABEL_BRIEFING_OBJ_2,"务必避开<a href=""marker:Vyk_1"">边境地带</a>，那里是苏军兵力集中区域。"
STR_CAMPAIGN_1985_10BATTLEOFHOUDAN_ABEL_BRIEFING_OBJ_3,"攻击<a href=""marker:Vyk_1"">边境地带</a>。"
STR_CAMPAIGN_1985_10BATTLEOFHOUDAN_ABEL_BRIEFING_PLAN,"你的主要任务是支援防守Houdan的步兵。<br><br>你是Yankee小队的一员，正从Dourdan <a href=""marker:Start"">前往</a>Houdan的途中。"
STR_CAMPAIGN_1985_10BATTLEOFHOUDAN_ABEL_BRIEFING_ZONE_BODY,"<br><a href=""marker:Vyk_1"">边境地带</a>是一个防御非常严密的区域。我们牵制住了俄军，但他们也不让我们通过。情报报告说山上有火箭小组，许多坦克处于战略位置。<br><br><a href=""#Main"">返回笔记</a>"
STR_CAMPAIGN_1985_10BATTLEOFHOUDAN_ABEL_BRIEFING_ZONE_HEADING,边境地带
STR_CAMPAIGN_1985_10BATTLEOFHOUDAN_ABEL_OVERVIEW_001,任务概述
STRM_10n20,Malden，Dourdan附近
STRM_10n21,边界地带
STRM_10n22,发现敌情
STRM_10n23,撤退
STRM_10r01,Y组一号呼叫Y组。请保持队形。希望我们能在Houdan受到热情的接待吧。
STRM_10r02,Papa Bear呼叫Y组一号。现在任务计划有变。我们在海滩上的巡逻队报告他们遭到两辆BMP的进攻。重复一遍，两辆BMP。请你们立刻前往该地区提供支援。完毕。
STRM_10r03,明白！正在调整路线，估计30秒后到达。完毕。
STRM_10r04,你们收拾掉BMP之后，请继续你们的计划任务。Houdan可能还需要帮助。Papa Bear完毕。
STRM_10r05,Houdan呼叫Y组。我们南面遭受敌人大队装甲部队的进攻。请求紧急支援！请求紧急支援！
STRM_10r06,明白。Houdan，我们正向你处赶来。请再坚持一下！
STRM_10r07,YANKEE ONE呼叫Papa Bear。任务完成。已消灭敌人坦克。那边还有一些步兵，不过没什么大不了的。完毕。
STRM_10r08,干得不错，Y组。原地转入防守位置并待命。完毕。
STRM_10r09,明白。Y组一号完毕。
STRM_10r10,Y组一号呼叫Papa Bear。任务完成。俄国佬都死光了，剩下的哭爹叫娘地跑了。完毕。
STRM_10r11,很好。Y组一号，请继续前进到边界地区，并进攻敌人的滩头阵地。完毕。
STRM_10r12,呃……请再重复一遍？你要我们到边界地带去？这太疯狂了！
STRM_10r13,Papa Bear呼叫Y组。命令你们对苏军的滩头阵地发起反击。立即行动。完毕。
STRM_10r14,明白！
STRM_10r15,Y组，我们会被炸成碎片的。我现在命令，立刻返回基地！重复一遍，返回基地！
STRM_10r16,Y组三号呼叫Y组一号。我的坦克动不了了，不过我还活着。完毕。
STRM_10r17,你们这些臭新兵蛋子！三号，带上你的枪，加入Houdna的防守部队。一号完毕。
STRM_10r18,Y组一号呼叫Y组三号。立刻给我回来！Hammer中尉！
