LANGUAGE,English
STR_CAMPAIGN_1985_30WAKEUPCALL_CAIN_BRIEFING_INTRO,"<B>July 3, 1985</B> - Right. Time to take Kolgujev. That's Russian territory -
so God only knows what kind of international laws we're about to violate. But
after what we've gone through on Everon and Malden, that really doesn't seem
important right now.
<br><br>
We've got to stop Guba, at all costs."
STR_CAMPAIGN_1985_30WAKEUPCALL_CAIN_BRIEFING_NAME,Wake-up Call
STR_CAMPAIGN_1985_30WAKEUPCALL_CAIN_BRIEFING_OBJ_1,Destroy Shilka one.
STR_CAMPAIGN_1985_30WAKEUPCALL_CAIN_BRIEFING_OBJ_2,Destroy Shilka two.
STR_CAMPAIGN_1985_30WAKEUPCALL_CAIN_BRIEFING_OBJ_3,Destroy Shilka three.
STR_CAMPAIGN_1985_30WAKEUPCALL_CAIN_BRIEFING_OBJ_4,"Hide out in <a href=""marker:End"">the woods</a> and await further orders."
STR_CAMPAIGN_1985_30WAKEUPCALL_CAIN_BRIEFING_PLAN,"Moscow's getting edgy, Commander Gastovski, so Washington wants this thing finished before the entire Red Army piles in. Uncle Sam's sending everything he's got into Kolgujev to nail Guba once and for all.
<br><br>
So after your recon operation, it's time to go back in and fire NATO's first ever shots in anger on Warsaw Pact territory. Those Shilka sites have got to be
neutralized just ahead of NATO's combined ground and air assault, which begins at dawn - that's in three hours.
<br><br>
Your team will land on the <a href=""marker:Start"">the beach</a> on the southern edge of the island. The Shilka sites you've already located will be marked on your map."
STR_CAMPAIGN_1985_30WAKEUPCALL_CAIN_OVERVIEW_001,Overview
STRM_30n23,消灭Shilka
STRM_30n24,Shilka
STRM_30n25,躲在这里
STRM_30n26,躲在这里
STRM_30n30,Kolgujev海岸线
STRM_30r01,"Papa Bear, 这里是A组一号。我们就位了。完毕。"
STRM_30r02,"收到, A组一号。铁拳行动开始，重复，铁拳行动开始。完毕。"
STRM_30r03,"Papa Bear, 这里是A组一号。第一辆Shilka烤熟了。继续下一个。完毕。"
STRM_30r04,A组一号呼叫Papa Bear. 两辆被消灭了，只剩下一辆了。
STRM_30r05,A组一号呼叫Papa Bear。最后一辆Shilka消灭。
STRM_30r06,A组一号呼叫Papa Bear。防空炮不会给你制造麻烦了。 我们离开这里了。完毕。
STRM_30r07,"收到, A组一号。 干的好，现在你们在太阳下山前进入那片树林。我们会联络你们给你们进一步指示的。完毕。"
STRM_30r08,A组完毕。
STRM_30r09,"Papa Bear, 我们已经消灭了我们知道的所有防空炮。我们看看能不能再找到其它的。完毕。 "
STRM_30r10,"收到, A组一号。 我们必须确保摧毁三辆Shilka。 完成任务并去往树林。完毕。"
